Date	Sun Jul 19 22:38:44 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	CCS1 SSB1 PAP1 HXT12
Unknown identifiers (2)	YPL025C YLR123C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0010468	regulation of gene expression	8.58204698712248e-09	1.37532804280809e-11	65	196	1047	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, RAD30, HAL1, IRE1, YPL105C, HCR1, RRP6, LCB1, CDC123, TOS2, CHA4, FAS1, FAR1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0060255	&regulation of macromolecule metabolic process	2.05855355546645e-08	3.29896403119623e-11	68	196	1148	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, BIK1, RAD30, HAL1, IRE1, YPL105C, HCR1, RRP6, LCB1, CDC123, TOS2, CHA4, FAR1, FAS1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0060255 & macromolecule metabolic process	regulation of macromolecule metabolic process	2.05855355546645e-08	3.29896403119623e-11	68	196	1148	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, BIK1, RAD30, HAL1, IRE1, YPL105C, HCR1, RRP6, LCB1, CDC123, TOS2, CHA4, FAR1, FAS1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0010608	posttranscriptional regulation of gene expression	5.35429650236713e-08	8.58060336917809e-11	38	196	441	7274	0.00%	0.00	WHI3, DHH1, MCM2, GCN20, PAN2, VMA2, NAB2, CDC46, BFR1, UTH1, GND1, YLL054C, VIP1, NFS1, MEX67, RSC8, PCL5, KES1, SST2, DED1, SSB2, EBS1, RAP1, TOM1, RAD30, HXK2, YPL105C, HCR1, GLY1, TPI1, CDC123, LCB1, AAC3, VMA5, YBR074W, FAS1, FAR1, PRP19
GO:0080090	&regulation of primary metabolic process	8.33094393770697e-08	1.33508716950432e-10	67	196	1156	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, BIK1, RAD30, HAL1, IRE1, YPL105C, HCR1, LCB1, CDC123, TOS2, CHA4, FAS1, FAR1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0080090 & primary metabolic process	regulation of primary metabolic process	8.33094393770697e-08	1.33508716950432e-10	67	196	1156	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, BIK1, RAD30, HAL1, IRE1, YPL105C, HCR1, LCB1, CDC123, TOS2, CHA4, FAS1, FAR1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0006417	regulation of translation	1.03421763985175e-07	1.65740006386499e-10	37	196	430	7274	0.00%	0.00	WHI3, DHH1, MCM2, GCN20, PAN2, VMA2, NAB2, CDC46, BFR1, UTH1, GND1, YLL054C, VIP1, NFS1, MEX67, RSC8, KES1, SST2, DED1, SSB2, EBS1, RAP1, TOM1, RAD30, HXK2, YPL105C, HCR1, GLY1, TPI1, CDC123, LCB1, AAC3, VMA5, YBR074W, FAS1, FAR1, PRP19
GO:0032268	regulation of cellular protein metabolic process	1.43785041831568e-07	2.30424746524948e-10	38	196	456	7274	0.00%	0.00	WHI3, DHH1, MCM2, GCN20, PAN2, VMA2, NAB2, CDC46, BFR1, UTH1, GND1, YLL054C, VIP1, NFS1, MEX67, RSC8, KES1, SST2, DED1, SSB2, EBS1, FPR4, RAP1, TOM1, RAD30, HXK2, YPL105C, HCR1, GLY1, TPI1, CDC123, LCB1, AAC3, VMA5, YBR074W, FAS1, FAR1, PRP19
GO:0031323	regulation of cellular metabolic process	1.51010644832496e-07	2.42004238513615e-10	66	196	1144	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, RAD30, HAL1, IRE1, YPL105C, HCR1, LCB1, CDC123, TOS2, CHA4, FAS1, FAR1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
GO:0019222	regulation of metabolic process	1.56326899523864e-07	2.50523877442089e-10	68	196	1200	7274	0.00%	0.00	SUB2, NAM8, GCN20, VMA2, YKL222C, YLL054C, CDC6, ARP7, NFS1, MEX67, SST2, DED1, SSB2, EBS1, STD1, UGA3, BIK1, RAD30, HAL1, IRE1, YPL105C, HCR1, RRP6, LCB1, CDC123, TOS2, CHA4, FAR1, FAS1, AFT2, WHI3, DHH1, MCM2, YCP4, PAN2, NAB2, YJR030C, CDC46, UTH1, BFR1, GND1, VIP1, RSP5, ORC3, SSN2, RSC8, PCL5, KES1, HPR1, MSN4, FPR4, RAP1, TOM1, TBF1, HXK2, SAS2, RAD55, GLY1, TPI1, RAT1, THI3, RRN6, YKU80, AAC3, VMA5, YBR074W, ORC4, PRP19
