Date	Sun Jul 19 23:46:30 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (8)	MIF2 MGT1 SLT2 PCA1 SME1 STS1 MLP1 TAF1
Unknown identifiers (29)	YMR086C-A YGL072C PSY1 YJL119C YML116W-A YHR214W-A YMR294W-A YKL153W YNL140C YNL303W YPR050C YDR133C YBL048W YDL068W YGR151C YDL071C YNL285W YMR153C-A YGR011W YOR013W YPR077C YCR013C YOR053W YCR064C YMR304C-A VPS63 YNL043C YBR116C YMR316C-B

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0016043	cellular component organization	1.55457094584047e-16	1.29010036999209e-19	323	860	1792	7274	0.00%	0.00	RAD4, YPT1, SPC19, MCM22, SET1, BIR1, CRH1, PEP3, CTS1, SFI1, MDM1, BIM1, MSO1, GIM4, USO1, BUD7, VAM3, REX4, GAC1, TLG2, MYO2, SFT1, GAS3, YPL221W, FIN1, IRS4, NUP53, PEX22, ESC8, YPS3, HHT2, PST1, HOS1, SPT15, PDS5, SPC34, DUO1, VIK1, STU2, PDS1, REX2, ECM3, RVB1, SCW10, NGG1, ATG11, RRP7, SPC72, CSM3, YOR060C, YBR095C, PZF1, CBK1, TAF10, RLF2, ZEO1, BDF1, ADY3, EGT2, HDA3, PIF1, NPL6, LGE1, SPC110, SPC105, CYC8, MIP1, OSH2, SAS4, SPO73, YAF9, CCZ1, IPI1, AKR1, VAM7, BGL2, YKU70, SPA2, KAP114, IPL1, NHP6A, SNT1, MGM101, SRL1, NUP116, VPS3, SNC2, ERG3, NIP100, CNN1, PEP12, SPO14, APC5, END3, VPS20, PCL1, MSB2, YOL155C, PEP4, GCN5, GSC2, NOB1, TRF5, DSE1, YPT11, TFB3, LDB7, RGP1, BZZ1, BDP1, MDM30, SMC2, DSN1, ELM1, BRR1, MCM21, SPT7, KIP1, RIO1, FOB1, MPS1, HEX3, GPI13, IML3, MSB4, SEC6, HMG2, RVB2, SPH1, SNF12, HHF1, AVO1, TFC3, TOF1, YKR022C, MAD3, HOS4, GIC1, TFB4, VMA4, CIS3, AKR2, SSO1, BNI5, SPC42, CLF1, YER030W, ECM1, PEX29, WSC2, MNN10, SMC4, KAR1, YMR163C, VTC2, ORC6, ATG8, STN1, ATG26, NOP15, BRE4, ATG13, ESA1, GPA1, RFC2, BRR6, CHS1, OKP1, IOC4, DAD2, IVY1, BCK1, RVS161, MUD2, BNI4, HSP42, HSL1, RTT106, ELG1, SED5, RDH54, PEX19, PRP28, YLR424W, RDI1, CTF18, MTW1, VTA1, CSE4, EXO70, MEC3, GOS1, CTR9, CDC11, YLR194C, CDC45, LAS1, LCD1, CAP1, PEX12, MND2, YPL267W, PEX13, UME6, RTT103, FKS1, PEX3, TIF6, HSV2, TFC4, HTB2, TFC7, GIN4, XRS2, VPS24, CUP2, OST6, IRR1, SPP1, SRC1, SWR1, YDR219C, HTZ1, YMR075W, ORC2, RPB4, PXL1, KEL1, YGR277C, SEC8, TFC6, OSW2, SIF2, HPR5, EAF5, TOF2, HUB1, RNY1, SLK19, SPT3, SNF6, MCM10, MIM1, HSF1, GBP2, YPR174C, HHO1, YHR181W, HHT1, MCD1, YGR106C, HST4, TFG1, TAF2, GTS1, LEM3, SEC17, SEC3, KAR3, ATG17, HHF2, RPS17B, SPT16, ECO1, RAD14, BRF1, ATG3, MEH1, BUB1, BRE1, BNR1, SIR4, DYN1, TOP1, RPS27A, YNG2, SEC9, CUS1, VPS21, ITC1, AVO2, CTF4, RFA2, ISY1, ARC19, PEA2, SPC98, CHS5, ENO1, BUB2, BUD3, BOI2, NBP1, SCW11, SMC1, SBE22, SMC3, SWI3, BPH1, UFE1, GLE1, LTE1, VPS30, VPS4, SED1, SLM1, ECM10, ORC1, TFA2, SPC29, CDC31, ISW1, TLG1, PEX30, YHR127W, STU1, YCG1, DAM1, CDC37, POB3, SPO71, IBD2, KIP3
GO:0007049	cell cycle	2.84007318936789e-14	2.35690721109369e-17	145	860	623	7274	0.00%	0.00	DAD2, SPC19, MCM22, BIR1, MSH2, MUM2, HSL1, SFI1, IWR1, ELG1, RDH54, BIM1, DPB11, MTW1, CTF18, YOR019W, CSE4, GAC1, PIS1, MYO2, MEC3, FIN1, NUP53, REC107, SYF1, CDC11, CDC45, LCD1, PDS5, SPC34, DUO1, VIK1, RAD53, STU2, PDS1, MND2, YPL267W, UME6, MET30, FAR7, NGG1, SPC72, CSM3, PSA1, CBK1, TAF10, PCL10, XRS2, GIN4, BDF1, ADY3, SAP185, EGT2, IRR1, SRC1, SPC110, MUS81, KEL1, FAR10, IPL1, SIF2, RIM8, DIA2, SNT1, TOF2, SPT3, SLK19, MCM10, HSF1, NIP100, CNN1, RAD24, SPO14, MCD1, DNL4, APC5, TAF2, GTS1, PCL1, SWI6, YGR271C-A, GCN5, TRF5, MBP1, DSE1, KAR3, SLD2, TFB3, DMC1, RGP1, MSC3, SMC2, DSN1, ECO1, ELM1, SPT7, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, IML3, DYN1, TOP1, YNG2, CTF4, RFA2, TOF1, SPC98, MAD3, HOS4, BUB2, BUD3, NBP1, SMC1, TFB4, GIC1, PMS1, DBF4, SMC3, YRB1, BNI5, CLF1, LTE1, SPC42, MSH6, SAS10, CDC31, SPC29, KAR1, SMC4, YBR100W, REC104, YHR127W, STU1, YCG1, NOP15, DAM1, ESA1, CDC37, RFC2, OKP1, IBD2, KIP3
GO:0006996	organelle organization	3.247607309705e-13	2.69510980058506e-16	223	860	1153	7274	0.00%	0.00	IVY1, DAD2, RAD4, YPT1, SPC19, RVS161, MCM22, SET1, BIR1, PEP3, HSP42, SFI1, MDM1, RTT106, SED5, ELG1, RDH54, BIM1, PEX19, USO1, RDI1, MTW1, CTF18, VAM3, CSE4, GAC1, TLG2, MYO2, EXO70, MEC3, FIN1, NUP53, PEX22, GOS1, CTR9, HHT2, HOS1, CDC45, LCD1, PDS5, SPC34, DUO1, VIK1, CAP1, STU2, PDS1, REX2, PEX12, MND2, YPL267W, UME6, PEX13, RVB1, PEX3, NGG1, ATG11, SPC72, CSM3, YOR060C, YBR095C, HTB2, TAF10, XRS2, GIN4, RLF2, BDF1, ADY3, VPS24, EGT2, HDA3, PIF1, NPL6, SPP1, IRR1, SRC1, LGE1, SWR1, SPC110, YDR219C, SPC105, CYC8, HTZ1, ORC2, YMR075W, MIP1, SAS4, KEL1, YGR277C, YAF9, CCZ1, SEC8, VAM7, YKU70, SPA2, IPL1, SIF2, NHP6A, SNT1, HPR5, EAF5, MGM101, TOF2, SPT3, SLK19, SNF6, NUP116, MIM1, HSF1, VPS3, SNC2, GBP2, YPR174C, HHO1, NIP100, CNN1, HHT1, PEP12, MCD1, APC5, HST4, END3, VPS20, PCL1, SEC17, GCN5, SEC3, TRF5, KAR3, YPT11, TFB3, LDB7, ATG17, RGP1, BZZ1, MDM30, HHF2, SPT16, SMC2, ECO1, DSN1, RAD14, ATG3, SPT7, MCM21, KIP1, RIO1, FOB1, BUB1, BRE1, BNR1, MPS1, HEX3, IML3, SIR4, DYN1, MSB4, TOP1, HMG2, SEC6, YNG2, SEC9, RVB2, SPH1, AVO2, ITC1, SNF12, HHF1, RFA2, CTF4, AVO1, ARC19, PEA2, TOF1, SPC98, ENO1, MAD3, HOS4, BUB2, NBP1, SMC1, TFB4, SWI3, SMC3, VMA4, UFE1, BNI5, GLE1, SSO1, YER030W, LTE1, SPC42, VPS4, SED1, SLM1, PEX29, ECM10, WSC2, SMC4, KAR1, SPC29, CDC31, YMR163C, TLG1, ISW1, VTC2, PEX30, YHR127W, STU1, ATG8, STN1, YCG1, NOP15, DAM1, ESA1, GPA1, CDC37, RFC2, BRR6, POB3, IBD2, OKP1, KIP3, IOC4
GO:0000279	M phase	9.29021140389029e-13	7.70971900737783e-16	97	860	362	7274	0.00%	0.00	DAD2, SPC19, CNN1, MCM22, BIR1, MSH2, MUM2, SPO14, RAD24, MCD1, SFI1, APC5, IWR1, ELG1, RDH54, BIM1, SWI6, MTW1, CTF18, CSE4, TRF5, GAC1, KAR3, TFB3, DMC1, RGP1, FIN1, NUP53, MSC3, SMC2, ECO1, REC107, DSN1, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, IML3, DYN1, TOP1, PDS5, SPC34, DUO1, VIK1, YNG2, STU2, PDS1, MND2, RFA2, CTF4, YPL267W, UME6, MET30, TOF1, SPC98, MAD3, HOS4, BUB2, SPC72, CSM3, SMC1, GIC1, TFB4, PMS1, CBK1, SMC3, XRS2, BDF1, ADY3, EGT2, MSH6, LTE1, IRR1, SRC1, SPC110, SMC4, KAR1, CDC31, YBR100W, MUS81, KEL1, REC104, YHR127W, STU1, YCG1, IPL1, SIF2, DAM1, RIM8, SNT1, IBD2, TOF2, OKP1, KIP3, SLK19
GO:0000087	M phase of mitotic cell cycle	6.8727432759656e-12	5.70352139084282e-15	67	860	212	7274	0.00%	0.00	DAD2, SPC19, CNN1, MCM22, BIR1, MCD1, SFI1, APC5, ELG1, BIM1, MTW1, CTF18, CSE4, TRF5, GAC1, KAR3, TFB3, RGP1, FIN1, NUP53, SMC2, ECO1, DSN1, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, IML3, DYN1, PDS5, TOP1, SPC34, DUO1, VIK1, PDS1, MND2, CTF4, YPL267W, UME6, MET30, TOF1, MAD3, BUB2, CSM3, SPC72, SMC1, GIC1, TFB4, SMC3, CBK1, EGT2, LTE1, IRR1, SRC1, KAR1, CDC31, SMC4, KEL1, STU1, YCG1, DAM1, OKP1, IBD2, TOF2, SLK19
GO:0007067	mitosis	1.13266914200885e-11	9.39974391708591e-15	64	860	199	7274	0.00%	0.00	DAD2, SPC19, CNN1, MCM22, BIR1, MCD1, SFI1, APC5, ELG1, BIM1, MTW1, CTF18, CSE4, TRF5, GAC1, KAR3, TFB3, RGP1, FIN1, NUP53, SMC2, ECO1, DSN1, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, IML3, DYN1, PDS5, TOP1, SPC34, DUO1, VIK1, PDS1, MND2, CTF4, YPL267W, UME6, TOF1, MAD3, BUB2, CSM3, SPC72, SMC1, TFB4, SMC3, EGT2, LTE1, IRR1, SRC1, KAR1, CDC31, SMC4, KEL1, STU1, YCG1, DAM1, OKP1, IBD2, TOF2, SLK19
GO:0007059	chromosome segregation	1.16038647351054e-11	9.62976326564759e-15	55	860	156	7274	0.00%	0.00	SLI15, PDS1, DAD2, MND2, SPC19, CNN1, MCM22, CTF4, BIR1, TOF1, MCD1, MAD3, APC5, BUB2, ELG1, SPC72, RDH54, CSM3, BIM1, SMC1, SMC3, CTF18, MTW1, CSE4, HDA3, KAR3, IRR1, SRC1, SMC4, FIN1, YBR100W, MUS81, SMC2, CTR9, ECO1, DSN1, MCM21, KIP1, FOB1, BUB1, YCG1, MPS1, IPL1, DAM1, IML3, DYN1, RFC2, PDS5, TOP1, SPC34, DUO1, VIK1, TOF2, OKP1, SLK19
GO:0022402	cell cycle process	1.53319587994922e-11	1.27236172609894e-14	117	860	494	7274	0.00%	0.00	MCM10, HSF1, DAD2, NIP100, SPC19, CNN1, MCM22, BIR1, MSH2, MUM2, SPO14, HSL1, RAD24, MCD1, SFI1, APC5, IWR1, ELG1, RDH54, TAF2, BIM1, PCL1, SWI6, MTW1, CTF18, YGR271C-A, CSE4, TRF5, GAC1, KAR3, MYO2, TFB3, DMC1, RGP1, FIN1, NUP53, MSC3, SMC2, ECO1, REC107, DSN1, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, CDC45, IML3, DYN1, TOP1, PDS5, SPC34, DUO1, VIK1, YNG2, STU2, PDS1, MND2, RFA2, CTF4, YPL267W, UME6, MET30, TOF1, SPC98, FAR7, MAD3, HOS4, BUB2, SPC72, CSM3, NBP1, SMC1, GIC1, TFB4, PMS1, CBK1, SMC3, TAF10, XRS2, YRB1, BDF1, ADY3, SAP185, EGT2, MSH6, SPC42, LTE1, IRR1, SRC1, SPC110, SMC4, KAR1, SPC29, CDC31, YBR100W, MUS81, KEL1, REC104, YHR127W, STU1, FAR10, YCG1, NOP15, IPL1, SIF2, DAM1, RIM8, SNT1, CDC37, RFC2, KIP3, IBD2, TOF2, OKP1, SLK19
GO:0051276	chromosome organization	1.91212604435538e-11	1.58682659282605e-14	101	860	401	7274	0.00%	0.00	SNF6, RAD4, GBP2, HHO1, SET1, BIR1, HHT1, MCD1, APC5, RTT106, HST4, ELG1, RDH54, BIM1, CTF18, CSE4, GCN5, KAR3, LDB7, MEC3, FIN1, HHF2, SPT16, SMC2, CTR9, HHT2, ECO1, RAD14, SPT7, KIP1, FOB1, BUB1, BRE1, MPS1, HOS1, HEX3, CDC45, IML3, SIR4, DYN1, LCD1, PDS5, TOP1, VIK1, YNG2, RVB2, PDS1, SNF12, ITC1, HHF1, MND2, RFA2, CTF4, UME6, RVB1, TOF1, NGG1, HOS4, SPC72, CSM3, YBR095C, SMC1, HTB2, SMC3, SWI3, TAF10, XRS2, RLF2, BDF1, YER030W, HDA3, PIF1, NPL6, IRR1, SPP1, SRC1, LGE1, SWR1, CYC8, HTZ1, SMC4, ORC2, YMR075W, ISW1, SAS4, YAF9, STN1, YKU70, YCG1, IPL1, NHP6A, SIF2, ESA1, SNT1, HPR5, EAF5, RFC2, POB3, TOF2, IOC4, SPT3
GO:0000280	nuclear division	1.93567753284299e-11	1.6063713965502e-14	64	860	201	7274	0.00%	0.00	DAD2, SPC19, CNN1, MCM22, BIR1, MCD1, SFI1, APC5, ELG1, BIM1, MTW1, CTF18, CSE4, TRF5, GAC1, KAR3, TFB3, RGP1, FIN1, NUP53, SMC2, ECO1, DSN1, MCM21, KIP1, RIO1, FOB1, BUB1, MPS1, IML3, DYN1, PDS5, TOP1, SPC34, DUO1, VIK1, PDS1, MND2, CTF4, YPL267W, UME6, TOF1, MAD3, BUB2, CSM3, SPC72, SMC1, TFB4, SMC3, EGT2, LTE1, IRR1, SRC1, KAR1, CDC31, SMC4, KEL1, STU1, YCG1, DAM1, OKP1, IBD2, TOF2, SLK19
