Date	Sun Jul 19 23:46:56 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (2)	SFH1 CPD1
Unknown identifiers (2)	YGL102C YPL025C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0044238	primary metabolic process	3.3441420353192e-05	7.61763561576128e-08	89	111	4087	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, NMA2, YLR426W, PHO8, HAM1, VMA2, RPS21A, HST3, UBP1, MUQ1, ARP4, PUT1, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, NEM1, FMS1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, OSH6, YKL161C, MNN1, TGS1, SEC16, KRE9, YNR018W, PAN2, MMS2, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, RRP3, VTC3, VPS75, RPL40B, RPS18B, RPS28A, UTP21, VMA13, YCK1, DML1, BSP1, POL30, MSG5, SPC1, HRP1, ISN1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, YLR446W, GPB2, PRP19, YMR266W
GO:0043170	macromolecule metabolic process	0.000132585968682897	3.02018151897259e-07	82	111	3664	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, YLR426W, PHO8, VMA2, RPS21A, HST3, UBP1, MUQ1, ARP4, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, MNN1, TGS1, YKL161C, SEC16, YNR018W, KRE9, PAN2, MMS2, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, VTC3, RRP3, VPS75, RPS18B, RPL40B, RPS28A, UTP21, SVL3, YCK1, DML1, BSP1, MSG5, POL30, SPC1, HRP1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, YLR446W, GPB2, PRP19, YMR266W
GO:0043283	biopolymer metabolic process	0.000141773220584459	3.22945832766421e-07	81	111	3598	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, YLR426W, PHO8, VMA2, RPS21A, HST3, UBP1, MUQ1, ARP4, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, MNN1, TGS1, YKL161C, SEC16, YNR018W, KRE9, PAN2, MMS2, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, VTC3, RRP3, VPS75, RPS18B, RPL40B, RPS28A, UTP21, SVL3, YCK1, DML1, BSP1, MSG5, POL30, SPC1, HRP1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, GPB2, PRP19, YMR266W
GO:0044260	cellular macromolecule metabolic process	0.000848605801376128	1.93304282773605e-06	78	111	3514	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, YLR426W, PHO8, VMA2, RPS21A, HST3, UBP1, ARP4, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, MNN1, TGS1, YKL161C, SEC16, YNR018W, KRE9, PAN2, MMS2, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, PCL5, VTC3, RRP3, VPS75, RPS18B, RPL40B, RPS28A, UTP21, YCK1, DML1, MSG5, POL30, SPC1, HRP1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, YLR446W, GPB2, YMR266W, PRP19
GO:0034960	cellular biopolymer metabolic process	0.000927738083539789	2.11329859576262e-06	77	111	3452	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, YLR426W, PHO8, VMA2, RPS21A, HST3, UBP1, ARP4, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, MNN1, TGS1, YKL161C, SEC16, YNR018W, KRE9, PAN2, MMS2, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, PCL5, VTC3, RRP3, VPS75, RPS18B, RPL40B, RPS28A, UTP21, YCK1, DML1, MSG5, POL30, SPC1, HRP1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, GPB2, YMR266W, PRP19
GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	0.00105544089730172	2.40419338793103e-06	55	111	2087	7274	0.00%	0.00	KTR5, DCS1, KAR4, CDC9, NMA2, TGS1, SEC16, YLR426W, YNR018W, PAN2, HAM1, VMA2, MMS2, RPS21A, PHO86, HST3, CCT2, NPT1, UBP1, SGF11, ARP4, RSC8, EMI1, PCL5, LUC7, YGL250W, RRP3, VTC3, VPS75, RPL40B, RPS18B, UTP21, STD1, RPS21B, RAD30, VMA13, DML1, HAL1, PRP42, POL30, HRP1, ISN1, YPR085C, TPI1, RRP6, CKB2, HEM3, MPE1, CKB1, SES1, NIP7, AFT2, GPB2, PRP19, YMR266W
GO:0019538	protein metabolic process	0.0010667050886831	2.42985213823031e-06	57	111	2203	7274	0.00%	0.00	KTR5, RPL38, KAR4, KTR3, RPT3, YKL161C, MNN1, PHO8, YNR018W, PAN2, VMA2, MMS2, RPS21A, RPL14B, PMP2, PHO86, GNT1, HST3, CCT2, VIP1, NPT1, KAR2, UBP1, MUQ1, SGF11, ARP4, YER186C, RPS28B, RSC8, VID27, YFR007W, PCL5, VPS75, RPL40B, RPS18B, RPS28A, RPS21B, RAD30, YCK1, BSP1, MSG5, YPL105C, SPC1, HRP1, RPN7, TPI1, CKB2, NAT5, MPE1, HEM3, CKB1, RPL14A, YER007C-A, SES1, ALG11, DIG1, PRP19
GO:0008152	metabolic process	0.00196697363174393	4.48057774884723e-06	91	111	4527	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, NMA2, YLR426W, PHO8, HAM1, VMA2, RPS21A, HST3, UBP1, MUQ1, ARP4, PUT1, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, NEM1, FMS1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, OSH6, YKL161C, MNN1, TGS1, SEC16, KRE9, YNR018W, PAN2, MMS2, VTC4, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, RRP3, VTC3, VPS75, RPL40B, RPS18B, RPS28A, UTP21, SVL3, VMA13, YCK1, DML1, BSP1, POL30, MSG5, SPC1, HRP1, ISN1, TPI1, CKB2, NAT5, HEM3, CKB1, YER007C-A, NIP7, YLR446W, GPB2, PRP19, YMR266W
GO:0009987	cellular process	0.00280756501514945	6.39536449920148e-06	100	111	5304	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, NMA2, YLR426W, PHO8, HAM1, VMA2, RPS21A, KAR9, HST3, UBP1, MUQ1, ARP4, PUT1, VID27, LUC7, YGL250W, STD1, BEM4, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, PHO89, NEM1, FMS1, RPL14A, SES1, ALG11, SRP68, AFT2, DIG1, KTR5, DCS1, CDC9, OSH6, GIT1, YKL161C, MNN1, TGS1, SEC16, ENT2, KRE9, YNR018W, PAN2, MMS2, VTC4, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, RRP3, VTC3, VPS75, RPL40B, RPS18B, RPS28A, UTP21, SVL3, VMA13, YCK1, DML1, BSP1, POL30, MSG5, STE4, AVT4, SPC1, HRP1, ISN1, TPI1, CKB2, NAT5, HEM3, CKB1, CHC1, YER007C-A, NIP7, YLR446W, GPB2, PRP19, YMR266W
GO:0044237	cellular metabolic process	0.00322932314727974	7.35608917375795e-06	88	111	4334	7274	0.00%	0.00	RPL38, KAR4, KTR3, RPT3, NMA2, YLR426W, PHO8, HAM1, VMA2, RPS21A, HST3, UBP1, MUQ1, ARP4, PUT1, VID27, LUC7, YGL250W, STD1, RPS21B, RAD30, HAL1, PRP42, YPL105C, RPN7, YPR085C, RRP6, MPE1, FMS1, RPL14A, SES1, ALG11, AFT2, DIG1, KTR5, DCS1, CDC9, OSH6, YKL161C, MNN1, TGS1, SEC16, YNR018W, KRE9, PAN2, MMS2, VTC4, RPL14B, PHO86, PMP2, GNT1, VIP1, CCT2, KAR2, NPT1, SGF11, YER186C, RPS28B, RSC8, EMI1, YFR007W, PCL5, RRP3, VTC3, VPS75, RPL40B, RPS18B, RPS28A, UTP21, VMA13, YCK1, DML1, POL30, MSG5, SPC1, HRP1, ISN1, TPI1, NAT5, HEM3, CKB2, CKB1, YER007C-A, NIP7, YLR446W, GPB2, PRP19, YMR266W
