Date	Mon Jul 20 08:42:04 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (2)	SDH1 YPK1
Unknown identifiers (4)	YAR030C YKL162C-A YPL025C YMR103C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0019752	carboxylic acid metabolic process	4.84320564126077e-15	7.07037319892084e-18	55	273	400	7274	0.00%	0.00	STR2, FBP1, FAA1, CRC1, GCN4, PYC1, AGP2, ACC1, PUT4, CIT1, YGL196W, BNA3, MET17, UGA2, AGX1, KGD1, IDH1, ARO9, ECM17, PDA1, YLR089C, MLS1, TES1, PUT1, PET112, GDH2, ALD4, ATF1, MDH2, URA8, OAR1, ACS1, ACO1, UGA3, NAM2, IDP2, YAT2, BNA5, ICL1, EHT1, CPA2, GLT1, UGA1, GLY1, ARG80, ARG1, KGD2, CAT2, FUM1, YNL040W, RDS2, GLN1, CHA4, FAS2, FAS1
GO:0006082	organic acid metabolic process	9.65965422945164e-15	1.41016850064988e-17	55	273	406	7274	0.00%	0.00	STR2, FBP1, FAA1, CRC1, GCN4, PYC1, AGP2, ACC1, PUT4, CIT1, YGL196W, BNA3, MET17, UGA2, AGX1, KGD1, IDH1, ARO9, ECM17, PDA1, YLR089C, MLS1, TES1, PUT1, PET112, GDH2, ALD4, ATF1, MDH2, URA8, OAR1, ACS1, ACO1, UGA3, NAM2, IDP2, YAT2, BNA5, ICL1, EHT1, CPA2, GLT1, UGA1, GLY1, ARG80, ARG1, KGD2, CAT2, FUM1, YNL040W, RDS2, GLN1, CHA4, FAS2, FAS1
GO:0055114	oxidation reduction	4.83277523570212e-12	7.05514632949214e-15	44	273	310	7274	0.00%	0.00	AAD16, AAD6, MIR1, ATP1, YIR036C, UGA2, JLP1, COR1, KGD1, YNL134C, YMR110C, IDH1, ECM17, PDA1, ZTA1, PUT1, GDH2, YHL021C, CTA1, ALD4, MDH2, OAR1, NDE1, ACO1, CCC1, IDP2, YJR096W, COX5A, BNA2, ERG1, GLT1, ERG9, YPL113C, NDI1, ARA1, ERG27, CCP1, FMS1, QCR6, GUT2, FAS2, NDE2, FAS1, SDH2
GO:0006084	acetyl-CoA metabolic process	2.33988287030491e-09	3.41588740190498e-12	14	273	33	7274	0.00%	0.00	KGD1, ACS1, IDH1, ACO1, KGD2, FUM1, MLS1, IDP2, ICL1, CIT1, ACS2, MDH2, LSC2, SDH2
GO:0032787	monocarboxylic acid metabolic process	1.79034042534909e-08	2.61363565744393e-11	27	273	159	7274	0.00%	0.00	FBP1, FAA1, ACS1, ACO1, CRC1, UGA3, PYC1, AGP2, ACC1, IDP2, YAT2, EHT1, ICL1, BNA3, UGA1, UGA2, CAT2, PDA1, MLS1, RDS2, TES1, ALD4, ATF1, MDH2, FAS2, FAS1, OAR1
GO:0009987	cellular process	1.97213827471696e-08	2.87903397768899e-11	243	273	5304	7274	0.00%	0.00	YKL033W, AAD16, NUP170, CRC1, GCN4, IOC3, YMR237W, YGL196W, SSU1, VMA2, ISA1, MET17, YKL222C, AGX1, VTH2, KGD1, YHR036W, KEL2, YPK2, MMR1, YBP1, SSL2, GDH2, YHL021C, CTA1, NDE1, LUC7, ARK1, UGA3, YGR046W, CCC1, KIN2, YAT2, ODC1, BNA2, CPA2, UBA1, ERG9, COX15, YPR022C, TEF1, MDM36, MKK2, CAT2, ARA1, CCP1, YNL040W, FUM1, YPL257W, MRPL22, CDA1, CHA4, DIS3, FBP1, FAA1, DCS1, MMS1, MAL12, SEF1, PYC1, YHR202W, IDS2, ACC1, YNR018W, PUT4, YSP3, DIA3, VTC4, UGA2, TPS3, YPL184C, COR1, ERG7, BLM3, ASM4, MLS1, TES1, ATF1, YKL215C, PIL1, MPS3, SSN2, AVT3, MCM6, URA8, PCL5, VTC3, ATP2, OCT1, YPL272C, BEM1, XKS1, SHC1, KIP2, IDP2, ECM13, TOM1, WTM1, HAL9, BSP1, MAL32, ERG1, AVT4, NDI1, GSF2, ERG27, YVC1, RDS2, GDB1, LSP1, TEF2, YGR110W, MDL1, GUT2, ACS2, VPS34, NDE2, SDH2, STR2, HSC82, GSY2, NMA2, AAD6, AGP2, ATP1, YIR036C, EMI2, SEC26, SEC1, RHO1, BNA3, REB1, IDH1, YLL054C, KSP1, PDC2, MDV1, SCO2, MCX1, MLH1, PET112, PUT1, SEC18, ALD4, EAF3, APL3, SDS24, RIM20, QRI7, DOP1, MDH2, LSC2, OAR1, MBR1, YNR036C, ACS1, XDJ1, ACO1, YKR018C, RIM4, NAM2, YPL137C, HAP5, BIK1, YJR096W, RIM101, EHT1, COX5A, TEA1, HAL1, IRE1, GLT1, PMA1, CKI1, SRB8, YML081W, FMS1, YOR251C, INO1, YFL006W, MED2, GLN1, YAP7, GLG2, YHR009C, FAS2, RPT4, FAS1, SAC6, PET9, NCA2, MIR1, MNN1, PEX6, MCM2, SSD1, CIT1, VAC8, JLP1, CDC46, YMR110C, UGO1, BFR1, ARO9, MEP2, ECM17, PDA1, YLR089C, WAR1, UBX6, RPT5, APC1, HPR1, KES1, MSN4, YLR108C, SEC21, RAP1, ASH1, BNA5, ICL1, CDC25, APP1, FCY2, UGA1, YIL042C, PIC2, GLY1, ARG80, TAO3, YMR115W, ARG1, KGD2, YKL091C, AHC1, BRR2, QCR6, CHC1, VTH1, BUD5, ALR2, QDR3, GPB2
GO:0006099	tricarboxylic acid cycle	1.23597933720612e-07	1.8043493973812e-10	12	273	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0046356	acetyl-CoA catabolic process	1.23597933720612e-07	1.8043493973812e-10	12	273	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0006732	coenzyme metabolic process	1.32895009798314e-07	1.94007313574181e-10	25	273	149	7274	0.00%	0.00	NDE1, ACS1, ACO1, NMA2, PYC1, IDP2, BNA5, ICL1, BNA2, CIT1, NDI1, KGD1, IDH1, KGD2, FUM1, FMS1, MLS1, TES1, ALD4, GUT2, ACS2, MDH2, LSC2, NDE2, SDH2
GO:0006807	nitrogen compound metabolic process	1.45654333147692e-07	2.12634062989332e-10	37	273	309	7274	0.00%	0.00	STR2, GCN4, PUT4, CIT1, YGL196W, MET17, UGA2, AGX1, NIT1, IDH1, ARO9, MEP2, ECM17, YLR089C, PUT1, PET112, GDH2, URA8, ACO1, UGA3, NAM2, IDP2, BNA5, YAT2, CPA2, GLT1, UGA1, CKI1, GLY1, ARG80, ARG1, CAT2, YNL040W, FMS1, GLN1, YIL165C, CHA4
