Date	Mon Jul 20 09:00:16 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	2_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (7)	RPL37A FEN1 SME1 APT1 SHE1 RET1 SSF1
Unknown identifiers (20)	YMR086C-A YGL072C YEL074W YOR248W BUD19 YHR217C YMR294W-A YGL199C YKL225W YGR151C YDL071C YKL031W YDL187C YOR053W YCR064C YPR002C-A YLR317W YMR013W-A YAL069W YLL065W

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0030001	metal ion transport	1.8276486689057e-09	3.07167843513563e-12	21	269	87	7274	0.00%	0.00	SIT1, FRE6, ARN1, HIP1, PHO90, FIT3, FET3, YNL321W, FRE2, FTR1, CCC2, ATX2, ZRT1, FTH1, YIL023C, CTR2, SMF2, ZRC1, PHO91, ENB1, FRE1
GO:0000041	transition metal ion transport	5.67005963727724e-09	9.52951199542392e-12	17	269	57	7274	0.00%	0.00	SIT1, FRE6, ARN1, HIP1, FIT3, FET3, FRE2, FTR1, CCC2, ZRT1, FTH1, CTR2, YIL023C, SMF2, ZRC1, ENB1, FRE1
GO:0006812	cation transport	3.75600827151201e-07	6.31261894371766e-10	23	269	136	7274	0.00%	0.00	SIT1, FRE6, ARN1, HIP1, PHO90, FIT3, FET3, YNL321W, FRE2, FTR1, CCC2, STV1, ATX2, ZRT1, FTH1, YIL023C, CTR2, CUP5, SMF2, ZRC1, PHO91, FRE1, ENB1
GO:0006811	ion transport	1.76076318443932e-05	2.95926585620053e-08	23	269	165	7274	0.00%	0.00	SIT1, FRE6, ARN1, HIP1, PHO90, FIT3, FET3, YNL321W, FRE2, FTR1, CCC2, STV1, ATX2, ZRT1, FTH1, YIL023C, CTR2, CUP5, SMF2, ZRC1, PHO91, FRE1, ENB1
GO:0006826	iron ion transport	7.30486951674724e-05	1.22770916247853e-07	10	269	32	7274	0.00%	0.00	FRE2, FTR1, SIT1, FRE6, FTH1, ARN1, FIT3, FET3, ENB1, FRE1
GO:0015674	di-, tri-valent inorganic cation transport	0.000440577526035046	7.40466430311002e-07	11	269	47	7274	0.00%	0.00	FRE2, FTR1, SIT1, FRE6, FTH1, ARN1, ZRC1, FIT3, FET3, ENB1, FRE1
GO:0030490	maturation of SSU-rRNA	0.000855434603706696	1.43770521631377e-06	15	269	94	7274	0.00%	0.00	UTP13, YOR004W, UTP6, UTP14, SLX9, RPS24A, YGR271C-A, RPS1B, DBP8, RPS27A, RPS23B, RPS31, RPS23A, RPS6B, KRR1
GO:0034220	ion transmembrane transport	0.00189853197950815	3.19081004959352e-06	10	269	44	7274	0.00%	0.00	FRE2, FTR1, STV1, FRE6, FTH1, ZRT1, CTR2, CUP5, FET3, FRE1
GO:0033212	iron assimilation	0.00199047638376182	3.3453384601039e-06	5	269	8	7274	0.00%	0.00	FTR1, SIT1, ARN1, ENB1, FET3
GO:0051234	establishment of localization	0.00346993175641665	5.83181807801118e-06	74	269	1233	7274	0.00%	0.00	ATG2, YPR174C, LAS17, YHR181W, RFA3, BET1, YIF1, YDR084C, FRE2, FTR1, YDR119W, STV1, ZDS1, ZRT1, YIL023C, ZRC1, YJL097W, FCY21, ENB1, BAP3, SFH5, ARN1, THP2, CCC2, MIG2, CTR2, CUP5, VPS52, CLN3, YDL046W, SEC66, FRE1, YIP3, FRE6, VRG4, ATG10, YLR022C, TPN1, RPS3, RFA2, HIP1, GOT1, GEA2, DSS4, FKS1, FIT3, BAP2, YMD8, FET3, AVT5, ATX2, FTH1, GNP1, ARC18, PHO91, YJL193W, YRB1, SEC61, SEC53, RPS26B, VRP1, SIT1, FUN26, HXT2, PHO90, ERV25, RFA1, HXT3, YNL321W, CAN1, AKR1, SMF2, PUF6, RPS19B
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00391730405278949	6.58370429040251e-06	14	269	93	7274	0.00%	0.00	UTP13, YOR004W, UTP6, UTP14, SLX9, RPS24A, YGR271C-A, RPS1B, DBP8, RPS27A, RPS23B, RPS23A, RPS6B, KRR1
GO:0006879	cellular iron ion homeostasis	0.00414742539286085	6.97046284514429e-06	9	269	38	7274	0.00%	0.00	FTR1, CCC2, SIT1, FRE6, ARN1, CUP5, TIS11, FET3, ENB1
GO:0055072	iron ion homeostasis	0.00414742539286085	6.97046284514429e-06	9	269	38	7274	0.00%	0.00	FTR1, CCC2, SIT1, FRE6, ARN1, CUP5, TIS11, FET3, ENB1
