Date	Mon Jul 20 09:00:27 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (7)	TEX1 MGT1 SLT2 CPR1 PPA1 MLP1 TAF1
Unknown identifiers (17)	PSY1 YMR173W-A YML116W-A YHR214W-A YNL140C YLL059C YDR133C YBL048W YKL053W YHR095W YMR052C-A YNL337W YMR304C-A YLR252W VPS63 YDR154C YBR116C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0050896	response to stimulus	1.44273493107783e-12	1.38724512603637e-15	191	709	1155	7274	0.00%	0.00	GPR1, YLL025W, RAD4, RVS161, YDL218W, ECI1, HSP42, NTG2, AOS1, FIS1, YOR292C, TAP42, YTP1, SPG5, HOT1, STE11, MFA1, KTR2, GAC1, YOR052C, MOH1, MEC3, YNL305C, KCS1, STF2, YJL055W, AAD10, OXR1, HNT3, OCA1, ATG20, STE18, CUP1-1, NSE1, RAD9, RCK2, MET30, FAR7, NGG1, GRX1, PRR2, CBK1, PSY3, SPI1, SEY1, ZEO1, BDF1, TFB1, PIF1, CUP2, ASP3-3, EAF6, GON7, VPS64, NRG1, YOL063C, YHR209W, MUS81, SUB1, RRI2, BSD2, YAF9, CCZ1, FAR10, CUP1-2, HXT6, YKU70, RTT101, SPA2, GCY1, SIF2, UBC5, YCL033C, LIF1, POL4, IMH1, GTT2, HXT7, YMR090W, SAC3, HSF1, CTL1, MGA2, CAD1, LIN1, HHT1, STE13, YDR506C, ATG23, ENA1, SPO14, UBC8, DNL4, MSN1, OLE1, STE6, ARG82, EAF7, GLO2, UFO1, BNI1, YKL071W, FYV6, YNL200C, HSP104, PEP4, SCC4, ATG4, TRF5, HSP12, RPN4, YKL151C, CCW12, TFB3, YIL169C, ATG17, BZZ1, HSP32, RAD28, GPH1, SPT16, DPB3, ELM1, RAD14, ATG3, HSP30, SMC5, RRI1, REV3, MEH1, YBR056W, SLX4, HEX3, POL2, SIR4, YNG2, FRE3, ITC1, RAD16, ASP3-1, MET4, CTF4, CSI1, DNA2, GPX1, YMR040W, YKR049C, ASP3-2, YGP1, FAR3, SRL3, NSE3, YDR357C, ASP3-4, VPS60, SMC1, CSN9, DOS2, PMS1, BPH1, PRM4, DDR2, RGA2, VPS30, TRX3, HSP33, CTK2, UBX3, VID28, LRP1, YIL077C, RAD26, PSO2, NST1, ATG21, YBR100W, YLR247C, ARR1, FRT2, IZH2, YDR109C, PIH1, ISW2, ATG8, ATG13, HTB1, GPA1, ESA1, CDC37, YDL010W, PBI2
GO:0033554	cellular response to stress	3.1119305829326e-11	2.9922409451275e-14	107	709	530	7274	0.00%	0.00	CTL1, RAD4, LIN1, ECI1, HHT1, YDR506C, ATG23, ENA1, UBC8, DNL4, NTG2, FIS1, YOR292C, EAF7, YTP1, GLO2, SPG5, FYV6, YNL200C, HSP104, STE11, PEP4, KTR2, SCC4, ATG4, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, YNL305C, MEC3, ATG17, RAD28, DPB3, SPT16, GPH1, STF2, RAD14, HNT3, ATG3, SMC5, REV3, SLX4, YBR056W, HEX3, POL2, SIR4, ATG20, YNG2, RAD16, NSE1, ITC1, ASP3-1, RAD9, CTF4, RCK2, DNA2, YMR040W, YKR049C, ASP3-2, YGP1, GRX1, SRL3, NSE3, YDR357C, ASP3-4, SMC1, DOS2, PMS1, PSY3, SPI1, BDF1, TFB1, VPS30, PIF1, ASP3-3, UBX3, LRP1, EAF6, RAD26, PSO2, YHR209W, ATG21, YBR100W, MUS81, SUB1, YAF9, CCZ1, HXT6, ATG8, YKU70, RTT101, ATG13, SIF2, HTB1, ESA1, CDC37, YDL010W, LIF1, POL4, PBI2, HXT7, YMR090W, SAC3
GO:0051716	cellular response to stimulus	2.68788441368485e-10	2.58450424392774e-13	108	709	554	7274	0.00%	0.00	GPR1, CTL1, RAD4, LIN1, ECI1, HHT1, YDR506C, ATG23, ENA1, UBC8, DNL4, NTG2, FIS1, YOR292C, EAF7, YTP1, GLO2, SPG5, FYV6, YNL200C, HSP104, STE11, PEP4, KTR2, SCC4, ATG4, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, YNL305C, MEC3, ATG17, RAD28, DPB3, SPT16, GPH1, STF2, RAD14, HNT3, ATG3, SMC5, REV3, SLX4, YBR056W, HEX3, POL2, SIR4, ATG20, YNG2, RAD16, NSE1, ITC1, ASP3-1, RAD9, CTF4, RCK2, DNA2, YMR040W, YKR049C, ASP3-2, YGP1, GRX1, SRL3, NSE3, YDR357C, ASP3-4, SMC1, DOS2, PMS1, PSY3, SPI1, BDF1, TFB1, VPS30, PIF1, ASP3-3, UBX3, LRP1, EAF6, RAD26, PSO2, YHR209W, ATG21, YBR100W, MUS81, SUB1, YAF9, CCZ1, HXT6, ATG8, YKU70, RTT101, ATG13, SIF2, HTB1, ESA1, CDC37, YDL010W, LIF1, POL4, PBI2, HXT7, YMR090W, SAC3
GO:0006950	response to stress	2.7570434872814e-09	2.65100335315519e-12	141	709	829	7274	0.00%	0.00	YLL025W, RAD4, RVS161, ECI1, HSP42, NTG2, AOS1, FIS1, YOR292C, YTP1, SPG5, HOT1, STE11, KTR2, GAC1, YOR052C, MOH1, MEC3, YNL305C, STF2, OXR1, HNT3, OCA1, ATG20, NSE1, RAD9, RCK2, GRX1, PSY3, SPI1, SEY1, ZEO1, BDF1, TFB1, PIF1, ASP3-3, EAF6, GON7, YOL063C, YHR209W, MUS81, SUB1, BSD2, YAF9, CCZ1, HXT6, YKU70, RTT101, GCY1, SIF2, UBC5, LIF1, YCL033C, POL4, IMH1, HXT7, YMR090W, SAC3, HSF1, CTL1, MGA2, LIN1, HHT1, YDR506C, ATG23, ENA1, UBC8, DNL4, MSN1, EAF7, UFO1, GLO2, BNI1, FYV6, YNL200C, HSP104, PEP4, SCC4, ATG4, TRF5, HSP12, RPN4, YKL151C, TFB3, ATG17, BZZ1, HSP32, RAD28, GPH1, SPT16, DPB3, ELM1, RAD14, ATG3, HSP30, SMC5, YBR056W, SLX4, REV3, HEX3, POL2, SIR4, YNG2, ITC1, RAD16, ASP3-1, CTF4, DNA2, GPX1, YKR049C, YMR040W, ASP3-2, YGP1, NSE3, SRL3, YDR357C, ASP3-4, SMC1, PMS1, DOS2, DDR2, VPS30, TRX3, CTK2, HSP33, UBX3, LRP1, RAD26, PSO2, NST1, ATG21, YBR100W, YLR247C, FRT2, ATG8, HTB1, ATG13, ESA1, CDC37, YDL010W, PBI2
GO:0006914	autophagy	2.96728685332146e-09	2.85316043588602e-12	61	709	247	7274	0.00%	0.00	CWC27, GPR1, YNL224C, CNN1, CSI1, ATG23, MAD3, ATG11, REX3, HEM14, ARG82, IRA1, NBP1, HSV2, YPL168W, YLR424W, SEC17, PCL10, YDL133W, PEP4, ADY3, ATG4, VPS30, YLR030W, IES2, HDA3, NKP1, SRC1, TFB3, ECM10, SIR1, ATG17, APJ1, FIN1, RAD28, ATG21, YDR458C, VTC2, RAD14, PIH1, HNT3, ATG3, CCZ1, DUR3, CIS1, RRI1, ATG8, STN1, REV3, VAM7, MEH1, ATG26, RTT101, ATG13, PEX15, ESA1, ATG20, FES1, BUR6, POL4, GTT2
GO:0044248	cellular catabolic process	7.30452522885136e-07	7.02358195081861e-10	142	709	901	7274	0.00%	0.00	GPR1, PCL6, YNL224C, TDH1, ECI1, NTG2, UBX7, GPM2, YLR424W, UFD1, DDP1, SGT1, GCR2, YLR030W, IES2, YPL221W, FIN1, HNT3, ATG20, ERR2, YDR306C, ASG7, MND2, MET30, ARO80, HUL4, ATG11, REX3, HSV2, RPN6, PCL10, PNG1, ADY3, HDA3, NKP1, ASP3-3, SRC1, YDR219C, NCR1, DID4, BSD2, CCZ1, DUR3, UBP6, VAM7, RTT101, GCY1, UBC5, POL4, RNY1, YPL110C, GTT2, CWC27, VID30, HMX1, YGR043C, PRC1, CNN1, CDC53, ATG23, UBC8, RPN5, HEM14, ARG82, SNF7, IRA1, UFO1, GLO2, SEC17, YOL155C, PEP4, ATG4, NOT3, GSC2, TRF5, YLR164W, TFB3, SIR1, YIL169C, ATG17, RAD28, MDM30, GPH1, YUH1, ERR3, YDR458C, APC9, RPT1, RAD14, YTA7, UFD4, ATG3, RRI1, MEH1, SLX4, REV3, HEX3, PEX15, BUR6, NMD2, PLC1, YPL206C, RAD16, ASP3-1, DCS2, CSI1, SCL1, ASP3-2, MAD3, RPN8, PFK26, ASP3-4, NBP1, YPL168W, YDL133W, ERR1, VPS30, UBP2, FYV10, UBX5, UBX3, VID28, LRP1, ECM10, DUR1,2, APJ1, DCP2, ATG21, VTC2, REC104, PIH1, CIS1, STN1, ATG8, ATG26, DCN1, ATG13, ESA1, ULP1, FES1, PPN1, PAI3
GO:0009056	catabolic process	9.47556979787361e-06	9.11112480564771e-09	159	709	1080	7274	0.00%	0.00	DAP2, GPR1, PCL6, YNL224C, TPM1, TDH1, ECI1, ROG1, YOR022C, NTG2, UBX7, GPM2, YLR424W, UFD1, DDP1, SGT1, GCR2, YLR030W, IES2, TGL2, YPL221W, FIN1, HNT3, ATG20, ERR2, YDR306C, ASG7, MND2, PEX13, MET30, ARO80, HUL4, ATG11, REX3, HSV2, RPN6, PCL10, PNG1, ADY3, HDA3, NKP1, ASP3-3, SRC1, SWR1, YDR219C, NCR1, DID4, SUE1, BSD2, CCZ1, DUR3, UBP6, VAM7, RTT101, GCY1, UBC5, POL4, RNY1, YPL110C, GTT2, CWC27, VID30, HMX1, YGR043C, PRC1, CNN1, CDC53, STE13, ATG23, SPO14, UBC8, RPN5, HEM14, ARG82, SNF7, IRA1, UFO1, GLO2, SEC17, YOL155C, YML053C, PEP4, NOT3, ATG4, GSC2, TRF5, RPN4, YLR164W, TFB3, SIR1, YDR444W, YIL169C, ATG17, MDM30, RAD28, GPH1, YUH1, ERR3, YDR458C, APC9, RPT1, YTA7, RAD14, UFD4, ATG3, RRI1, MEH1, SLX4, REV3, HEX3, PEX15, BUR6, NMD2, PLC1, YPL206C, RAD16, ASP3-1, DCS2, CSI1, SCL1, ASP3-2, CHS5, MAD3, RPN8, PFK26, ASP3-4, NBP1, YPL168W, YDL133W, ERR1, VPS30, UBP2, FYV10, UBX5, UBX3, VID28, LRP1, ECM10, DUR1,2, APJ1, DCP2, YOR059C, ATG21, VTC2, REC104, YPS1, PIH1, CIS1, ATG8, STN1, ATG26, ATG13, DCN1, ESA1, ULP1, FES1, PBI2, PPN1, PAI3
GO:0006996	organelle organization	2.10982512795028e-05	2.0286780076445e-08	166	709	1153	7274	0.00%	0.00	IVY1, RAD4, TPM1, YPT1, RVS161, MCM22, BIR1, HSP42, SET3, SFI1, FIS1, RTT106, YOR227W, PEX19, ABF2, USO1, PAF1, SGT1, CSE4, GAC1, TLG2, PEX14, RSF1, TAF3, EXO70, MEC3, FIN1, NUP53, PEX22, CTR9, CHL1, TSC11, YRF1-5, MSS2, GSP2, PDS5, SPC34, YRF1-7, SEC10, PEX12, MND2, CDC55, PEX13, PEX3, NGG1, ATG11, SPC72, YBR095C, CNM67, BDF1, ADY3, EGT2, TFB1, HDA3, PIF1, NKP1, SRC1, SWR1, EAF6, YDR219C, GON7, SPC105, YMR075W, MAD1, DID4, SAS4, NDL1, YAF9, CCZ1, VAM7, YKU70, RTT101, SPA2, SIF2, SPT3, SAC3, SLK19, HSF1, SNC2, VPS3, HDA2, NIP100, CNN1, HHT1, PEP12, OLE1, SNF7, EAF7, YRF1-3, BNI1, SEC17, THI4, SCC4, SEC3, ATG4, TRF5, KAR3, VPS71, YPT11, TFB3, SIR1, ATG17, RGP1, BZZ1, YNG1, MDM30, SPT16, SMC2, APC9, RAD14, ATG3, SPT7, KIP1, VTI1, FOB1, BUB1, PEX5, HEX3, POL2, PEX15, IML3, SIR4, YRF1-4, MSB4, RED1, YNG2, SEC9, ITC1, RAD16, AVO2, CTF4, AVO1, ARC19, DNA2, YRF1-1, MAD3, YRB2, YKT6, NBP1, SMC1, UFE1, GLE1, RGA2, YER030W, SED1, SLM1, ECM10, PEX29, SMC4, ATG21, VTC2, PEX30, VPS16, CIS1, ISW2, ATG8, STN1, NOP15, HTB1, GPA1, ESA1, CDC37, AKL1, ULP1, PBI2, IOC4
GO:0008104	protein localization	0.000107990710843726	1.03837221965121e-07	94	709	570	7274	0.00%	0.00	VPS3, YPT1, BIR1, ATG23, PEP12, YGL079W, GFD1, SNF7, PEX19, MSO1, UFD1, BNI1, USO1, YPT52, SEC17, HSP104, SBH2, YKR078W, SCC4, SEC3, ATG4, TLG2, VPS71, PEX14, MRL1, EXO70, COG8, NUP53, YBL060W, PEX22, YKL065C, ARF2, ATG3, VTI1, FOB1, BUB1, MEH1, PEX5, MSS2, PEX15, GSP2, ATG20, RIC1, COG7, PLC1, SEC9, APS1, SEC10, VPS21, PEX12, PEX13, YSY6, TFC3, VPS17, YMR040W, HSE1, PEX3, CHS5, ATG11, TIP20, YRB30, YRB2, VPS27, VPS60, CBK1, BPH1, UFE1, GLE1, VPS30, YJL049W, SBE2, ENT5, ECM10, VPS64, ATG21, DID4, EMP46, VTC2, BSD2, VPS16, CCZ1, CIS1, ATG8, BTN2, ATG26, ZDS2, ATG13, RAV2, YNL149C, ULP1, SEC72, IMH1, PBI2, SAC3
GO:0048519	negative regulation of biological process	0.000108120658149763	1.03962171297849e-07	69	709	376	7274	0.00%	0.00	MCM10, HSF1, RAD4, VID30, HDA2, HHT1, SET3, UBC8, RTT106, TAP42, ARG82, IRA1, JNM1, PAF1, GAC1, TFB3, SIR1, MEC3, FIN1, KCS1, DPB3, ESC8, IFH1, RRI1, FOB1, BUB1, SLX4, POL2, SIR4, BUR6, RED1, ITC1, CDC55, ESC1, RAD9, CSI1, AVO1, RTT103, SCL1, MAD3, PRR2, YRB2, YBR095C, CSN9, PCL10, PNG1, NCB2, TFB1, HDA3, FYV10, NKP1, PIF1, VID28, MKS1, MAD1, SAS4, RFM1, RRI2, YAF9, YKU70, STN1, ISW2, RTT101, ZDS2, SIF2, HTB1, GPA1, ESA1, SPP41
