Date	Mon Jul 20 09:00:38 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (3)	SDH1 MSF1 PAP1
Unknown identifiers (7)	YGL204C YGR122C-A YER188W YOR343C YLR122C YKL162C-A YPL025C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0055114	oxidation reduction	2.72616037464708e-16	4.05678627179625e-19	52	297	310	7274	0.00%	0.00	AAD16, YMR041C, YPR1, CYB2, ATP1, COX6, TTR1, BNA4, GRE3, UGA2, JLP1, COR1, KGD1, YNL134C, YMR110C, IDH1, ALD6, ZTA1, GDH2, ALD4, MSC7, MDH2, BNA1, NDE1, ACO1, CCC1, HAP4, IDP2, YJR096W, COX5A, BNA2, RPM2, GLT1, QCR8, LPD1, YPL113C, NDI1, YML087C, CYC1, IDH2, ARA1, CYT1, HYR1, CCP1, FMS1, QCR6, QCR2, GUT2, FAS2, NDE2, FAS1, SDH2
GO:0006732	coenzyme metabolic process	4.17708984365967e-14	6.21590750544593e-17	34	297	149	7274	0.00%	0.00	NDE1, ACS1, YIL083C, PYC2, ACO1, PYC1, YMR289W, BNA4, IDP2, BNA5, ICL1, CIT1, BNA2, NDI1, KGD1, TPI1, IDH1, ALD6, KGD2, IDH2, ACH1, FUM1, FMS1, MLS1, CIT2, TES1, ALD4, GUT2, ACS2, MDH2, LSC2, NDE2, SDH2, BNA1
GO:0006084	acetyl-CoA metabolic process	6.73889025566031e-13	1.00281104994945e-15	17	297	33	7274	0.00%	0.00	ACS1, ACO1, IDP2, ICL1, CIT1, KGD1, IDH1, KGD2, ACH1, IDH2, FUM1, MLS1, CIT2, ACS2, LSC2, MDH2, SDH2
GO:0051186	cofactor metabolic process	2.83855118902893e-12	4.22403450748353e-15	38	297	212	7274	0.00%	0.00	YIL083C, PYC1, BNA4, YNR018W, CIT1, ISA1, KGD1, IDH1, ALD6, ACH1, MLS1, TES1, ALD4, MDH2, LSC2, BNA1, NDE1, ACS1, PYC2, ACO1, HAP4, YMR289W, IDP2, BNA5, ICL1, BNA2, NDI1, TPI1, KGD2, CYC1, IDH2, FUM1, CIT2, FMS1, GUT2, ACS2, NDE2, SDH2
GO:0032787	monocarboxylic acid metabolic process	1.66434919744203e-11	2.47671011524111e-14	32	297	159	7274	0.00%	0.00	FBP1, ACS1, PYC2, CYB2, ACO1, YPL095C, CRC1, UGA3, PYC1, YMR289W, ACC1, IDP2, YAT2, ICL1, YMR210W, FBA1, UGA1, LPD1, UGA2, TPI1, ALD6, ACH1, CAT2, MLS1, CIT2, TES1, ALD4, ATF1, MDH2, FAS2, UBP14, FAS1
GO:0006091	generation of precursor metabolites and energy	6.76971023890826e-11	1.0073973569804e-13	50	297	385	7274	0.00%	0.00	CYB2, BMH2, NCA2, GSY2, ATP1, POR1, COX6, TTR1, CIT1, FBA1, COR1, KGD1, ICS2, ATP16, IDH1, ALD6, PDC2, MLS1, ATP3, ATP14, ATF1, MDH2, LSC2, NDE1, ATP17, ATP2, ACS1, ACO1, HAP4, IDP2, ICL1, COX5A, QCR8, MDM32, NDI1, ATP5, TPI1, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GDB1, GLG2, QCR2, NDE2, SDH2
GO:0006099	tricarboxylic acid cycle	7.93814223840141e-10	1.18127116642878e-12	14	297	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0046356	acetyl-CoA catabolic process	7.93814223840141e-10	1.18127116642878e-12	14	297	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0019752	carboxylic acid metabolic process	4.39497187872592e-09	6.54013672429452e-12	48	297	400	7274	0.00%	0.00	FBP1, CYB2, YPL095C, CRC1, GCN4, PYC1, ACC1, PUT4, CIT1, YGL196W, YMR210W, FBA1, UGA2, AGX1, KGD1, IDH1, ALD6, ARO9, ACH1, MLS1, TES1, GDH2, ALD4, ATF1, MDH2, UBP14, ACS1, PYC2, ACO1, UGA3, YMR289W, IDP2, BNA5, YAT2, ICL1, CPA2, GLT1, UGA1, LPD1, TPI1, HOM3, KGD2, IDH2, CAT2, FUM1, CIT2, FAS2, FAS1
GO:0009109	coenzyme catabolic process	7.22670260993627e-09	1.07540217409766e-11	14	297	33	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0006082	organic acid metabolic process	7.5793471094232e-09	1.12787903414036e-11	48	297	406	7274	0.00%	0.00	FBP1, CYB2, YPL095C, CRC1, GCN4, PYC1, ACC1, PUT4, CIT1, YGL196W, YMR210W, FBA1, UGA2, AGX1, KGD1, IDH1, ALD6, ARO9, ACH1, MLS1, TES1, GDH2, ALD4, ATF1, MDH2, UBP14, ACS1, PYC2, ACO1, UGA3, YMR289W, IDP2, BNA5, YAT2, ICL1, CPA2, GLT1, UGA1, LPD1, TPI1, HOM3, KGD2, IDH2, CAT2, FUM1, CIT2, FAS2, FAS1
GO:0051187	cofactor catabolic process	1.18388269188081e-08	1.76173019625121e-11	14	297	34	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2
GO:0045333	cellular respiration	3.09275914486955e-08	4.60232015605588e-11	28	297	161	7274	0.00%	0.00	NDE1, ACO1, NCA2, POR1, COX6, IDP2, ICL1, COX5A, CIT1, QCR8, MDM32, NDI1, COR1, KGD1, IDH1, ALD6, CYC1, KGD2, IDH2, FUM1, CYT1, MLS1, CIT2, QCR6, QCR2, LSC2, MDH2, SDH2
GO:0015980	energy derivation by oxidation of organic compounds	3.11456561665648e-08	4.63477026288167e-11	39	297	296	7274	0.00%	0.00	BMH2, NCA2, GSY2, POR1, COX6, CIT1, COR1, KGD1, ICS2, IDH1, ALD6, PDC2, MLS1, ATF1, MDH2, LSC2, NDE1, ACS1, ACO1, HAP4, IDP2, ICL1, COX5A, QCR8, MDM32, NDI1, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GDB1, GLG2, QCR2, NDE2, SDH2
GO:0006767	water-soluble vitamin metabolic process	6.54329881423688e-08	9.73705180690012e-11	22	297	103	7274	0.00%	0.00	NDE1, SNZ3, PYC2, PYC1, YMR289W, BNA4, YAT2, BNA5, BNA2, THI11, NDI1, TPI1, THI12, ALD6, PDC2, CAT2, SNZ2, THI5, ALD4, GUT2, NDE2, BNA1
