Date	Mon Jul 20 00:28:19 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	1_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (14)	RPL37A ADH5 SDH1 SSC1 BAT1 TIP1 MSF1 ANT1 RIP1 PRS3 SSH1 TUF1 SLC1 APA1
Unknown identifiers (42)	YEL074W YGL204C YDR543C YJR018W YKR012C YLR076C YOL106W YOR200W YPL197C YPL142C YBL100C YPR012W YBL107W-A YGR122C-A YMR046W-A YLR280C YLL044W YNL057W YBL077W YPL238C YDL114W-A YKL225W YJR162C YGR182C YLR149C-A YKL136W YOR203W YBL109W YDR008C YNR077C YDR417C YJR020W YPR044C YBR292C YAR075W YNL337W IMD1 YML089C YLL065W YJL009W YDL228C YIL058W

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006082	organic acid metabolic process	8.70476597771179e-43	8.47591623925198e-46	151	818	406	7274	0.00%	0.00	WRS1, ADH3, CYB2, CRC1, ARO4, EHD3, CHA1, BIO2, KGD1, ILS1, LEU2, MIS1, ACH1, MCT1, LYS21, GDH2, ARG5,6, MET16, SAM2, CPA1, GCV3, TYR1, FAT1, PDH1, YAT2, YDR428C, CPA2, ASP1, GUA1, MST1, MET14, ABZ1, LYS1, HIS4, YER087W, CAT2, SRY1, SAM4, CIT3, DLD3, FAA1, MES1, PYC1, TRP1, ACC1, HIS3, LYS20, ARG2, ACB1, DLD2, YMR210W, TRP4, LEU4, HOM6, MTD1, ADE6, YDR341C, GRS1, HTD2, THR4, ECM40, URA8, YJR111C, HTS1, ILV2, YNL247W, ILV3, SAH1, ARO2, ARG4, HOM3, MSW1, HIS6, TYS1, AAT2, LEU9, RML2, YNL045W, ARO1, YMR085W, ASN2, KRS1, MET3, YHR020W, IAH1, TRP3, MAE1, LYS9, CEM1, PET112, PCK1, HIS5, ALD4, PHA2, MDH2, FAA4, MET22, ACS1, TRP2, ALA1, ACO1, ISA2, SER1, MEU1, LYS4, EHT1, ARG8, LPD1, BAT2, SNF4, IDP1, SHM1, ARO8, FAS2, UTR4, ADE3, VAS1, LEU1, SNO1, TRP5, HIS2, ILV1, LAP3, ARO9, ISM1, LYS2, GCV1, PDA1, ADH2, YLR089C, SHM2, FOL1, SER33, YDR531W, SLM5, MET18, PYC2, ADE4, BNA5, PUT3, ICL1, HOM2, ARG3, UGA1, GCV2, ARG1, KGD2, LIP5, DED81, LIP2, FRS2
GO:0019752	carboxylic acid metabolic process	3.00067120033102e-42	2.9217830577712e-45	149	818	400	7274	0.00%	0.00	WRS1, ADH3, CYB2, CRC1, ARO4, EHD3, CHA1, BIO2, KGD1, ILS1, LEU2, MIS1, ACH1, MCT1, LYS21, GDH2, ARG5,6, MET16, SAM2, CPA1, GCV3, TYR1, FAT1, PDH1, YAT2, YDR428C, CPA2, ASP1, GUA1, MST1, MET14, ABZ1, LYS1, HIS4, YER087W, CAT2, SRY1, SAM4, CIT3, DLD3, FAA1, MES1, PYC1, TRP1, ACC1, HIS3, LYS20, ARG2, ACB1, DLD2, YMR210W, TRP4, LEU4, HOM6, MTD1, ADE6, YDR341C, GRS1, HTD2, THR4, ECM40, URA8, HTS1, ILV2, YNL247W, ILV3, SAH1, ARO2, ARG4, HOM3, MSW1, HIS6, TYS1, AAT2, LEU9, RML2, YNL045W, ARO1, YMR085W, ASN2, KRS1, MET3, YHR020W, IAH1, TRP3, MAE1, LYS9, CEM1, PET112, PCK1, HIS5, ALD4, PHA2, MDH2, FAA4, MET22, ACS1, TRP2, ALA1, ACO1, ISA2, SER1, MEU1, LYS4, EHT1, ARG8, LPD1, BAT2, SNF4, IDP1, SHM1, ARO8, FAS2, UTR4, ADE3, VAS1, LEU1, SNO1, TRP5, HIS2, ILV1, LAP3, ARO9, ISM1, LYS2, GCV1, PDA1, ADH2, YLR089C, SHM2, FOL1, SER33, SLM5, MET18, PYC2, ADE4, BNA5, PUT3, ICL1, HOM2, ARG3, UGA1, GCV2, ARG1, KGD2, LIP5, DED81, LIP2, FRS2
GO:0006519	cellular amino acid and derivative metabolic process	2.38713280751802e-41	2.32437469086467e-44	119	818	272	7274	0.00%	0.00	WRS1, ADH3, BNA4, ARO4, EHD3, ARO1, CHA1, KRS1, ASN2, YMR085W, ILS1, LEU2, YHR020W, MET3, MIS1, TRP3, MAE1, LYS9, PET112, LYS21, GDH2, HIS5, ARG5,6, MET16, YPL103C, PHA2, SAM2, CPA1, MET22, GCV3, TRP2, ALA1, ACO1, SER1, MEU1, TYR1, LYS4, YAT2, YDR428C, CPA2, ASP1, GUA1, ARG8, LPD1, MST1, SPE4, YHR198C, MET14, ABZ1, LYS1, HIS4, BAT2, YER087W, CAT2, SRY1, ANB1, SHM1, IDP1, ARO8, SAM4, UTR4, ADE3, VAS1, MES1, TRP1, LEU1, SNO1, HIS3, TRP5, LYS20, ARG2, HIS2, TRP4, LEU4, HOM6, ILV1, ADE6, LAP3, ARO9, ISM1, LYS2, YDR341C, GRS1, GCV1, ADH2, YLR089C, THR4, SHM2, HYP2, SER33, ECM40, URA8, SLM5, HTS1, PYC2, MET18, ADE4, ILV2, BNA5, PUT3, HOM2, ILV3, YNL247W, ARG3, ARO2, SAH1, UGA1, ARG4, GCV2, HOM3, ARG1, DIC1, MSW1, HIS6, TYS1, DED81, AAT2, LEU9, FRS2
GO:0009308	cellular amine metabolic process	5.12409415153731e-38	4.98938086809864e-41	115	818	272	7274	0.00%	0.00	WRS1, ADH3, ARO4, YLR168C, EHD3, ARO1, CHA1, KRS1, ASN2, YMR085W, DAL2, ILS1, LEU2, YHR020W, MET3, MIS1, TRP3, MAE1, LYS9, PET112, LYS21, GDH2, HIS5, ARG5,6, MET16, YPL103C, PHA2, SAM2, CPA1, MET22, GCV3, TRP2, ALA1, ACO1, SER1, MEU1, TYR1, LYS4, YAT2, YDR428C, CPA2, ASP1, GUA1, ARG8, LPD1, MST1, SPE4, MET14, ABZ1, LYS1, HIS4, BAT2, YER087W, CAT2, SRY1, SHM1, IDP1, ARO8, SAM4, UTR4, ADE3, VAS1, MES1, TRP1, LEU1, SNO1, HIS3, TRP5, LYS20, ARG2, HIS2, TRP4, LEU4, HOM6, ILV1, ADE6, LAP3, ARO9, ISM1, LYS2, YDR341C, GRS1, GCV1, ADH2, YLR089C, THR4, SHM2, SER33, ECM40, URA8, SLM5, HTS1, MET18, ADE4, ILV2, BNA5, PUT3, HOM2, ARG3, ILV3, YNL247W, ARO2, SAH1, UGA1, ARG4, GCV2, HOM3, ARG1, MSW1, HIS6, TYS1, DED81, AAT2, LEU9, FRS2
GO:0034641	cellular nitrogen compound metabolic process	1.91568564214636e-37	1.8653219495096e-40	115	818	275	7274	0.00%	0.00	WRS1, ADH3, ARO4, YLR168C, EHD3, ARO1, CHA1, KRS1, ASN2, YMR085W, DAL2, ILS1, LEU2, YHR020W, MET3, MIS1, TRP3, MAE1, LYS9, PET112, LYS21, GDH2, HIS5, ARG5,6, MET16, YPL103C, PHA2, SAM2, CPA1, MET22, GCV3, TRP2, ALA1, ACO1, SER1, MEU1, TYR1, LYS4, YAT2, YDR428C, CPA2, ASP1, GUA1, ARG8, LPD1, MST1, SPE4, MET14, ABZ1, LYS1, HIS4, BAT2, YER087W, CAT2, SRY1, SHM1, IDP1, ARO8, SAM4, UTR4, ADE3, VAS1, MES1, TRP1, LEU1, SNO1, HIS3, TRP5, LYS20, ARG2, HIS2, TRP4, LEU4, HOM6, ILV1, ADE6, LAP3, ARO9, ISM1, LYS2, YDR341C, GRS1, GCV1, ADH2, YLR089C, THR4, SHM2, SER33, ECM40, URA8, SLM5, HTS1, MET18, ADE4, ILV2, BNA5, PUT3, HOM2, ARG3, ILV3, YNL247W, ARO2, SAH1, UGA1, ARG4, GCV2, HOM3, ARG1, MSW1, HIS6, TYS1, DED81, AAT2, LEU9, FRS2
GO:0006520	cellular amino acid metabolic process	3.73230169225706e-37	3.63417886295721e-40	108	818	247	7274	0.00%	0.00	WRS1, ADH3, ARO4, EHD3, ARO1, CHA1, KRS1, ASN2, YMR085W, ILS1, LEU2, YHR020W, MET3, MIS1, TRP3, MAE1, LYS9, PET112, LYS21, GDH2, HIS5, ARG5,6, MET16, PHA2, SAM2, CPA1, MET22, GCV3, TRP2, ALA1, ACO1, SER1, MEU1, TYR1, LYS4, YDR428C, CPA2, ASP1, GUA1, ARG8, LPD1, MST1, MET14, ABZ1, LYS1, HIS4, BAT2, YER087W, SRY1, SHM1, IDP1, ARO8, SAM4, UTR4, ADE3, VAS1, MES1, TRP1, LEU1, SNO1, HIS3, TRP5, LYS20, ARG2, HIS2, TRP4, LEU4, HOM6, ILV1, ADE6, LAP3, ARO9, ISM1, LYS2, GRS1, YDR341C, GCV1, ADH2, YLR089C, THR4, SHM2, SER33, ECM40, URA8, SLM5, HTS1, MET18, ADE4, ILV2, BNA5, PUT3, HOM2, ILV3, YNL247W, ARG3, ARO2, SAH1, ARG4, GCV2, HOM3, ARG1, MSW1, HIS6, TYS1, DED81, AAT2, LEU9, FRS2
GO:0006807	nitrogen compound metabolic process	7.73157343005943e-37	7.52830908477063e-40	122	818	309	7274	0.00%	0.00	WRS1, ADH3, ARO4, YLR168C, EHD3, ARO1, CHA1, KRS1, ASN2, YMR085W, DAL2, ILS1, LEU2, YHR020W, MET3, MIS1, TRP3, MAE1, LYS9, PET112, LYS21, GDH2, HIS5, ARG5,6, MET16, YPL103C, PHA2, SAM2, CPA1, MET22, GCV3, TRP2, ALA1, ACO1, BAP3, SER1, MEU1, TYR1, LYS4, YAT2, YDR428C, CPA2, ASP1, GUA1, ARG8, LPD1, MST1, SPE4, MET14, ABZ1, LYS1, HIS4, BAT2, YER087W, CAT2, SRY1, SHM1, IDP1, ARO8, SAM4, DLD3, UTR4, ADE3, VAS1, MES1, TRP1, LEU1, ATR1, SNO1, HIS3, TRP5, LYS20, ARG2, HIS2, TRP4, LEU4, HOM6, ILV1, ADE6, NIT1, LAP3, ARO9, ISM1, LYS2, YDR341C, GRS1, GCV1, ADH2, YLR089C, THR4, SHM2, SER33, ECM40, URA8, SLM5, HTS1, MET18, ADE4, ILV2, BNA5, PUT3, FUN34, HOM2, ARG3, ILV3, YNL247W, ARO2, SAH1, UGA1, ARG4, GCV2, HOM3, ARG1, DIC1, MSW1, HIS6, YIL165C, TYS1, DED81, AAT2, LEU9, FRS2
GO:0006725	cellular aromatic compound metabolic process	4.4063796405177e-25	4.29053519037751e-28	64	818	128	7274	0.00%	0.00	ADE3, TRP1, ATR1, SNO1, HIS3, ARO4, XPT1, TRP5, ARO1, SFB2, CHA1, SSU1, HIS2, YGL039W, TRP4, DAL2, CAF16, MTD1, ARO9, MIS1, GCV1, YHR162W, TRP3, DRE2, YKL033W-A, HIS5, SDT1, FOL1, ARG5,6, YDR531W, SER33, PHA2, ECM40, URA8, ADE2, SAM2, GCV3, CPA1, YHR122W, TRP2, PYC2, BAP3, SER1, TYR1, ADE4, BNA5, YDR428C, CPA2, ARG3, ARO2, UGA1, FCY1, ABZ1, LYS1, GCV2, ARG1, URA4, IDP1, YNL311C, ARO8, URA1, SAM4, FUR1, DLD3
GO:0008652	cellular amino acid biosynthetic process	6.73361152693803e-22	6.55658376527559e-25	61	818	130	7274	0.00%	0.00	UTR4, ADE3, TRP1, LEU1, HIS3, ARO4, TRP5, LYS20, ARO1, ARG2, HIS2, ASN2, TRP4, HOM6, LEU4, ILV1, LEU2, LYS2, MET3, MIS1, TRP3, LYS9, YLR089C, THR4, LYS21, HIS5, ARG5,6, MET16, PHA2, SER33, ECM40, SAM2, MET22, CPA1, TRP2, ACO1, SER1, MEU1, TYR1, LYS4, ILV2, HOM2, CPA2, ARG3, ILV3, ARO2, ARG8, LPD1, ARG4, MET14, LYS1, HIS4, HOM3, BAT2, ARG1, SHM1, IDP1, HIS6, SAM4, AAT2, LEU9
GO:0007005	mitochondrion organization	2.29441105749657e-21	2.23409061099959e-24	94	818	280	7274	0.00%	0.00	CBP3, RSM24, MAS2, MDM12, TOM22, MRPS5, YLR168C, YDR185C, HOT13, ATP12, PET123, MRP2, MDV1, YME1, RSM23, COX17, MRPL23, TOM5, PET112, SAM35, QRI7, CAF4, CLU1, ALA1, ACO1, RSM26, YGR046W, PNT1, MRPL6, MST1, RSM22, MGM1, NAM9, MDM34, YML6, MRPL1, MRPL31, MRPL3, MRPL22, MDM10, MHR1, TOM40, MIA40, PAM16, TIM50, ERV1, YMR098C, TOM7, RIM2, PAM18, MRPL20, MRPS9, MRPL40, RSM25, MRP20, MRPL28, MRPL7, ARP3, UGO1, YPL098C, MRP4, DNM1, ISM1, MRPS8, GRS1, TOM20, MRPL35, TAZ1, YPL183W-A, MRPL44, YHM2, SLM5, HTS1, MBA1, MEF1, YKR065C, MRP13, YKR016W, MAS6, MDM32, MRPS35, TCM62, MRPL49, MRPL19, HSP60, COX18, MRPL38, PCP1, MSW1, MAS1, AFG3, SHY1, TOM6, SAM50
