Date	Mon Jul 20 00:28:49 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (6)	MIF2 NUD1 APL1 PCA1 STS1 TAF1
Unknown identifiers (20)	YMR086C-A YGL072C PSY1 YMR007W YML116W-A YHR214W-A YCR025C YNL303W YIL100W YLL020C YBL048W YIL059C YMR153C-A YOR013W YCR064C YMR304C-A VPS63 YPL025C YBR116C YMR316C-B

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0050896	response to stimulus	2.11664503322766e-19	1.72224982361892e-22	242	866	1155	7274	0.00%	0.00	PHR1, TDP1, GPR1, BCK1, RAD4, YLR126C, PHM6, MCK1, RVS161, TIR1, SET1, YLR426W, PEP3, YRO2, HSP42, MPH1, ELG1, RDH54, TAP42, FRE2, YTP1, SMC6, NCA3, YOL111C, SPG5, CTF18, STE11, KTR2, GAC1, PSY2, YEN1, STD1, NHA1, MOH1, MEC3, CDD1, TPS2, RNR1, RAD30, KCS1, HRR25, GOS1, STF2, HHT2, PRI2, YJL055W, CHS3, MIG2, YLL029W, FPS1, XBP1, ATG20, PHO5, GLK1, YNR047W, TIS11, RAD53, ASF1, PDS1, CDC9, KNS1, SNF2, UME6, MET30, HAC1, PAN2, POG1, YJL012C-A, STB5, TPS1, CSM3, FET3, SCJ1, KAR2, CSG2, CBK1, XRS2, SPI1, RLF2, ZRT3, PRX1, BDF1, YNL234W, DDC1, PIF1, NPL6, CUP2, MLH3, UNG1, POL32, RPB4, NRG1, MUS81, SLN1, COX20, RRI2, YAF9, PHD1, CCZ1, YHL010C, AKR1, YKU70, TFC6, SPA2, NHP6A, MRK1, SNT1, GPD1, EAF5, RTT107, YOL019W, IMH1, POL4, SKY1, HSP31, GTT2, YMR090W, SNF6, HSF1, CAD1, MSC1, HYS2, DDR48, HHT1, STH1, PDR15, YDR506C, STE13, TPO1, SPO14, RAD24, MCD1, SSK22, DNL4, VPS15, TOS1, YHR087W, UFO1, YPL088W, YDL057W, GTS1, YKL071W, SWI6, MSB2, HSP104, PRB1, TRF5, HSP12, RCE1, YKL151C, BMH1, TFB3, CBF1, YIL169C, TRR2, POL1, ATG17, BZZ1, GAD1, HSP32, CSM2, RAD28, HAL1, DPB3, GPH1, YDR314C, ECO1, ELM1, CPR7, SMC5, GPA2, HOS2, RRI1, REV3, MEH1, SLX4, BRE1, HEX3, SIR4, AFT2, YNG2, FRE3, BOP3, LHS1, BRO1, LAP4, SPG3, YNL274C, RFA2, CTF4, YNL190W, UBI4, RMI1, GPX1, PEA2, YGP1, NSE3, SMC1, TFB4, PMS1, YRA1, PRM4, RAD2, OYE3, SSQ1, SEC59, TEL1, PIR3, RSC8, EDE1, MSH6, VPS30, LTE1, HSP33, FAR8, CTK2, UBX3, HOR2, HBT1, AZF1, YDL124W, UBA4, YIL077C, YLR455W, YBR100W, ACT1, SLG1, RPH1, YLR247C, SSK1, YDR109C, SSY1, YDR338C, SSA4, EPL1, ATG13, GPA1, ESA1, MAC1, RFC2, YDL010W, PRP19
GO:0033554	cellular response to stress	2.4020686365771e-18	1.95449034709284e-21	139	866	530	7274	0.00%	0.00	PHR1, TDP1, BCK1, RAD4, YLR126C, MCK1, SET1, YRO2, MPH1, ELG1, RDH54, YTP1, SMC6, SPG5, CTF18, STE11, KTR2, YEN1, MOH1, MEC3, RAD30, HRR25, STF2, HHT2, PRI2, CHS3, ATG20, PHO5, GLK1, RAD53, CDC9, PDS1, KNS1, SNF2, HAC1, PAN2, STB5, TPS1, CSM3, SCJ1, XRS2, SPI1, PRX1, BDF1, DDC1, PIF1, MLH3, UNG1, POL32, RPB4, MUS81, SLN1, COX20, YAF9, CCZ1, YKU70, NHP6A, SNT1, EAF5, RTT107, POL4, HSP31, YMR090W, SNF6, MSC1, DDR48, HYS2, HHT1, STH1, YDR506C, PDR15, RAD24, DNL4, SSK22, MCD1, VPS15, YHR087W, YPL088W, YDL057W, MSB2, SWI6, HSP104, PRB1, TRF5, HSP12, YKL151C, BMH1, TFB3, ATG17, POL1, GAD1, CSM2, RAD28, GPH1, DPB3, YDR314C, ECO1, SMC5, HOS2, SLX4, REV3, HEX3, SIR4, YNG2, LHS1, LAP4, CTF4, RFA2, YNL274C, SPG3, UBI4, YGP1, NSE3, SMC1, TFB4, PMS1, YRA1, RAD2, SEC59, TEL1, RSC8, PIR3, VPS30, MSH6, EDE1, UBX3, HBT1, YDL124W, ACT1, YBR100W, RPH1, SSK1, EPL1, SSA4, ATG13, ESA1, RFC2, YDL010W, PRP19
GO:0051716	cellular response to stimulus	2.95925822267834e-18	2.40785860266748e-21	143	866	554	7274	0.00%	0.00	PHR1, TDP1, GPR1, BCK1, RAD4, YLR126C, MCK1, SET1, YRO2, MPH1, ELG1, RDH54, YTP1, SMC6, SPG5, CTF18, STE11, KTR2, YEN1, MOH1, MEC3, RAD30, HRR25, STF2, HHT2, PRI2, CHS3, MIG2, ATG20, PHO5, GLK1, RAD53, CDC9, PDS1, KNS1, SNF2, HAC1, PAN2, POG1, STB5, TPS1, CSM3, SCJ1, XRS2, SPI1, PRX1, BDF1, DDC1, PIF1, MLH3, UNG1, POL32, RPB4, MUS81, SLN1, COX20, YAF9, CCZ1, YKU70, NHP6A, SNT1, EAF5, RTT107, POL4, HSP31, YMR090W, SNF6, MSC1, DDR48, HYS2, HHT1, STH1, YDR506C, PDR15, RAD24, MCD1, DNL4, SSK22, VPS15, YHR087W, YPL088W, YDL057W, MSB2, SWI6, HSP104, PRB1, TRF5, HSP12, YKL151C, BMH1, TFB3, ATG17, POL1, GAD1, CSM2, RAD28, GPH1, DPB3, YDR314C, ECO1, SMC5, GPA2, HOS2, SLX4, REV3, HEX3, SIR4, YNG2, LHS1, LAP4, CTF4, RFA2, YNL274C, SPG3, UBI4, YGP1, NSE3, SMC1, TFB4, PMS1, YRA1, RAD2, SEC59, TEL1, RSC8, PIR3, VPS30, MSH6, EDE1, UBX3, HBT1, YDL124W, ACT1, YBR100W, RPH1, SSK1, EPL1, SSA4, ATG13, ESA1, RFC2, YDL010W, PRP19
GO:0065007	biological regulation	3.38421018902671e-17	2.75362912044484e-20	318	866	1731	7274	0.00%	0.00	GPR1, RAD4, YLR126C, ERG11, SET1, SPO7, IWR1, TAP42, HIF1, GYP7, STE11, CLB3, GAC1, MRH1, RRN9, STD1, ARN1, FIN1, MET31, PFK2, SDS3, PEX22, ESC8, YPR031W, HHT2, MIG2, YLL029W, HOS1, SPT15, DUO1, TIS11, RIC1, ASF1, REX2, FRE6, SNF2, MET30, ARO80, HAC1, NMT1, CYR1, POG1, STB5, STP2, SPC72, CSM3, FET3, YBR095C, ASE1, VIP1, PZF1, CSG2, CBK1, PCL10, ELP4, RLF2, PRX1, VTC1, BDF1, DDC1, TOK1, PIF1, NPL6, PCL5, CMK1, LGE1, CYC8, VMA13, GPM3, IML1, SAS4, SLN1, PDI1, YAF9, PHD1, CCZ1, AKR1, YKU70, SPA2, IPL1, NHP6A, SNT1, GPD1, PMA2, YOL019W, EPS1, SKY1, NUP116, CLB4, PKC1, CAD1, MBF1, RAD24, SSK22, ARP9, TUS1, PCL1, SWI6, MSB2, NOT3, GSC2, BMH1, TFB3, ARC15, LDB7, YIL169C, BDP1, HAL1, YPL105C, ZAP1, YTA7, ELM1, SPT7, UPC2, SLX4, HEX3, MSB4, PLC1, FRE3, SPH1, SNF12, HST1, MDR1, SUM1, AVO1, RMI1, MOT1, MAD3, NHX1, TFB4, GIC1, VMA4, NCB2, TEL1, PET122, CAF130, AZF1, SIT1, UBA4, CAF40, YBR100W, ACT1, RPH1, SSK1, TPI1, STN1, BRE4, MCM3, ATG13, GPA1, ESA1, MAC1, RFC2, YDL010W, SPP41, GPG1, TYE7, PRP19, YPT53, BCK1, MCK1, PKH3, HSL1, VMA2, MPH1, ELG1, SWI4, FTR1, YPT6, PRP28, SGF29, RDI1, VTA1, GDI1, MLP2, MTH1, ECM32, TRK1, NHA1, MEC3, YAP5, KCS1, RAD30, HRR25, IWS1, ADA2, STF2, PER1, RRP6, PRP8, CDC45, XBP1, PHO5, RAD53, RRM3, TGS1, VPS5, YPL267W, UME6, CDC19, FKS1, PAN2, RTT105, YOR066W, IES1, TPK1, TFC4, TFC7, GIN4, XRS2, PHO91, ZRT3, PNG1, CUP2, MDS3, OST6, SWR1, RIF1, POL12, LEO1, HTZ1, YDR266C, CRZ1, NRG1, BUD2, RRI2, PGI1, TFC6, MRK1, EAF5, RTT107, PUF6, SPT21, TOF2, GTT2, SNF6, PGM2, MCM10, HSF1, GBP2, HMX1, HHO1, PMP3, MED6, HHT1, STH1, PRP45, PMC1, ROX3, VPS15, HST4, RIS1, JNM1, GTS1, LEM3, YCS4, PKH2, PRB1, YDR026C, ENO2, CBF1, TRR2, ATG17, PSK1, DPB3, GLO3, SEC4, CCC2, GPA2, RRI1, HOS2, BUB1, MEH1, BRE1, SIR4, DPP1, DYN1, TOP1, AFT2, HCM1, SLI15, VPS21, AVO2, COS111, PDC1, RFA2, MHP1, PEA2, FHL1, MAF1, VPS27, BUB2, BOI2, SCW11, FIT2, KIN4, YRA1, SWI3, SSQ1, PRM4, COS3, RSC8, EDE1, LTE1, VPS4, CTK2, PAC11, GIS4, PIG1, HBT1, TFA2, VMA8, PPQ1, SLG1, ISW1, ELA1, ASF2, EPL1
GO:0006950	response to stress	6.86148693649719e-15	5.58298367493669e-18	180	866	829	7274	0.00%	0.00	PHR1, TDP1, BCK1, RAD4, YLR126C, MCK1, RVS161, TIR1, SET1, YRO2, HSP42, MPH1, ELG1, RDH54, YTP1, SMC6, SPG5, CTF18, STE11, KTR2, GAC1, PSY2, YEN1, STD1, NHA1, MOH1, MEC3, CDD1, TPS2, RNR1, RAD30, HRR25, STF2, HHT2, PRI2, CHS3, XBP1, ATG20, PHO5, GLK1, RAD53, ASF1, CDC9, PDS1, KNS1, SNF2, HAC1, PAN2, POG1, STB5, TPS1, CSM3, SCJ1, KAR2, XRS2, SPI1, RLF2, ZRT3, PRX1, BDF1, YNL234W, DDC1, PIF1, NPL6, MLH3, UNG1, POL32, RPB4, MUS81, SLN1, COX20, YAF9, PHD1, CCZ1, YKU70, NHP6A, MRK1, SNT1, GPD1, EAF5, RTT107, POL4, IMH1, HSP31, YMR090W, SNF6, HSF1, MSC1, DDR48, HYS2, HHT1, STH1, PDR15, YDR506C, RAD24, MCD1, SSK22, DNL4, VPS15, YHR087W, UFO1, YPL088W, YDL057W, MSB2, SWI6, HSP104, PRB1, TRF5, HSP12, YKL151C, BMH1, TFB3, TRR2, POL1, ATG17, BZZ1, GAD1, HSP32, CSM2, RAD28, HAL1, GPH1, DPB3, YDR314C, ECO1, ELM1, CPR7, SMC5, HOS2, REV3, SLX4, HEX3, SIR4, AFT2, YNG2, LHS1, LAP4, CTF4, RFA2, YNL274C, SPG3, YNL190W, UBI4, RMI1, GPX1, YGP1, NSE3, SMC1, TFB4, PMS1, YRA1, RAD2, SSQ1, SEC59, TEL1, PIR3, RSC8, EDE1, MSH6, VPS30, HSP33, CTK2, UBX3, HBT1, HOR2, YDL124W, UBA4, ACT1, YBR100W, SLG1, RPH1, YLR247C, SSK1, SSA4, EPL1, ATG13, ESA1, RFC2, YDL010W, PRP19
GO:0007049	cell cycle	1.75468349708993e-14	1.4277327071521e-17	146	866	623	7274	0.00%	0.00	MCK1, HSL1, SFI1, SPO7, KAR9, IWR1, ELG1, RDH54, SWI4, SLD3, CTF18, CLB3, YOR019W, CSE4, GAC1, MLP2, PIS1, YGL250W, YPR115W, MEC3, FIN1, HRR25, ADA2, CIK1, REC107, CDC45, PDS5, SPC34, DUO1, VIK1, RAD53, CDC9, PDS1, YPL267W, UME6, MET30, YOR066W, POG1, SPC72, CSM3, TPK1, ASE1, CBK1, PCL10, XRS2, GIN4, BDF1, ADY3, DDC1, PCL5, MDS3, IRR1, SRC1, SPC110, MLH3, RIF1, MUS81, PRP46, CHS2, NAP1, IPL1, RIM8, SNT1, TOF2, SLK19, MCM10, HSF1, CLB4, PKC1, MSC1, NIP100, CNN1, STH1, RAD24, SPO14, MCD1, DNL4, VHS1, GTS1, PCL1, SWI6, YCS4, YGR271C-A, TRF5, DSE1, SLD2, BMH1, TFB3, SPO1, RGP1, CSM2, MSC3, SMC2, DSN1, ECO1, ELM1, SPT7, MCM21, KIP1, RIO1, HOS2, BUB1, IML3, DYN1, MPC54, TOP1, YNG2, ARP1, HCM1, SPR6, CTF4, RFA2, SUM1, RMI1, SPC98, MAD3, BUB2, NBP1, SMC1, KIN4, TFB4, GIC1, BBP1, PMS1, SMC3, YRB1, TEL1, BNI5, RSC8, LTE1, SPC42, MSH6, FAR8, SPC29, KAR1, ACT1, YBR100W, SLG1, NUF2, YHR127W, EPL1, YCG1, MCM3, ESA1, RFC2, MPS2
GO:0009987	cellular process	2.47329537170604e-13	2.01244537974454e-16	725	866	5304	7274	0.00%	0.00	YLR126C, ERG11, SET1, SFI1, GYP7, YIL168W, YOL111C, SPG5, DNF1, STE11, CLB3, FCY21, RRN9, TLG2, STD1, ARN1, YPL221W, FIN1, MET31, SDS3, YPR031W, MIG2, ECM2, YGR093W, GLK1, SPT15, VIK1, SNT2, ASF1, CDC9, ERG5, REX2, FRE6, FAB1, ECM3, SCW10, CYR1, ATG11, STB5, RRP7, CWC24, SPC72, YOR060C, YBR095C, YLR454W, SRL2, ASE1, VIP1, PZF1, CSG2, KAR2, CBK1, AVT1, YER186C, DBP1, BDF1, PCL5, CMK1, SPC110, MLH3, CUE1, CYC8, VMA13, GPM3, OSH2, SAS4, SLN1, YHR003C, BET3, PRP46, CAN1, ZRT2, IPI1, AKR1, VAM7, YKU70, SPA2, IPL1, NHP6A, SNT1, PMA2, YLR446W, YOL019W, UBR2, YMR090W, NUP116, CLB4, CAD1, ERG3, MSC1, PDR15, ARP9, YDL099W, YHR087W, UFO1, SWI6, MSB2, EDC2, HSP104, YOL155C, NOT3, DSE1, SLD2, THI80, BMH1, TFB3, ARC15, LDB7, YIL169C, ERV2, RGP1, BZZ1, CSM2, BDP1, MSC3, SMC2, YPL105C, ZAP1, DSN1, DCP1, UGP1, MCM21, SPT7, KIP1, UPC2, PRP12, MSB4, RPC37, YPL150W, FRE3, VRG4, SNF12, LHS1, MNN1, SPG3, SUM1, PET10, RMI1, GWT1, MOT1, VMA4, YRB1, NCB2, SSO1, TEL1, VPS70, BNI5, PIR3, PET122, YLR016C, DUR1,2, APJ1, YMR163C, YOR006C, RPH1, VTC2, ERG25, SSK1, ATG26, PEX28, LSB5, ESA1, MAC1, RFC2, YDL010W, GPG1, MPS2, TYE7, PRP19, BCK1, RVS161, MCK1, YRO2, HSL1, MPH1, ISF1, SED5, ELG1, CPR2, SWI4, YSA1, YTP1, SMC6, YPT6, PRP28, NCA3, ZRT1, SEN34, SGF29, RDI1, VTA1, YOR154W, YNL254C, SKN1, MLP2, PIS1, NCE102, YGL250W, YEN1, MTH1, YPR115W, ECM32, EXO70, MOH1, MEC3, RAD30, KCS1, IWS1, GOS1, STF2, PER1, PRI2, AGP1, RRP6, SHR5, PRP8, RPT2, YLR194C, FPS1, PHO5, LAS1, PRP40, RRM3, PEX12, TGS1, RIA1, RTT105, PAN2, GRS2, PEX3, SLY41, HSV2, SCJ1, YDL176W, TFC7, PHO91, XRS2, SPI1, ZRT3, CUP2, GPI17, YDR219C, UNG1, LEO1, HTZ1, POL32, NCR1, RPC34, YDR266C, RPB4, MUS81, YGR277C, RRI2, PGI1, YHL010C, NAP1, EAF5, RTT107, SEN54, SPT21, RNY1, HSP31, GTT2, MCM10, HMX1, PMP3, MED6, HHT1, YDR506C, PRP45, ROX3, PMC1, YNL144C, VPS15, TRS33, GTS1, UPF3, NOP12, PRB1, PKH2, YGR271C-A, YDR026C, HRT3, YKL151C, ENO2, CBF1, NSA2, SPO1, GAD1, GUD1, GPA2, RRI1, REV3, MEH1, YGR251W, SIR4, YOR291W, YNG2, HCM1, VPS21, CUS1, COS111, PDC1, LAP4, YNL274C, MHP1, COX5B, VPS17, PEA2, HSE1, SPC98, FHL1, ENO1, LRO1, BPT1, BUB2, KRE5, MAF1, NSE3, BOI2, NBP1, SCW11, SMC1, KIN4, FIT2, SBE22, PMS1, SWI3, YRA1, PRM4, SSQ1, OYE3, COS3, SEC59, GLE1, EDE1, LTE1, PMT6, RIX7, GIS4, ECM10, SPC29, ISW1, SLG1, PPQ1, ISN1, ATG22, SNU71, PAI3, GPR1, TDP1, RVS167, RAD4, CWC22, TDH1, YDR221W, YLR426W, PEP3, CTS1, TRM10, MDM1, SPO7, IWR1, KAR9, UBX7, CRR1, TAP42, MSO1, HIF1, PCI8, BUD7, YEL041W, YLR030W, GAC1, MRH1, GAS3, CDD1, RNR1, TPS2, PFK2, ESC8, PEX22, YPS3, CIK1, HHT2, CHS3, MPE1, YLL029W, HOS1, YDL046W, RPC25, ERR2, YDR306C, ADP1, PDS5, DUO1, SRP68, SPC34, TIS11, RIC1, DYN3, PDS1, KNS1, SNF2, ARO80, MET30, HAC1, NMT1, POG1, TPS1, STP2, FET3, CSM3, ECM33, YDR049W, PCL10, YOL075C, ELP4, RLF2, FBP26, VTC1, PRX1, ADY3, YLR437C, DDC1, SEC53, TOK1, PIF1, NPL6, LGE1, YNR034W-A, SPC105, IML1, EMP46, THI6, RPL15B, COX20, SPO73, PDI1, GND2, CUE2, EXG1, PHD1, YAF9, CCZ1, YLR243W, RIM8, GPD1, POL4, ERP5, EPS1, DIG2, SKY1, MRD1, PKC1, MBF1, NIP100, DDR48, CNN1, BCP1, PEP12, RAD24, SPO14, SSK22, YDL199C, TUS1, YPL088W, YDL057W, VPS20, PCL1, YPL277C, PUT1, PGK1, SPP2, GSC2, TRF5, RNH202, VPS29, POL1, MDM30, HAL1, GPH1, ERR3, YDR314C, RPT1, YTA7, ELM1, RIO1, SLX4, ALG9, HEX3, GPI13, IML3, MPC54, APL5, HMG2, SEC6, PLC1, SPH1, HST1, MDR1, ERS1, AVO1, MAD3, PFK26, SNU23, NHX1, GIC1, TFB4, RAD2, AKR2, DBP8, MSH6, SPC42, FAR8, CAF130, AZF1, SIT1, UBA4, ADE16, MNN10, KAR1, CAF40, COG3, YBR100W, APT2, ACT1, NUF2, YIL092W, TPI1, YDR338C, ECM27, SSA4, STN1, BRE4, MCM3, ATG13, GPA1, CHS1, SPP41, YOR138C, ENA2, PHR1, YPT53, YHL035C, PRP22, YNL224C, PKH3, PHM6, MUD2, YJR015W, HSP42, VMA2, RDH54, FRE2, GPM2, FTR1, SLD3, YLR424W, STB2, CPS1, CTF18, NVJ1, SBH2, KTR2, HXT5, YOR019W, CSE4, GDI1, TRK1, COG8, NHA1, YAP5, HRR25, ADA2, YDR370C, REC107, ATG19, CDC45, XBP1, ATG20, YNR047W, YER034W, RAD53, YPL199C, VPS5, YPL267W, UME6, CDC19, POP3, FKS1, YOR066W, IES1, YJL012C-A, TIF6, TPK1, TFC4, GIN4, PNG1, SUR1, MDS3, OST6, IRR1, SRC1, SWR1, RIF1, POL12, CRZ1, NRG1, BUD2, PXL1, SHE4, THO1, AVT4, CHS2, DUR3, SEC8, GAS1, TFC6, MRK1, PUF6, IMH1, PHO12, TOF2, YPL110C, SLK19, SNF6, PGM2, POP1, HSF1, GBP2, YPR174C, HHO1, HYS2, STH1, MCD1, DNL4, VHS1, HEM14, HST4, YPR045C, RIS1, JNM1, APM2, SEN2, LEM3, YKL071W, SEC17, YCS4, BUD21, PLB3, SEC3, HSP12, YDL156W, YLR164W, MRL1, STP4, ALR1, YDR444W, TRR2, ATG17, RAD28, PSK1, DPB3, YDR458C, ECO1, GLO3, YPL108W, SEC4, CPR7, CCC2, SMC5, HOS2, BUB1, BRE1, PRY1, DPP1, DYN1, TOP1, RPS27A, NMD2, AFT2, ARP1, SLI15, VPS53, SPR6, AVO2, BRO1, CTF4, RFA2, GAS2, UBI4, ARC19, LAC1, CHS5, YGP1, UBP13, VPS27, PSF3, BBP1, SMC3, YDL133W, ERR1, YGR017W, RSC8, VPS30, VPS4, CTK2, PAC11, UBX3, PIG1, HBT1, HOR2, YDL124W, TFA2, VMA8, ELA1, YHR127W, ASF2, UTP11, EPL1, YCG1, MAL11, SPO71, KRR1
GO:0050789	regulation of biological process	4.1710179390543e-13	3.39383070712311e-16	277	866	1531	7274	0.00%	0.00	GPR1, RAD4, ERG11, SET1, SPO7, IWR1, TAP42, HIF1, GYP7, STE11, CLB3, GAC1, MRH1, RRN9, STD1, FIN1, MET31, PFK2, SDS3, PEX22, ESC8, YPR031W, HHT2, MIG2, YLL029W, HOS1, SPT15, DUO1, RIC1, ASF1, REX2, SNF2, MET30, ARO80, HAC1, NMT1, CYR1, POG1, STB5, STP2, SPC72, CSM3, YBR095C, ASE1, VIP1, PZF1, PCL10, ELP4, RLF2, PRX1, VTC1, BDF1, DDC1, PIF1, NPL6, PCL5, CMK1, LGE1, CYC8, GPM3, IML1, SAS4, SLN1, PDI1, YAF9, PHD1, AKR1, YKU70, SPA2, IPL1, NHP6A, SNT1, PMA2, YOL019W, EPS1, SKY1, NUP116, CLB4, PKC1, CAD1, MBF1, RAD24, SSK22, ARP9, TUS1, PCL1, SWI6, MSB2, NOT3, GSC2, BMH1, TFB3, ARC15, LDB7, YIL169C, BDP1, HAL1, YPL105C, ZAP1, YTA7, ELM1, SPT7, UPC2, SLX4, HEX3, MSB4, PLC1, SPH1, SNF12, HST1, MDR1, SUM1, AVO1, MOT1, MAD3, TFB4, GIC1, NCB2, TEL1, PET122, CAF130, AZF1, CAF40, YBR100W, ACT1, RPH1, SSK1, TPI1, STN1, BRE4, MCM3, ATG13, GPA1, ESA1, MAC1, RFC2, YDL010W, SPP41, GPG1, TYE7, PRP19, YPT53, BCK1, MCK1, PKH3, HSL1, VMA2, MPH1, ELG1, SWI4, YPT6, PRP28, SGF29, RDI1, VTA1, MLP2, MTH1, ECM32, MEC3, YAP5, KCS1, RAD30, IWS1, ADA2, RRP6, PRP8, XBP1, CDC45, RAD53, RRM3, YPL267W, UME6, CDC19, FKS1, PAN2, RTT105, YOR066W, IES1, TPK1, TFC4, GIN4, PHO91, TFC7, PNG1, CUP2, MDS3, OST6, SWR1, RIF1, LEO1, HTZ1, YDR266C, NRG1, CRZ1, BUD2, RRI2, PGI1, TFC6, MRK1, EAF5, RTT107, PUF6, SPT21, TOF2, GTT2, SNF6, MCM10, HSF1, GBP2, HHO1, MED6, HHT1, STH1, ROX3, PRP45, VPS15, HST4, RIS1, JNM1, GTS1, LEM3, YCS4, PKH2, YDR026C, ENO2, CBF1, TRR2, ATG17, PSK1, DPB3, GLO3, SEC4, GPA2, RRI1, HOS2, BUB1, BRE1, SIR4, DPP1, DYN1, TOP1, AFT2, SLI15, HCM1, VPS21, AVO2, COS111, PDC1, MHP1, PEA2, FHL1, MAF1, BUB2, BOI2, SCW11, FIT2, KIN4, YRA1, SWI3, PRM4, RSC8, LTE1, EDE1, VPS4, CTK2, PAC11, GIS4, PIG1, HBT1, TFA2, VMA8, PPQ1, SLG1, ISW1, ELA1, ASF2, EPL1
GO:0006974	response to DNA damage stimulus	5.59716642543056e-13	4.55424444705497e-16	85	866	293	7274	0.00%	0.00	PHR1, SNF6, TDP1, RAD4, MCK1, HYS2, DDR48, HHT1, STH1, RAD24, MCD1, MPH1, DNL4, ELG1, RDH54, SMC6, UFO1, CTF18, TRF5, PSY2, BMH1, YEN1, TFB3, MEC3, POL1, CSM2, RNR1, RAD30, RAD28, HRR25, DPB3, YDR314C, HHT2, ECO1, PRI2, SMC5, REV3, SLX4, HEX3, SIR4, RAD53, YNG2, ASF1, CDC9, PDS1, SNF2, RFA2, CTF4, RMI1, PAN2, NSE3, CSM3, SMC1, TFB4, PMS1, YRA1, XRS2, RLF2, RAD2, BDF1, TEL1, RSC8, MSH6, DDC1, CTK2, PIF1, NPL6, MLH3, UNG1, POL32, RPB4, YBR100W, ACT1, MUS81, RPH1, YAF9, YKU70, EPL1, NHP6A, ESA1, EAF5, RFC2, RTT107, POL4, PRP19
GO:0006281	DNA repair	1.08284352052423e-12	8.81076908481878e-16	75	866	244	7274	0.00%	0.00	PHR1, SNF6, TDP1, RAD4, MCK1, HYS2, DDR48, HHT1, STH1, RAD24, MPH1, DNL4, ELG1, RDH54, SMC6, CTF18, TRF5, YEN1, TFB3, MEC3, POL1, CSM2, RAD30, RAD28, HRR25, DPB3, YDR314C, ECO1, PRI2, HHT2, SMC5, REV3, SLX4, HEX3, SIR4, RAD53, YNG2, CDC9, PDS1, RFA2, CTF4, SNF2, PAN2, NSE3, CSM3, SMC1, TFB4, PMS1, YRA1, XRS2, RAD2, BDF1, TEL1, RSC8, DDC1, MSH6, PIF1, MLH3, UNG1, POL32, RPB4, ACT1, YBR100W, MUS81, RPH1, YAF9, YKU70, EPL1, NHP6A, ESA1, EAF5, RFC2, RTT107, POL4, PRP19
