Date	Mon Jul 20 00:33:56 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	2_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (5)	NUD1 CCS1 CTR1 SSB1 HXT12
Unknown identifiers (10)	YMR007W YBR206W YDR094W YIL100W YMR075C-A YIL086C YCR064C YLR317W YMR013W-A YDL185C-A

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0042254	ribosome biogenesis	1.00285063708988e-09	1.44087735214063e-12	74	306	761	7274	0.00%	0.00	RSC9, DAT1, MRD1, REI1, CWC2, BCP1, YML023C, SLD3, NOG2, SEN34, BUD21, MEX67, FCY21, TRF5, DBP10, BMS1, THI80, RPO31, DED1, RUD3, HCR1, RFT1, YOR390W, NOP8, CDC123, RPS27A, FAR1, ASF1, PAC1, YDR020C, DIP2, REX2, DHR2, SUR2, CKA2, POP3, FHL1, RRP7, CIC1, KIN4, RAD3, MRT4, KTR7, YJL122W, FUR4, NOP7, NOP4, YDR412W, MSH1, YBR238C, YPL030W, DBP8, NOP2, RIX7, UTP20, RAP1, SPB1, YGR079W, YGR210C, GPM3, BFR2, YIL091C, YHR127W, ZRT2, UTP6, UTP7, RAT1, RRN6, RRN7, NUP49, YPL279C, SUI1, KRR1, PRP19
GO:0022613	ribonucleoprotein complex biogenesis	1.83620434435829e-09	2.6382246326987e-12	76	306	803	7274	0.00%	0.00	RSC9, DAT1, MRD1, REI1, SUB2, CWC2, BCP1, YML023C, SLD3, NOG2, SEN34, BUD21, MEX67, FCY21, TRF5, DBP10, BMS1, THI80, RPO31, DED1, RUD3, HCR1, RFT1, YOR390W, NOP8, CDC123, RPS27A, FAR1, ASF1, PAC1, YDR020C, DIP2, REX2, DHR2, SUR2, CKA2, DHH1, POP3, FHL1, RRP7, CIC1, KIN4, RAD3, MRT4, KTR7, NOP7, YJL122W, FUR4, NOP4, YDR412W, MSH1, YBR238C, YPL030W, DBP8, NOP2, RIX7, UTP20, RAP1, SPB1, YGR079W, YGR210C, GPM3, BFR2, YIL091C, YHR127W, ZRT2, UTP6, UTP7, RAT1, RRN6, RRN7, NUP49, YPL279C, SUI1, KRR1, PRP19
GO:0009987	cellular process	1.62122687300201e-08	2.32934895546267e-11	270	306	5304	7274	0.00%	0.00	SUB2, SPS18, GCN20, TRM10, PDE2, NOG2, CTF3, CLB3, GCR2, FCY21, BMS1, DED1, AGA2, GAS3, PLM2, PDC5, CDD1, RNR1, PFK2, CDC13, TEL2, CDC28, LCB1, PDS5, VIK1, YLR460C, DIP2, PAC1, ASF1, WHI3, CDC9, REX2, ECM3, RRP7, ADH1, CBP1, ECM33, CIC1, AVT1, NOP7, SPO16, YJL122W, YDR412W, YBR238C, SEC61, SEC53, NPL6, SEC24, FPR4, GPI16, YKR088C, UBC12, GPM3, SUV3, ZRT2, VMA5, CLB4, SAR1, MRD1, YOP1, ALG6, CWC2, BCP1, TIF3, ARP9, YML023C, NUP192, YIL006W, CDC6, MEX67, RPB5, RBD2, TRF5, THI80, LHP1, POL1, MSB1, FUN12, DCP1, ALG9, YOR390W, GPI13, CDC123, YLR224W, TOS2, YDR020C, VRG4, HST1, OST1, SUR2, MNN1, MAP1, ERS1, TUB1, GWT1, NAB2, YJR030C, YPL168W, GIC1, KTR7, ESC2, BNI5, MET2, SWE1, YPL030W, DBP8, SPC42, CDC7, YGR079W, KAR1, RFA1, HXK2, TPI1, UTP6, RAD27, UTP7, AAC3, YBR074W, STE14, GTT3, PRP19, RSC9, FIP1, DAT1, BCK1, REI1, ARE1, SCS7, HSL1, ELG1, PDR17, LRG1, SLD3, SEN34, CTF18, CAC2, SAS3, RNA15, PIS1, STT3, MLP2, YLR179C, SST2, ARO7, MTH1, SSB2, RPO31, KCS1, FMO1, ADA2, RUD3, HCR1, NOP8, PFK1, RSC3, SUR4, CDC45, YND1, FAR1, DHR2, DHH1, YPL267W, POP3, LAS21, TAF14, CDC19, PAN2, FKS1, SLY41, EPT1, SPC97, RAD3, ORC3, GDH1, GIN4, PHO91, ALG12, RMD7, UNG1, HTZ1, YDR266C, PXL1, YDR352W, YIL091C, GSH1, PMT2, AVT4, PGI1, GAS1, SPF1, RRN6, NUP49, RTT107, PUF6, SPT21, DCG1, TOF2, GBP2, FCY22, MCD1, TUP1, OYE2, PFK27, TRS33, SBH1, GTS1, YCS4, EKI1, PLB3, BUD21, DBP10, YDL156W, ENO2, YDR444W, NIP1, CPR7, NEW1, RFT1, RPC53, YPL208W, CBS2, DPP1, RPS27A, YOX1, HCM1, VPS53, YMR171C, CKA2, GAS2, DJP1, OGG1, FHL1, ENO1, YBR235W, KIN4, BBP1, MRT4, FUR4, SEC59, NOP4, MSH1, BUB3, CSH1, PAC11, NOP2, RIX7, RSC2, UTP20, RNH1, PMT4, RAP1, GLN4, IFM1, SPB1, TBF1, YGR210C, ISW1, BFR2, NUT2, YHR127W, NNT1, YOR081C, RAT1, RRN7, YPL279C, SRP72, ORC4, SUI1, STB1, KRR1
GO:0044085	cellular component biogenesis	2.54110982724851e-08	3.65101986673636e-11	99	306	1256	7274	0.00%	0.00	RSC9, DAT1, MRD1, REI1, SUB2, CWC2, BCP1, YML023C, TUP1, LRG1, SLD3, NOG2, CDC6, SEN34, CAC2, BUD21, MEX67, FCY21, TRF5, DBP10, BMS1, THI80, RPO31, DED1, ADA2, RUD3, HCR1, RFT1, YOR390W, CDC45, NOP8, CDC123, RPS27A, FAR1, DIP2, YDR020C, ASF1, PAC1, REX2, DHR2, SUR2, CKA2, DHH1, GAS2, TUB1, POP3, TAF14, FHL1, RRP7, KIN4, CIC1, BBP1, RAD3, MRT4, KTR7, ORC3, GIN4, NOP7, YJL122W, FUR4, SPO16, NOP4, YDR412W, BNI5, MSH1, YBR238C, YPL030W, DBP8, SPC42, CDC7, NOP2, RIX7, UTP20, HTZ1, FPR4, RAP1, SPB1, KAR1, YGR079W, TBF1, YGR210C, ISW1, GPM3, BFR2, YIL091C, YHR127W, UTP6, ZRT2, RAT1, UTP7, RRN6, RRN7, NUP49, YPL279C, SRP72, ORC4, SUI1, PRP19, KRR1
GO:0032268	regulation of cellular protein metabolic process	4.19104332831e-08	6.02161397745689e-11	51	306	456	7274	0.00%	0.00	WHI3, ASF1, REX2, BCK1, GBP2, CKA2, DHH1, CDC19, TAF14, GCN20, FKS1, PAN2, ARP9, ADH1, TUP1, NAB2, PFK27, GDH1, PHO91, MEX67, STT3, NPL6, YLR179C, SST2, DED1, SSB2, ENO2, FPR4, RAP1, YDR266C, PDC5, PFK2, HXK2, ISW1, GPM3, NUT2, HCR1, PGI1, TPI1, YPL208W, PFK1, LCB1, CDC123, VMA5, AAC3, CBS2, YBR074W, PUF6, SUI1, FAR1, PRP19
GO:0051246	regulation of protein metabolic process	4.36254031152525e-08	6.26801768897306e-11	54	306	501	7274	0.00%	0.00	WHI3, ASF1, REX2, BCK1, GBP2, CKA2, DHH1, CDC19, TAF14, GCN20, FKS1, PAN2, ARP9, ADH1, TUP1, NAB2, PFK27, GDH1, PHO91, MEX67, BUB3, STT3, PAC11, NPL6, YLR179C, SST2, DED1, SSB2, ENO2, FPR4, RAP1, YDR266C, PDC5, PFK2, UBC12, HXK2, ISW1, GPM3, NUT2, HCR1, PGI1, TPI1, YPL208W, PFK1, LCB1, CDC123, VMA5, AAC3, CBS2, YBR074W, PUF6, SUI1, FAR1, PRP19
GO:0006417	regulation of translation	5.41996930270437e-08	7.78731221652926e-11	49	306	430	7274	0.00%	0.00	WHI3, REX2, BCK1, GBP2, CKA2, DHH1, CDC19, TAF14, GCN20, FKS1, PAN2, ARP9, ADH1, TUP1, NAB2, PFK27, GDH1, PHO91, MEX67, STT3, NPL6, YLR179C, SST2, DED1, SSB2, ENO2, RAP1, YDR266C, PDC5, PFK2, HXK2, ISW1, GPM3, NUT2, HCR1, TPI1, PGI1, YPL208W, PFK1, LCB1, CDC123, AAC3, CBS2, VMA5, YBR074W, PUF6, SUI1, FAR1, PRP19
GO:0010608	posttranscriptional regulation of gene expression	1.33681738085573e-07	1.92071462766628e-10	49	306	441	7274	0.00%	0.00	WHI3, REX2, BCK1, GBP2, CKA2, DHH1, CDC19, TAF14, GCN20, FKS1, PAN2, ARP9, ADH1, TUP1, NAB2, PFK27, GDH1, PHO91, MEX67, STT3, NPL6, YLR179C, SST2, DED1, SSB2, ENO2, RAP1, YDR266C, PDC5, PFK2, HXK2, ISW1, GPM3, NUT2, HCR1, TPI1, PGI1, YPL208W, PFK1, LCB1, CDC123, AAC3, CBS2, VMA5, YBR074W, PUF6, SUI1, FAR1, PRP19
GO:0031323	regulation of cellular metabolic process	1.41806512707343e-07	2.03744989522045e-10	91	306	1144	7274	0.00%	0.00	RSC9, CLB4, BCK1, GBP2, DAT1, SUB2, GCN20, ARP9, TUP1, ELG1, PFK27, GTS1, CDC6, YCS4, CAC2, CLB3, MEX67, SAS3, GCR2, MLP2, STT3, YLR179C, SST2, SSB2, DED1, ENO2, PDC5, PFK2, ADA2, CDC13, HCR1, CDC28, CDC45, YPL208W, RSC3, PFK1, LCB1, CDC123, CBS2, YOX1, TOS2, FAR1, ASF1, WHI3, HCM1, HST1, REX2, CKA2, DHH1, YPL267W, CDC19, TAF14, FKS1, PAN2, FHL1, ADH1, NAB2, YJR030C, RAD3, ORC3, GDH1, PHO91, ESC2, SWE1, CDC7, NPL6, RSC2, HTZ1, FPR4, RAP1, YDR266C, TBF1, HXK2, ISW1, GPM3, NUT2, TPI1, PGI1, NNT1, RAT1, RRN6, RRN7, AAC3, VMA5, YBR074W, PUF6, ORC4, SUI1, SPT21, TOF2, PRP19
GO:0019222	regulation of metabolic process	1.45823041959727e-07	2.09515864884665e-10	94	306	1200	7274	0.00%	0.00	RSC9, CLB4, BCK1, GBP2, DAT1, SUB2, GCN20, ARP9, TUP1, ELG1, PFK27, GTS1, CDC6, YCS4, CAC2, CLB3, MEX67, SAS3, GCR2, MLP2, STT3, YLR179C, SST2, SSB2, DED1, ENO2, PDC5, PFK2, ADA2, CDC13, HCR1, CDC28, CDC45, YPL208W, RSC3, PFK1, LCB1, CDC123, CBS2, YOX1, TOS2, FAR1, ASF1, WHI3, HCM1, HST1, REX2, CKA2, DHH1, YPL267W, CDC19, TAF14, FKS1, PAN2, FHL1, ADH1, NAB2, YJR030C, RAD3, ORC3, GDH1, PHO91, ESC2, BUB3, SWE1, CDC7, PAC11, NPL6, RSC2, HTZ1, FPR4, RAP1, YDR266C, TBF1, UBC12, HXK2, ISW1, GPM3, NUT2, TPI1, PGI1, NNT1, RAT1, RRN6, RRN7, AAC3, VMA5, YBR074W, PUF6, ORC4, SUI1, SPT21, TOF2, PRP19
