Date	Mon Jul 20 00:34:07 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (5)	PCA1 PPA1 TAF1 SDL1 YAP3
Unknown identifiers (13)	PSY1 YML116W-A YHR214W-A YLL020C YBL048W YMR119W-A YBR099C YMR052C-A VPS63 YPL025C YDR154C YBR116C YOR364W

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006914	autophagy	1.45032576788935e-16	1.67861778690897e-19	64	548	247	7274	0.00%	0.00	GPR1, ATG2, MBF1, HUL5, VPS15, HEM14, IRA1, YPR045C, SEC17, NVJ1, TGL3, DBF20, ATG4, YLR030W, ECM5, TFB3, UGA3, SIR1, ATG17, FIN1, ATG1, YAP5, RAD28, YEL023C, MIH1, ATG19, RRI1, REV3, PEX15, ATG20, MUB1, MPC54, YMR034C, ATG11, YJL012C-A, BPT1, UTH1, HSV2, SRL2, YDL176W, ATG5, YPL017C, XRS2, PCL10, CMD1, YDL133W, ADY3, VPS30, DDC1, NKP1, PIG1, VPS41, ATG22, CCZ1, SNU71, DUR3, PEX28, ATG26, RTT101, ATG13, MAC1, FES1, POL4, GTT2
GO:0044248	cellular catabolic process	1.89573382187467e-14	2.1941363679105e-17	137	548	901	7274	0.00%	0.00	GPR1, ATG2, CAR1, UBX7, GPM2, DDP1, CPS1, NVJ1, DBF20, YLR030W, UGA3, YPL221W, FIN1, YAP5, ATG19, DDI1, RPT2, PRE6, ATG20, ERR2, YDR306C, YMR034C, YHR202W, ARO80, MET30, PUT4, ATG11, YJL012C-A, MSS11, SRL2, HSV2, UTH1, YDL176W, ATG5, YER004W, PCL10, XRS2, PNG1, ADY3, DDC1, NKP1, ASP3-3, POX1, VPS41, TOM1, DOA4, RPB4, GND2, PLB1, CCZ1, DUR3, RTT101, UBR2, POL4, RNY1, YPL110C, GTT2, PRE7, MBF1, CAR2, SPS19, HUL5, VPS15, HEM14, YPR045C, IRA1, RIS1, UFO1, SEC17, EDC2, YOL155C, PRB1, TGL3, DAL82, ATG4, GSC2, ECM5, YLR164W, HRT3, TFB3, SIR1, YIL169C, SPO1, ATG17, YJR096W, ATG1, RAD28, ERR3, RPT1, YEL023C, UFD4, MIH1, DAL4, RRI1, SLX4, REV3, PRY1, HEX3, PEX15, MPC54, MUB1, GID8, ASP3-1, BRO1, LAP4, KEM1, ASP3-2, BPT1, UBP13, JLP1, PFK26, ASP3-4, YPL017C, CMD1, YDL133W, RAD2, ERR1, VPS30, UBX5, UBX3, PIG1, HOR2, UBA4, SFT2, GLY1, ATG22, SNU71, PEX28, ATG26, ATG13, MAC1, ULP1, FES1, YOR138C, PAI3, UBP15, TYE7
GO:0009056	catabolic process	4.72758569277219e-14	5.47174269996781e-17	154	548	1080	7274	0.00%	0.00	GPR1, ATG2, TPM1, ROG1, YOR022C, CAR1, UBX7, GPM2, DDP1, CPS1, NVJ1, DBF20, YLR030W, TGL2, UGA3, YPL221W, FIN1, YAP5, ATG19, TFS1, DDI1, RPT2, PRE6, YLL029W, ATG20, ERR2, YDR306C, YMR034C, YHR202W, MET30, ARO80, PUT4, MSS11, ATG11, YJL012C-A, SRL2, HSV2, UTH1, YDL176W, ATG5, YER004W, PCL10, XRS2, PNG1, ADY3, DDC1, NKP1, ASP3-3, SWR1, POX1, VPS41, ACF2, TOM1, DOA4, RPB4, YGR277C, GND2, PLB1, CCZ1, DUR3, RTT101, UBR2, POL4, RNY1, YPL110C, GTT2, HSC82, PRE7, MBF1, CAR2, SPS19, SPO14, HUL5, VPS15, HEM14, YPR045C, IRA1, RIS1, UFO1, SEC17, EDC2, TGL3, YOL155C, PRB1, DAL82, ATG4, GSC2, ECM5, RPN4, YLR164W, HRT3, TFB3, SIR1, SPO1, YIL169C, ATG17, YJR096W, ATG1, RAD28, ERR3, RPT1, YEL023C, SEC4, UFD4, MIH1, DAL4, RRI1, SLX4, REV3, PRY1, HEX3, PEX15, MPC54, MUB1, GID8, ASP3-1, BRO1, LAP4, KEM1, ASP3-2, BPT1, UBP13, JLP1, PFK26, ASP3-4, CMD1, YPL017C, YDL133W, RAD2, ERR1, VPS70, VPS30, UBX5, UBX3, PIG1, YKL171W, HOR2, UBA4, SFT2, YOR059C, YPS1, GLY1, ATG22, SNU71, ATG26, PEX28, ATG13, MAC1, ULP1, FES1, YOR138C, TYE7, UBP15, PAI3
GO:0050896	response to stimulus	2.62597402187254e-10	3.0393217845747e-13	151	548	1155	7274	0.00%	0.00	TDP1, GPR1, RAD4, ATG2, YLR126C, RVS161, TIR1, YRO2, HSP42, MPH1, FAR11, NCA3, SPG5, STE11, KTR2, NCE103, YOR052C, MOH1, MEC3, YNL305C, TPS2, STF2, YJL055W, AAD10, YLL029W, FPS1, ATG20, PHO5, YNR047W, PAU7, PDR10, NSE1, YML131W, KNS1, YOR338W, MET30, RBK1, YJL012C-A, PRR2, YLL058W, UTH1, MSH5, ATG5, CBK1, XRS2, PRX1, PGD1, DDC1, SIP5, CUP2, ASP3-3, VPS64, RPB4, NRG1, YOL063C, COX20, RRI2, YRR1, YAF9, CCZ1, YDR291W, YKU70, RTT101, CRS5, POL4, IMH1, YMR090W, GTT2, HSC82, HSF1, MSC1, DDR48, SPO14, DNL4, SSK22, VPS15, YHR087W, UFO1, YKL071W, FYV6, YNL200C, HSP104, PRB1, SCC4, ATG4, SDS24, HSP12, RPN4, YKL151C, CCW12, TFB3, NHP6B, TRR2, YIL169C, ATG17, RPF1, BZZ1, HSP32, YJR096W, ATG1, RAD28, PRM10, QDR2, SMC5, RRI1, SLX4, REV3, HEX3, CIN5, YLR225C, ASP3-1, BRO1, MET4, LAP4, SPG3, RMI1, UBI4, GPX1, SSD1, FRT1, ASP3-2, FAR3, JLP1, NSE3, OPY2, ASP3-4, YRA1, RAD2, PRM4, PIR3, VPS30, HSP33, UBX3, AZF1, HBT1, HOR2, UBA4, YIL077C, RAD26, PSO2, SLG1, RPH1, YLR247C, SSK1, ASR1, SSA4, EPL1, ATG13, YLL056C, MAC1, YDL010W
GO:0033554	cellular response to stress	1.64647305180028e-09	1.90564010625033e-12	86	548	530	7274	0.00%	0.00	TDP1, RAD4, ATG2, YLR126C, MSC1, DDR48, YRO2, SSK22, MPH1, DNL4, VPS15, YHR087W, SPG5, FYV6, YNL200C, HSP104, STE11, PRB1, KTR2, SCC4, NCE103, SDS24, ATG4, HSP12, RPN4, YKL151C, YOR052C, TFB3, NHP6B, MOH1, YNL305C, MEC3, RPF1, ATG17, YJR096W, ATG1, RAD28, STF2, SMC5, REV3, SLX4, HEX3, ATG20, PHO5, NSE1, ASP3-1, KNS1, LAP4, SPG3, UBI4, ASP3-2, RBK1, NSE3, OPY2, YLL058W, ASP3-4, MSH5, ATG5, YRA1, XRS2, RAD2, PRX1, PIR3, DDC1, VPS30, SIP5, ASP3-3, UBX3, HBT1, RAD26, RPB4, PSO2, RPH1, SSK1, COX20, YAF9, CCZ1, SSA4, EPL1, YKU70, RTT101, ATG13, YLL056C, YDL010W, POL4, YMR090W
GO:0051716	cellular response to stimulus	7.66398690286159e-09	8.87035521164536e-12	87	548	554	7274	0.00%	0.00	TDP1, GPR1, RAD4, ATG2, YLR126C, MSC1, DDR48, YRO2, SSK22, MPH1, DNL4, VPS15, YHR087W, SPG5, FYV6, YNL200C, HSP104, STE11, PRB1, KTR2, SCC4, NCE103, SDS24, ATG4, HSP12, RPN4, YKL151C, YOR052C, TFB3, NHP6B, MOH1, YNL305C, MEC3, RPF1, ATG17, YJR096W, ATG1, RAD28, STF2, SMC5, REV3, SLX4, HEX3, ATG20, PHO5, NSE1, ASP3-1, KNS1, LAP4, SPG3, UBI4, ASP3-2, RBK1, OPY2, NSE3, YLL058W, ASP3-4, MSH5, ATG5, YRA1, XRS2, RAD2, PRX1, PIR3, DDC1, VPS30, SIP5, ASP3-3, UBX3, HBT1, RAD26, RPB4, PSO2, RPH1, SSK1, COX20, YAF9, CCZ1, SSA4, EPL1, YKU70, RTT101, ATG13, YLL056C, YDL010W, POL4, YMR090W
GO:0006950	response to stress	4.84399596735164e-08	5.6064768140644e-11	113	548	829	7274	0.00%	0.00	TDP1, HSC82, HSF1, RAD4, ATG2, YLR126C, RVS161, MSC1, TIR1, DDR48, YRO2, HSP42, SSK22, MPH1, DNL4, VPS15, YHR087W, UFO1, SPG5, FYV6, YNL200C, HSP104, STE11, PRB1, KTR2, SCC4, NCE103, SDS24, ATG4, HSP12, RPN4, YKL151C, YOR052C, TFB3, NHP6B, MOH1, TRR2, YNL305C, MEC3, RPF1, ATG17, BZZ1, HSP32, ATG1, YJR096W, TPS2, RAD28, STF2, SMC5, REV3, SLX4, HEX3, ATG20, CIN5, PHO5, PAU7, YLR225C, NSE1, ASP3-1, YML131W, LAP4, KNS1, YOR338W, SPG3, UBI4, RMI1, GPX1, FRT1, ASP3-2, RBK1, OPY2, NSE3, YLL058W, UTH1, ASP3-4, MSH5, ATG5, YRA1, XRS2, RAD2, PRX1, PIR3, DDC1, SIP5, VPS30, HSP33, ASP3-3, UBX3, HOR2, HBT1, UBA4, RAD26, RPB4, PSO2, YOL063C, SLG1, RPH1, YLR247C, SSK1, COX20, YAF9, CCZ1, YDR291W, SSA4, YKU70, EPL1, RTT101, ATG13, YLL056C, YDL010W, POL4, IMH1, YMR090W
GO:0009267	cellular response to starvation	2.5726557624793e-05	2.97761083620289e-08	17	548	48	7274	0.00%	0.00	ASP3-3, ASP3-1, ATG2, ATG17, ATG1, ASP3-2, VPS15, ASP3-4, CCZ1, ATG5, ATG13, PRB1, ATG20, ATG4, VPS30, SIP5, PHO5
GO:0044257	cellular protein catabolic process	6.07297894779651e-05	7.02891081920893e-08	56	548	357	7274	0.00%	0.00	PRE7, GID8, ATG2, BRO1, LAP4, MET30, CAR2, HUL5, BPT1, UBP13, UBX7, IRA1, ASP3-4, RIS1, UFO1, CPS1, YER004W, PCL10, YPL017C, PNG1, PRB1, YOL155C, ADY3, ATG4, VPS30, GSC2, UBX5, ASP3-3, HRT3, UBX3, HOR2, UBA4, YIL169C, SFT2, YPL221W, TOM1, DOA4, RPT1, UFD4, PLB1, ATG19, RRI1, DDI1, RPT2, PRE6, PRY1, RTT101, HEX3, ATG13, ULP1, YDR306C, YOR138C, UBR2, UBP15, GTT2, PAI3
GO:0007154	cell communication	0.00012769468936498	1.47794779357616e-07	57	548	374	7274	0.00%	0.00	YPT53, GPR1, HSF1, VPS21, AVO2, ASP3-1, ATG2, ARL3, MDR1, LCB4, SDP1, MSB3, VPS17, SPO14, ASP3-2, CYR1, SSK22, VPS15, TUS1, OPY2, BOI2, IRA1, ASP3-4, TPK1, GYP7, ATG5, STE11, PRB1, PKH2, DDC1, SIP5, ATG4, VPS30, ASP3-3, RSF1, YIL169C, MEC3, ATG17, ATG1, CDC25, SLG1, PSK1, GYP8, SSK1, TSC11, SEC4, RRI2, CCZ1, RRI1, ATG13, PEX15, GSP2, SOK1, ATG20, PHO5, VPS34, GPG1
