Date	Mon Jul 20 00:34:20 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	TEX1 TIP1 ANT1 POT1
Unknown identifiers (6)	MBB1 YBR012C YGR137W YNL285W YML089C YPR150W

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006082	organic acid metabolic process	2.66136348934171e-16	4.83884270789402e-19	54	246	406	7274	0.00%	0.00	CRC1, TRP1, ECI1, SNO1, TRP5, ACB1, MDH3, DPL1, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, PCK1, BIO3, GDH2, ALD4, ARG5,6, YDR531W, ECM40, ICL2, MDH2, URA8, GCV3, YJR111C, CPA1, ACS1, TRP2, ARO3, TYR1, ILV2, PDH1, YAT2, BNA5, PUT3, ICL1, HOM2, CPA2, UGA1, LPD1, ARG4, BAT2, ARG1, BIO4, SRY1, CAT2, FUM1, LIP5, FOX2, AAT2, CIT3
GO:0019752	carboxylic acid metabolic process	3.79481408858399e-15	6.89966197924362e-18	52	246	400	7274	0.00%	0.00	CRC1, TRP1, ECI1, SNO1, TRP5, ACB1, MDH3, DPL1, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, PCK1, BIO3, GDH2, ALD4, ARG5,6, ECM40, ICL2, MDH2, URA8, GCV3, CPA1, ACS1, TRP2, ARO3, TYR1, ILV2, PDH1, BNA5, PUT3, YAT2, ICL1, HOM2, CPA2, UGA1, LPD1, ARG4, BAT2, ARG1, BIO4, SRY1, CAT2, FUM1, LIP5, FOX2, AAT2, CIT3
GO:0006519	cellular amino acid and derivative metabolic process	9.91460256067813e-11	1.80265501103239e-13	37	246	272	7274	0.00%	0.00	TRP1, SNO1, TRP5, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, GDH2, ARG5,6, ECM40, ICL2, URA8, GCV3, CPA1, TRP2, TYR1, ARO3, ILV2, BNA5, PUT3, YAT2, CPA2, HOM2, UGA1, ARG4, LPD1, BAT2, ARG1, CAT2, SRY1, DIC1, FMS1, AAT2
GO:0006807	nitrogen compound metabolic process	2.40309168679115e-10	4.36925761234754e-13	39	246	309	7274	0.00%	0.00	TRP1, SNO1, TRP5, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, GDH2, ARG5,6, ECM40, ICL2, URA8, GCV3, CPA1, TRP2, BAP3, TYR1, ARO3, ILV2, BNA5, PUT3, YAT2, FUN34, CPA2, HOM2, UGA1, LPD1, ARG4, BAT2, ARG1, DIC1, CAT2, SRY1, FMS1, AAT2
GO:0009308	cellular amine metabolic process	5.07057646607794e-10	9.21922993832353e-13	36	246	272	7274	0.00%	0.00	TRP1, SNO1, TRP5, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, GDH2, ARG5,6, ECM40, ICL2, URA8, GCV3, CPA1, TRP2, TYR1, ARO3, ILV2, BNA5, PUT3, YAT2, CPA2, HOM2, UGA1, ARG4, LPD1, BAT2, ARG1, CAT2, SRY1, FMS1, AAT2
GO:0034641	cellular nitrogen compound metabolic process	7.08401143718616e-10	1.28800207948839e-12	36	246	275	7274	0.00%	0.00	TRP1, SNO1, TRP5, YMR085W, AGX1, LEU4, LAP3, ARO9, TRP3, ADH2, YLR089C, GDH2, ARG5,6, ECM40, ICL2, URA8, GCV3, CPA1, TRP2, TYR1, ARO3, ILV2, BNA5, PUT3, YAT2, CPA2, HOM2, UGA1, ARG4, LPD1, BAT2, ARG1, CAT2, SRY1, FMS1, AAT2
GO:0006725	cellular aromatic compound metabolic process	1.71943253636278e-08	3.12624097520505e-11	23	246	128	7274	0.00%	0.00	CPA1, GCV3, TRP2, BAP3, ARO3, TYR1, TRP1, SNO1, BNA5, TRP5, CPA2, SSU1, UGA1, CAF16, ARO9, ARG1, TRP3, YNL311C, URA10, ARG5,6, YDR531W, ECM40, URA8
GO:0006520	cellular amino acid metabolic process	1.89103555659434e-08	3.43824646653517e-11	32	246	247	7274	0.00%	0.00	CPA1, GCV3, TRP2, ARO3, TYR1, TRP1, SNO1, ILV2, PUT3, BNA5, TRP5, HOM2, CPA2, YMR085W, LPD1, AGX1, ARG4, LEU4, LAP3, BAT2, ARO9, ARG1, SRY1, TRP3, ADH2, YLR089C, GDH2, ARG5,6, AAT2, ECM40, ICL2, URA8
GO:0043648	dicarboxylic acid metabolic process	4.93509649903499e-08	8.97290272551817e-11	11	246	24	7274	0.00%	0.00	TRP2, TRP3, ARO3, TYR1, TRP1, FUM1, GDH2, TRP5, MDH2, MDH3, LPD1
GO:0051186	cofactor metabolic process	2.25350686820202e-07	4.09728521491276e-10	28	246	212	7274	0.00%	0.00	NDE1, ACS1, POS5, ECM4, BNA5, ICL1, ISA1, LSC1, MDH3, LEU4, DIC1, BIO4, FUM1, ADH2, FMS1, YGR235C, BIO3, LIP5, ALD4, GUT2, YDR531W, MDH2, LSC2, CIT3, NDE2, COQ4, SDH2, BNA1
