Date	Sun Jul 19 23:37:34 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	2_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (2)	SUT1 STS1
Unknown identifiers (10)	YGL072C YMR007W YBR206W YIL100W YEL068C YMR075C-A YIL086C YCR064C YMR013W-A YDL185C-A

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0022613	ribonucleoprotein complex biogenesis	2.08325515587799e-10	4.38580032816418e-13	51	159	803	7274	0.00%	0.00	DIP2, YDR020C, REX2, MRD1, DHR2, YLR022C, SUB2, DHH1, YNR054C, HIP1, BCP1, POP3, RRP7, CIC1, MRT4, NOP7, YJL122W, YDR412W, YBR238C, VTA1, DBP10, RIX7, NOP6, THI80, LRP1, UTP20, RRP40, SLX9, HCA4, GPM3, YDR370C, BFR2, THO1, YIL091C, YBR141C, YHR127W, YDR179W-A, UTP6, IPI1, UTP11, YLR003C, RIO1, UTP7, IMP4, YOR390W, YPL279C, EAF5, RPS27A, FAR1, FRE1, KRR1
GO:0042254	ribosome biogenesis	1.71151010125419e-09	3.60317916053514e-12	48	159	761	7274	0.00%	0.00	DIP2, YDR020C, REX2, MRD1, DHR2, YLR022C, YNR054C, HIP1, BCP1, POP3, RRP7, CIC1, MRT4, NOP7, YJL122W, YDR412W, YBR238C, VTA1, DBP10, RIX7, NOP6, THI80, LRP1, UTP20, RRP40, SLX9, HCA4, GPM3, YDR370C, BFR2, YIL091C, YBR141C, YHR127W, YDR179W-A, UTP6, IPI1, UTP11, RIO1, YLR003C, UTP7, IMP4, YOR390W, YPL279C, EAF5, RPS27A, FAR1, FRE1, KRR1
GO:0044085	cellular component biogenesis	1.82638305264698e-09	3.84501695294102e-12	64	159	1256	7274	0.00%	0.00	MRD1, SUB2, BCP1, TAF13, CDC6, VTA1, DBP10, NOP6, THI80, HCA4, YDR370C, YLR003C, RIO1, IMP4, YOR390W, CDC45, RPS27A, SRP68, FAR1, AFT2, FRE1, YDR020C, DIP2, REX2, DHR2, YLR022C, YNR054C, DHH1, HIP1, POP3, RRP7, CIC1, BBP1, ORC3, MRT4, YJL122W, SPO16, NOP7, YDR412W, YBR238C, CDC7, RIX7, LRP1, UTP20, RRP40, FPR4, MNN10, HTZ1, SLX9, GPM3, BFR2, THO1, YIL091C, YBR141C, YDR179W-A, YHR127W, UTP6, UTP11, IPI1, UTP7, SRP72, EAF5, YPL279C, KRR1
GO:0006364	rRNA processing	1.59514517846002e-07	3.35820037570532e-10	27	159	305	7274	0.00%	0.00	DIP2, NOP6, REX2, LRP1, MRD1, UTP20, DHR2, YLR022C, RRP40, YNR054C, SLX9, POP3, HCA4, RRP7, BFR2, UTP6, UTP11, IPI1, RIO1, MRT4, UTP7, IMP4, NOP7, YDR412W, RPS27A, DBP10, KRR1
GO:0016072	rRNA metabolic process	3.0163018156806e-07	6.35010908564337e-10	38	159	589	7274	0.00%	0.00	DIP2, YDR020C, REX2, MRD1, DHR2, YLR022C, YNR054C, HIP1, POP3, RRP7, MRT4, ORC3, NOP7, YDR412W, YBR238C, DBP10, NOP6, LRP1, UTP20, RRP40, SLX9, HCA4, YDR370C, BFR2, YIL091C, YBR141C, YDR179W-A, UTP6, IPI1, UTP11, RIO1, IMP4, UTP7, YOR390W, EAF5, RPS27A, KRR1, FRE1
GO:0016070	RNA metabolic process	2.54965526897142e-06	5.36769530309773e-09	67	159	1590	7274	0.00%	0.00	MRD1, SUB2, TAF13, ROX3, CDC6, RPB5, DBP10, NOP6, HAT1, LHP1, HCA4, YDR370C, HOS2, RIO1, CDC28, IMP4, YOR390W, CDC45, RPS27A, AFT2, FRE1, YDR020C, DIP2, REX2, DHR2, YLR022C, YNR054C, DHH1, NTC20, YPL267W, HIP1, POP3, RRP7, CBP1, CIC1, MRT4, ORC3, NOP7, YDR412W, YBR238C, YFR055W, CDC7, LRP1, UTP20, RRP40, YLR016C, RNH1, FPR4, HTZ1, GLN4, SLX9, HXK2, BFR2, NUT2, THO1, YIL091C, YBR141C, CUE2, YDR179W-A, UTP6, IPI1, UTP11, NNT1, UTP7, EAF5, PUF6, KRR1
GO:0034660	ncRNA metabolic process	7.61550623922613e-06	1.60326447141603e-08	42	159	780	7274	0.00%	0.00	DIP2, YDR020C, REX2, MRD1, DHR2, YLR022C, YNR054C, HIP1, POP3, RRP7, MRT4, ORC3, NOP7, YDR412W, YBR238C, YFR055W, DBP10, NOP6, LRP1, UTP20, RRP40, LHP1, GLN4, SLX9, HCA4, YDR370C, BFR2, YIL091C, YBR141C, CUE2, YDR179W-A, UTP6, IPI1, UTP11, RIO1, IMP4, UTP7, YOR390W, EAF5, RPS27A, FRE1, KRR1
GO:0034470	ncRNA processing	1.79434355149891e-05	3.77756537157666e-08	28	159	404	7274	0.00%	0.00	DIP2, NOP6, REX2, LRP1, MRD1, UTP20, DHR2, YLR022C, LHP1, RRP40, YNR054C, SLX9, POP3, HCA4, RRP7, BFR2, UTP6, UTP11, IPI1, RIO1, MRT4, UTP7, IMP4, NOP7, YDR412W, RPS27A, DBP10, KRR1
GO:0000469	cleavages during rRNA processing	3.55457065232166e-05	7.48330663646665e-08	11	159	62	7274	0.00%	0.00	DIP2, REX2, LRP1, UTP6, MRD1, UTP11, UTP20, RRP40, UTP7, YNR054C, KRR1
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4.32896377014796e-05	9.11360793715359e-08	13	159	93	7274	0.00%	0.00	DIP2, UTP6, MRD1, UTP11, UTP20, DHR2, RIO1, UTP7, YNR054C, NOP7, SLX9, RPS27A, KRR1
