Date	Sun Jul 19 23:37:56 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (5)	MIF2 PCA1 TAF1 SDL1 CDH1
Unknown identifiers (16)	YMR086C-A PSY1 YMR173W-A YML116W-A YHR214W-A YCR025C YNL303W YLL020C YBL048W YMR153C-A YMR052C-A YMR304C-A YPL025C YDR154C YBR116C YMR316C-B

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0050896	response to stimulus	2.20982459831651e-20	1.88230374643655e-23	235	818	1155	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, ATG2, SBP1, MLH2, LAS17, PHM6, MCK1, TIR1, SET1, GAL1, YRO2, HSP42, MPH1, MET17, RIM15, RDH54, FRE2, FAR11, YTP1, NCA3, SPG5, STE11, KTR2, GAC1, MNN4, ARK1, YOR052C, YEN1, YLR161W, NHA1, MOH1, MEC3, YNL305C, TPS2, HMI1, YRM1, SNF3, STF2, SML1, PRI2, YJL055W, AAD10, MIG2, RDR1, YLR361C, SLX8, YLL029W, ATG20, PHO5, GLK1, YNR047W, PAU7, RAD53, PDR10, SWC4, PDS1, YML131W, KNS1, SNF2, YOR338W, RAD9, RCK2, MET30, HAC1, SSL1, AQR1, RBK1, YJL012C-A, POG1, STB5, PRR2, TPS1, CSG2, CBK1, SPI1, HIR2, PRX1, BDF1, PGD1, DDC1, SIP5, PIF1, CUP2, ASP3-3, KIN82, MLH3, VPS64, NRG1, YOL063C, COX20, RRI2, YRR1, PHD1, YDR291W, YHL010C, RAD51, HXT6, TFC6, RTT101, SPA2, NHP6A, CRS5, KOG1, MRK1, GPD1, YOL019W, SKY1, YMR102C, GTT2, SAC3, HXT7, YMR090W, HSC82, HSF1, CAD1, MSC1, DDR48, STH1, PDR15, STE13, YDR506C, SPO14, RAD24, SSK22, DNL4, VPS15, TOS1, OLE1, YHR087W, UFO1, YDL057W, BNI1, YKL071W, YNL200C, HSP104, PRB1, SCC4, MGS1, SDS24, RIM20, ATG4, TRF5, HSP12, RPN4, YKL151C, CCW12, TFB3, CBF1, YIL169C, MET28, TRR2, BZZ1, GAD1, ROD1, HSP32, YCR079W, YJR096W, ATG1, RAD28, HAL1, IRE1, GPH1, FIT1, ELM1, RNR3, SMC5, GPA2, REV3, SLX4, HEX3, POL2, CIN5, ADR1, FRE3, ASP3-1, SIR3, MET4, BRO1, LAP4, SPG3, CTF4, YNL274C, UBI4, RMI1, GCN2, SSD1, FRT1, ASP3-2, YGP1, OPY2, JLP1, MSN2, ASP3-4, YGK3, SMC1, YRA1, SNQ2, PRM4, RAD2, OYE3, SSQ1, TEL1, PIR3, EDE1, MSH6, BDF2, HSP33, HPR1, UBX3, MSN4, AZF1, HBT1, YDL124W, CTK1, UBA4, YIL077C, RAP1, RAD26, PSO2, RAD54, SLG1, RPH1, YLR247C, ASR1, YDR109C, YDR338C, ISW2, SSA4, EPL1, ATG13, YLL056C, SNF1
GO:0051716	cellular response to stimulus	2.45775312422513e-17	2.09348647719347e-20	136	818	554	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, ATG2, SBP1, MLH2, MCK1, SET1, GAL1, YRO2, MPH1, RDH54, YTP1, SPG5, STE11, KTR2, YOR052C, YEN1, MOH1, YNL305C, MEC3, HMI1, STF2, PRI2, MIG2, YLR361C, SLX8, ATG20, PHO5, GLK1, RAD53, SWC4, PDS1, KNS1, SNF2, RAD9, RCK2, SSL1, HAC1, RBK1, POG1, STB5, TPS1, SPI1, PRX1, BDF1, DDC1, SIP5, PIF1, ASP3-3, MLH3, COX20, RAD51, HXT6, RTT101, NHP6A, KOG1, HXT7, YMR090W, SAC3, MSC1, DDR48, STH1, YDR506C, PDR15, RAD24, DNL4, SSK22, VPS15, YHR087W, YDL057W, YNL200C, HSP104, PRB1, MGS1, SCC4, RIM20, ATG4, SDS24, TRF5, RPN4, HSP12, YKL151C, TFB3, GAD1, YJR096W, ATG1, YCR079W, RAD28, GPH1, IRE1, RNR3, GPA2, SMC5, SLX4, REV3, HEX3, POL2, ADR1, ASP3-1, SIR3, LAP4, CTF4, YNL274C, SPG3, UBI4, GCN2, ASP3-2, YGP1, OPY2, ASP3-4, MSN2, SMC1, YRA1, RAD2, TEL1, PIR3, MSH6, EDE1, BDF2, UBX3, HPR1, HBT1, MSN4, YDL124W, RAP1, RAD26, PSO2, RAD54, RPH1, EPL1, SSA4, ATG13, YLL056C, SNF1
GO:0033554	cellular response to stress	2.15862354974237e-16	1.8386912689458e-19	130	818	530	7274	0.00%	0.00	PHR1, TDP1, RAD4, ATG2, SBP1, MLH2, MCK1, SET1, YRO2, MPH1, RDH54, YTP1, SPG5, STE11, KTR2, YOR052C, YEN1, MOH1, YNL305C, MEC3, HMI1, STF2, PRI2, YLR361C, SLX8, ATG20, PHO5, GLK1, RAD53, SWC4, PDS1, KNS1, SNF2, RAD9, RCK2, SSL1, HAC1, RBK1, STB5, TPS1, SPI1, PRX1, BDF1, DDC1, SIP5, PIF1, ASP3-3, MLH3, COX20, RAD51, HXT6, RTT101, NHP6A, KOG1, HXT7, YMR090W, SAC3, MSC1, DDR48, STH1, YDR506C, PDR15, RAD24, DNL4, SSK22, VPS15, YHR087W, YDL057W, YNL200C, HSP104, PRB1, MGS1, SCC4, RIM20, ATG4, SDS24, RPN4, HSP12, TRF5, YKL151C, TFB3, GAD1, YJR096W, ATG1, YCR079W, RAD28, GPH1, IRE1, RNR3, SMC5, SLX4, REV3, HEX3, POL2, ASP3-1, SIR3, LAP4, YNL274C, CTF4, SPG3, UBI4, GCN2, ASP3-2, YGP1, OPY2, ASP3-4, MSN2, SMC1, YRA1, RAD2, TEL1, PIR3, MSH6, EDE1, BDF2, UBX3, HPR1, HBT1, MSN4, YDL124W, RAP1, RAD26, PSO2, RAD54, RPH1, EPL1, SSA4, ATG13, YLL056C, SNF1
GO:0065007	biological regulation	2.17693151223407e-16	1.85428578554861e-19	302	818	1731	7274	0.00%	0.00	GPR1, RAD4, TPM1, TOS8, LAS17, SET1, BYE1, SPS18, IWR1, YKL222C, PCL8, GYP7, YPK2, HIR1, STE11, YJL103C, GAC1, MRH1, UGA3, PFK2, ESC8, SNF3, ROX1, IKI3, TEL2, MIG2, MKK2, RDR1, YRF1-5, YLR361C, YLL029W, SNF2, YOR338W, RAD9, RCK2, MET30, ARO80, RNR4, HAC1, SSL1, KIC1, SFL1, CYR1, MSS11, POG1, STB5, YRF1-6, STP2, SPC72, ASE1, PEX4, CSG2, CBK1, PCL10, ELP4, PRX1, BDF1, SSN2, DDC1, TOK1, PIF1, PCL5, CYC8, DOA4, YOL063C, IML1, YRR1, PHD1, RAD51, URA2, SPA2, IPL1, SWC5, NHP6A, YPL216W, GPD1, PMA2, VPS34, YOL019W, EPS1, SKY1, YGL140C, HSC82, NUP116, CAD1, MBF1, MSB3, RAD24, SSK22, TUS1, IRA1, YRF1-3, VPS1, PPZ2, YLL054C, RPI1, PCL1, ISU1, DAL82, NOT3, GSC2, TFB3, SIR1, YIL169C, BIK1, YCR079W, BDP1, DAL81, HAL1, IRE1, PMA1, ZAP1, YTA7, ELM1, SPT7, SLX4, HEX3, POL2, SOK1, YRF1-4, FAP1, MSB4, LST4, FRE3, SPH1, MDR1, SUM1, AVO1, RMI1, MCM2, GCN2, MOT1, YRF1-1, MAD3, BFR1, RGS2, VPS35, MEP2, VMA4, YRF1-2, TEL1, PET122, CAF130, HPR1, KES1, AZF1, UBA4, RPH1, ISW2, BRE4, MCM3, ATG13, ALR2, SPP41, GPG1, TYE7, YPT53, SBP1, MCK1, PKH3, SDP1, GAL1, SET3, VMA2, MPH1, RIM15, PRP28, UBC6, MTH1, ECM32, EMP24, NHA1, MEC3, YAP5, YRM1, IWS1, STF2, SML1, TSC11, TFS1, PRP8, SLX8, PFK1, GSP2, PHO5, CHA4, RAD53, YRF1-7, SWC4, RRM3, YOR066W, IES1, PRR2, TPK1, TFC4, GIN4, HIR2, TFP1, PGD1, CUP2, MDS3, SWR1, RIF1, LEO1, TOM1, NRG1, RRI2, SPF1, TFC6, RTT101, ZDS2, YLR047C, MRK1, KOG1, SPT21, TOF2, SAC3, GTT2, PGM2, HSF1, HHO1, PMP3, STH1, PRP45, PMC1, VPS15, RIS1, JNM1, ZDS1, BNI1, CLB5, PKH2, PRB1, YDR026C, RPN4, CBF1, TRR2, MET28, PSK1, RRN3, SEC4, CCC2, GPA2, BUB1, PEX15, DYN1, SMF3, MUB1, CIN5, TOP1, FAS1, TFP3, ADR1, VPS21, GID8, AVO2, COS111, MET4, SIR3, PDC1, LCB4, MHP1, KEM1, FHL1, CEF1, MAF1, VPS27, OPY2, CDC46, BOI2, MSN2, KIN4, YRA1, SWI3, YPL017C, SSQ1, PRM4, COS3, EDE1, VPS4, BDF2, GIS4, PIG1, HBT1, MSN4, CWP2, SAS5, CTK1, RAP1, CDC25, RAD54, PPQ1, SLG1, ISW1, VPS72, GLY1, VCX1, GAL11, PMD1, ASF2, EPL1, SNF1
GO:0006950	response to stress	9.31970594500096e-14	7.93842073679809e-17	170	818	829	7274	0.00%	0.00	PHR1, TDP1, RAD4, ATG2, SBP1, MLH2, LAS17, MCK1, TIR1, SET1, YRO2, HSP42, MPH1, RIM15, RDH54, YTP1, SPG5, STE11, KTR2, GAC1, MNN4, ARK1, YOR052C, YEN1, NHA1, MOH1, MEC3, YNL305C, TPS2, HMI1, STF2, SML1, PRI2, YLR361C, SLX8, ATG20, PHO5, GLK1, PAU7, RAD53, SWC4, PDS1, YML131W, KNS1, SNF2, RAD9, YOR338W, RCK2, HAC1, SSL1, RBK1, POG1, STB5, TPS1, SPI1, PRX1, BDF1, DDC1, SIP5, PIF1, ASP3-3, MLH3, YOL063C, COX20, PHD1, YDR291W, RAD51, HXT6, RTT101, NHP6A, KOG1, MRK1, GPD1, HXT7, YMR090W, SAC3, HSC82, HSF1, MSC1, DDR48, STH1, YDR506C, PDR15, RAD24, SSK22, DNL4, VPS15, YHR087W, UFO1, YDL057W, BNI1, YNL200C, HSP104, PRB1, SCC4, MGS1, RIM20, ATG4, SDS24, TRF5, HSP12, RPN4, YKL151C, TFB3, TRR2, BZZ1, HSP32, GAD1, YJR096W, ATG1, YCR079W, RAD28, HAL1, GPH1, IRE1, FIT1, ELM1, RNR3, SMC5, SLX4, REV3, HEX3, POL2, CIN5, ASP3-1, SIR3, LAP4, CTF4, YNL274C, SPG3, RMI1, UBI4, GCN2, FRT1, ASP3-2, YGP1, OPY2, YGK3, ASP3-4, MSN2, SMC1, YRA1, SNQ2, SSQ1, RAD2, TEL1, PIR3, EDE1, MSH6, BDF2, HSP33, HPR1, UBX3, HBT1, MSN4, CTK1, YDL124W, UBA4, RAP1, RAD26, PSO2, RAD54, SLG1, RPH1, YLR247C, SSA4, EPL1, ATG13, YLL056C, SNF1
GO:0009056	catabolic process	2.07456695547735e-12	1.76709280705056e-15	202	818	1080	7274	0.00%	0.00	DAP2, GPR1, YNL224C, ATG2, TPM1, SBP1, TDH1, ROG1, GAL1, YOR022C, RIM15, UBX7, GPM2, PIM1, NVJ1, NTE1, UBC6, YLR030W, YPR115W, UGA3, YPL221W, PFK2, YAP5, YPS3, SNF3, ATG19, MKK2, NPL4, RDR1, TFS1, DDI1, RPT2, PRE6, SLX8, YLL029W, PFK1, ATG20, ERR2, YDR306C, GLK1, YER034W, CHA4, SNT2, YHR202W, FAB1, MET30, ARO80, MUP3, PUT4, HAC1, SSL1, MSS11, ATG11, YJL012C-A, SRL2, HSV2, YDL176W, PEX4, TUL1, YER004W, PCL10, YOL075C, YGL114W, ADY3, SSN2, DDC1, TOK1, MDS3, ASP3-3, SWR1, POX1, ACF2, NCR1, TOM1, DOA4, SWM1, GND2, PLB1, YHL010C, DUR3, RAD51, GSF2, TFC6, RTT101, GDB1, MRK1, GPD1, YOL019W, UBR2, EPS1, RNY1, YPL110C, GTT2, PGM2, HSC82, ATE1, MBF1, PRC1, CNN1, STE13, CAR2, SPS19, SPO14, HUL5, VPS15, HEM14, IRA1, RIS1, UFO1, YPL277C, PUT1, EDC2, YOL155C, PRB1, DAL82, NOT3, RIM20, ATG4, ECM5, GSC2, TRF5, RPN4, YLR164W, GAP1, TFB3, RIM13, SIR1, SPO1, YIL169C, GAD1, YCR079W, YJR096W, ATG1, RAD28, GPH1, ERR3, RPT1, YEL023C, YTA7, SEC4, UFD4, YML020W, REV3, SLX4, PRY1, HEX3, PEX15, MPC54, MUB1, NMD2, HMG2, GID8, ASP3-1, YMR171C, COS111, SIR3, BRO1, PDC1, LAP4, YNL274C, KEM1, ASP3-2, CHS5, MAD3, BPT1, PFK26, JLP1, YGK3, ASP3-4, AXL1, YPL017C, RAD2, YDL133W, ERR1, TEL1, VPS70, MSH6, UBP2, BDF2, UBX5, UBX3, PIG1, YKL171W, UBA4, DUR1,2, YOR059C, RAD54, VTC2, YPS1, GLY1, YDR338C, ATG22, ASF2, SNU71, ATG26, PEX28, ATG13, ULP1, YOR138C, TYE7, UBP15, PAI3
GO:0044248	cellular catabolic process	3.56253628459415e-12	3.03452835144306e-15	176	818	901	7274	0.00%	0.00	GPR1, YNL224C, ATG2, SBP1, TDH1, GAL1, RIM15, UBX7, GPM2, PIM1, NVJ1, NTE1, UBC6, YLR030W, YPR115W, UGA3, YPL221W, PFK2, YAP5, SNF3, ATG19, NPL4, RDR1, MKK2, DDI1, RPT2, PRE6, SLX8, PFK1, ATG20, ERR2, YDR306C, GLK1, YER034W, CHA4, SNT2, YHR202W, FAB1, MET30, ARO80, MUP3, PUT4, HAC1, SSL1, MSS11, ATG11, YJL012C-A, SRL2, HSV2, YDL176W, PEX4, TUL1, YER004W, PCL10, YOL075C, YGL114W, ADY3, SSN2, DDC1, TOK1, MDS3, ASP3-3, POX1, NCR1, TOM1, DOA4, SWM1, GND2, PLB1, YHL010C, DUR3, RAD51, TFC6, RTT101, GDB1, GPD1, UBR2, EPS1, RNY1, YPL110C, GTT2, PGM2, ATE1, MBF1, PRC1, CNN1, CAR2, SPS19, HUL5, VPS15, HEM14, IRA1, RIS1, UFO1, YPL277C, PUT1, EDC2, YOL155C, PRB1, DAL82, NOT3, ATG4, ECM5, GSC2, TRF5, YLR164W, GAP1, TFB3, RIM13, SIR1, SPO1, YIL169C, GAD1, YJR096W, ATG1, YCR079W, RAD28, GPH1, ERR3, RPT1, YEL023C, YTA7, UFD4, YML020W, SLX4, REV3, PRY1, HEX3, PEX15, MPC54, MUB1, HMG2, NMD2, GID8, ASP3-1, YMR171C, COS111, SIR3, BRO1, LAP4, PDC1, YNL274C, KEM1, ASP3-2, MAD3, BPT1, JLP1, PFK26, ASP3-4, YPL017C, YDL133W, RAD2, ERR1, TEL1, MSH6, UBP2, UBX5, UBX3, PIG1, UBA4, DUR1,2, RAD54, VTC2, GLY1, YDR338C, ATG22, ASF2, SNU71, ATG26, PEX28, ATG13, ULP1, YOR138C, TYE7, UBP15, PAI3
GO:0050789	regulation of biological process	9.10708837996087e-11	7.75731548548626e-14	257	818	1531	7274	0.00%	0.00	GPR1, RAD4, TOS8, LAS17, SET1, BYE1, SPS18, IWR1, YKL222C, PCL8, GYP7, YPK2, HIR1, STE11, YJL103C, GAC1, MRH1, UGA3, PFK2, ESC8, SNF3, ROX1, IKI3, MIG2, MKK2, RDR1, YLR361C, YLL029W, SNF2, YOR338W, RAD9, RCK2, MET30, ARO80, RNR4, HAC1, SSL1, SFL1, CYR1, MSS11, POG1, STB5, STP2, SPC72, ASE1, PEX4, PCL10, ELP4, PRX1, BDF1, SSN2, DDC1, PIF1, PCL5, CYC8, DOA4, YOL063C, IML1, YRR1, PHD1, URA2, SPA2, IPL1, SWC5, NHP6A, YPL216W, PMA2, VPS34, YOL019W, EPS1, SKY1, YGL140C, NUP116, CAD1, MBF1, MSB3, RAD24, SSK22, TUS1, IRA1, YLL054C, RPI1, PCL1, DAL82, NOT3, GSC2, TFB3, SIR1, YIL169C, BIK1, BDP1, HAL1, DAL81, IRE1, ZAP1, YTA7, ELM1, SPT7, SLX4, HEX3, POL2, SOK1, FAP1, MSB4, LST4, SPH1, MDR1, SUM1, AVO1, MCM2, GCN2, MOT1, MAD3, BFR1, RGS2, TEL1, PET122, CAF130, HPR1, KES1, AZF1, RPH1, ISW2, BRE4, MCM3, ATG13, ALR2, SPP41, GPG1, TYE7, YPT53, SBP1, MCK1, PKH3, SDP1, GAL1, SET3, MPH1, VMA2, RIM15, PRP28, UBC6, MTH1, ECM32, MEC3, YAP5, IWS1, YRM1, SML1, TSC11, TFS1, PRP8, PFK1, GSP2, CHA4, RAD53, SWC4, RRM3, YOR066W, IES1, PRR2, TPK1, TFC4, GIN4, HIR2, TFP1, PGD1, MDS3, CUP2, SWR1, RIF1, LEO1, TOM1, NRG1, RRI2, TFC6, ZDS2, RTT101, MRK1, KOG1, SPT21, TOF2, SAC3, GTT2, HSF1, HHO1, STH1, PRP45, VPS15, RIS1, JNM1, ZDS1, BNI1, CLB5, PKH2, YDR026C, RPN4, CBF1, TRR2, MET28, PSK1, RRN3, SEC4, GPA2, BUB1, PEX15, DYN1, MUB1, CIN5, TOP1, TFP3, FAS1, ADR1, GID8, VPS21, AVO2, COS111, MET4, SIR3, PDC1, LCB4, MHP1, KEM1, FHL1, CEF1, MAF1, OPY2, CDC46, BOI2, MSN2, KIN4, YRA1, SWI3, YPL017C, PRM4, EDE1, VPS4, BDF2, GIS4, PIG1, HBT1, MSN4, SAS5, CTK1, RAP1, CDC25, RAD54, PPQ1, SLG1, ISW1, VPS72, GLY1, GAL11, ASF2, PMD1, EPL1, SNF1
GO:0050794	regulation of cellular process	1.46322033709846e-10	1.24635463125933e-13	250	818	1483	7274	0.00%	0.00	YPT53, GPR1, SBP1, TOS8, LAS17, PKH3, MCK1, SET1, SDP1, BYE1, SPS18, GAL1, SET3, VMA2, MPH1, IWR1, YKL222C, RIM15, PCL8, PRP28, GYP7, YPK2, HIR1, STE11, YJL103C, GAC1, MRH1, MTH1, ECM32, UGA3, MEC3, PFK2, YAP5, YRM1, ESC8, IWS1, SNF3, SML1, TSC11, ROX1, IKI3, MIG2, MKK2, RDR1, TFS1, PRP8, YLR361C, YLL029W, PFK1, GSP2, CHA4, RAD53, SWC4, RRM3, SNF2, YOR338W, RAD9, RCK2, MET30, ARO80, RNR4, HAC1, SSL1, YOR066W, IES1, SFL1, CYR1, MSS11, POG1, STB5, PRR2, STP2, SPC72, TFC4, TPK1, ASE1, PEX4, PCL10, GIN4, ELP4, HIR2, PRX1, BDF1, TFP1, SSN2, PGD1, DDC1, PIF1, PCL5, CUP2, MDS3, SWR1, RIF1, LEO1, CYC8, TOM1, DOA4, NRG1, YOL063C, IML1, RRI2, YRR1, PHD1, URA2, TFC6, RTT101, SPA2, ZDS2, IPL1, SWC5, NHP6A, YPL216W, KOG1, PMA2, VPS34, YOL019W, SPT21, EPS1, SKY1, TOF2, YGL140C, GTT2, SAC3, NUP116, HSF1, CAD1, HHO1, MBF1, MSB3, STH1, PRP45, RAD24, SSK22, VPS15, TUS1, IRA1, RIS1, ZDS1, YLL054C, BNI1, RPI1, CLB5, PCL1, PKH2, YDR026C, DAL82, NOT3, GSC2, RPN4, TFB3, CBF1, SIR1, YIL169C, MET28, TRR2, BDP1, HAL1, DAL81, IRE1, PSK1, ZAP1, RRN3, YTA7, ELM1, SEC4, GPA2, SPT7, BUB1, SLX4, HEX3, POL2, PEX15, SOK1, FAP1, MSB4, LST4, CIN5, MUB1, TOP1, FAS1, TFP3, ADR1, VPS21, GID8, SPH1, AVO2, COS111, SIR3, MET4, MDR1, PDC1, SUM1, LCB4, AVO1, MHP1, MCM2, GCN2, KEM1, MOT1, FHL1, MAD3, CEF1, MAF1, OPY2, BOI2, CDC46, BFR1, RGS2, MSN2, KIN4, SWI3, YRA1, YPL017C, PRM4, TEL1, EDE1, VPS4, BDF2, PET122, CAF130, HPR1, KES1, GIS4, MSN4, HBT1, PIG1, AZF1, CTK1, SAS5, RAP1, CDC25, ISW1, SLG1, PPQ1, RPH1, VPS72, GLY1, GAL11, PMD1, ASF2, ISW2, EPL1, BRE4, MCM3, ATG13, ALR2, SPP41, GPG1, SNF1, TYE7
GO:0006914	autophagy	1.85374676583628e-08	1.57900065233074e-11	65	818	247	7274	0.00%	0.00	GPR1, YNL224C, ATG2, MBF1, CNN1, HUL5, VPS15, HEM14, IRA1, NVJ1, ATG4, YLR030W, ECM5, TFB3, UGA3, RIM13, SIR1, YCR079W, ATG1, YAP5, RAD28, SNF3, YEL023C, MKK2, RDR1, YML020W, ATG19, REV3, PEX15, ATG20, MUB1, MPC54, HMG2, SNT2, FAB1, SSL1, HAC1, ATG11, YJL012C-A, MAD3, BPT1, HSV2, SRL2, PEX4, YDL176W, YPL017C, YOL075C, PCL10, YDL133W, YGL114W, ADY3, DDC1, PIG1, RAD54, VTC2, ATG22, ASF2, SNU71, DUR3, PEX28, TFC6, ATG26, RTT101, ATG13, GTT2
