Date	Sun Jul 19 23:39:08 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	TEX1 SDH1 POT1 HAP3
Unknown identifiers (9)	YMR141C YKR047W YLR280C YKL136W YHR095W YAR053W YNL337W YPR002C-A YPR150W

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006732	coenzyme metabolic process	1.9712046983057e-12	4.149904628012e-15	26	188	149	7274	0.00%	0.00	NDE1, ACS1, GSH2, ACO1, PYC1, COQ3, YFR044C, ECM4, BNA5, ICL1, CIT1, MDH3, KGD1, IDH1, KGD2, FUM1, ADH2, FMS1, LIP5, ALD4, GUT2, ACS2, LSC2, MDH2, NDE2, SDH2
GO:0051186	cofactor metabolic process	3.41482497397234e-11	7.18910520836283e-14	29	188	212	7274	0.00%	0.00	NDE1, ACS1, GSH2, PET9, ACO1, PYC1, COQ3, YFR044C, ECM4, YNR018W, BNA5, ICL1, CIT1, ISA1, MDH3, KGD1, IDH1, KGD2, FUM1, ADH2, FMS1, LIP5, ALD4, GUT2, ACS2, LSC2, MDH2, NDE2, SDH2
GO:0006084	acetyl-CoA metabolic process	2.45311141534884e-10	5.16444508494493e-13	13	188	33	7274	0.00%	0.00	KGD1, ACS1, IDH1, ACO1, KGD2, FUM1, ICL1, CIT1, ACS2, MDH3, MDH2, LSC2, SDH2
GO:0055114	oxidation reduction	4.14145400975642e-09	8.71885054685563e-12	32	188	310	7274	0.00%	0.00	NDE1, AAD16, ACO1, SOD2, AHP1, AAD6, XYL2, MCR1, COX5A, MDH3, YPL113C, COR1, KGD1, YNL134C, IDH1, TRX2, PDA1, YBR033W, ADH2, FMS1, QCR6, GDH2, YHL021C, FOX2, ALD4, CTA1, YJR149W, GUT2, MDH2, FAS2, NDE2, SDH2
GO:0009109	coenzyme catabolic process	6.16307107795361e-09	1.29748864799023e-11	12	188	33	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, YFR044C, ICL1, CIT1, MDH3, MDH2, LSC2, SDH2
GO:0051187	cofactor catabolic process	9.31292921236176e-09	1.96061667628669e-11	12	188	34	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, YFR044C, ICL1, CIT1, MDH3, MDH2, LSC2, SDH2
GO:0019752	carboxylic acid metabolic process	9.92113761878608e-09	2.08866055132339e-11	36	188	400	7274	0.00%	0.00	FAA1, CRC1, PYC1, ACC1, CIT1, MDH3, YMR085W, AGX1, KGD1, IDH1, ARO9, PDA1, ADH2, YLR089C, PET112, GDH2, ALD4, MDH2, URA8, ACS1, CAT8, ACO1, BNA5, YAT2, ICL1, EHT1, CPA2, UGA1, KGD2, ARG1, CAT2, FUM1, RDS2, FOX2, LIP5, FAS2
GO:0006082	organic acid metabolic process	1.52854886955636e-08	3.21799762011865e-11	36	188	406	7274	0.00%	0.00	FAA1, CRC1, PYC1, ACC1, CIT1, MDH3, YMR085W, AGX1, KGD1, IDH1, ARO9, PDA1, ADH2, YLR089C, PET112, GDH2, ALD4, MDH2, URA8, ACS1, CAT8, ACO1, BNA5, YAT2, ICL1, EHT1, CPA2, UGA1, KGD2, ARG1, CAT2, FUM1, RDS2, FOX2, LIP5, FAS2
GO:0006099	tricarboxylic acid cycle	2.65477601266107e-08	5.58900213191804e-11	11	188	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, ICL1, CIT1, MDH3, MDH2, LSC2, SDH2
GO:0046356	acetyl-CoA catabolic process	2.65477601266107e-08	5.58900213191804e-11	11	188	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, FUM1, ICL1, CIT1, MDH3, MDH2, LSC2, SDH2
GO:0009060	aerobic respiration	3.05235563362002e-07	6.42601186025267e-10	17	188	102	7274	0.00%	0.00	PET9, ACO1, NCA2, ICL1, CIT1, MDH3, KGD1, COR1, IDH1, KGD2, FUM1, QCR6, MRPL22, MDL2, LSC2, MDH2, SDH2
GO:0015980	energy derivation by oxidation of organic compounds	7.38734556144372e-07	1.55523064451447e-09	28	188	296	7274	0.00%	0.00	NDE1, ACS1, CAT8, PET9, ACO1, NCA2, GSY2, ICL1, COX5A, CIT1, MDH3, COR1, KGD1, IDH1, KGD2, SAP155, FUM1, ADH2, RDS2, QCR6, MRPL22, MDL2, GLG2, YHR009C, LSC2, MDH2, NDE2, SDH2
GO:0032787	monocarboxylic acid metabolic process	9.19244943170849e-06	1.93525251193863e-08	19	188	159	7274	0.00%	0.00	FAA1, ACS1, CAT8, ACO1, CRC1, PYC1, ACC1, YAT2, EHT1, ICL1, MDH3, UGA1, CAT2, PDA1, RDS2, ALD4, FOX2, MDH2, FAS2
GO:0045333	cellular respiration	1.13076027974781e-05	2.38054795736382e-08	19	188	161	7274	0.00%	0.00	NDE1, PET9, ACO1, NCA2, ICL1, COX5A, CIT1, MDH3, KGD1, COR1, IDH1, KGD2, FUM1, QCR6, MRPL22, MDL2, LSC2, MDH2, SDH2
GO:0006091	generation of precursor metabolites and energy	1.7433921029951e-05	3.67029916420022e-08	30	188	385	7274	0.00%	0.00	NDE1, ACS1, CAT8, PET9, ACO1, NCA2, GSY2, ICL1, COX5A, CIT1, MDH3, COR1, KGD1, IDH1, KGD2, TRX2, PDA1, SAP155, FUM1, ADH2, QCR6, RDS2, MRPL22, MDL2, GLG2, YHR009C, LSC2, MDH2, NDE2, SDH2
