Date	Mon Jul 20 00:42:36 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	APL1 PPA1 PAP1 TAF1
Unknown identifiers (13)	PSY1 YMR173W-A YML116W-A YHR214W-A YCR025C YLL020C YBL048W YMR052C-A YMR304C-A VPS63 YPL025C YDR154C YBR116C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0050896	response to stimulus	1.0081400409721e-17	9.70298403245523e-21	211	736	1155	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, YPL095C, RVS161, YRO2, HSP42, MPH1, RIM15, YOR292C, TAP42, YTP1, NCA3, YOL111C, SPG5, STE11, KTR2, RAD5, NCE103, GAC1, MNN4, YOR052C, AGA2, STD1, MOH1, MEC3, YNL305C, TPS2, KCS1, SNF3, STF2, YJL055W, AAD10, OCA1, SLX8, FPS1, ATG20, PHO5, GLK1, PAU7, FAR1, NSE1, YML131W, KNS1, SNF2, YOR338W, RAD9, RCK2, MET30, YJL012C-A, PRR2, TPS1, MSH5, CBK1, PSY3, SPI1, PRX1, SEY1, BDF1, YNL234W, SIP5, PIF1, CUP2, ASP3-3, MLH3, VPS64, NRG1, YOL063C, MUS81, COX20, RRI2, YRR1, YAF9, CCZ1, YHL010C, HXT6, YKU70, RTT101, SPA2, CRS5, GPD1, POL4, IMH1, YMR102C, HSP31, GTT2, SAC3, HXT7, YMR090W, HSC82, HSF1, CAD1, MSC1, DDR48, HHT1, STH1, PDR15, STE13, YDR506C, SPO14, DNL4, OLE1, YHR087W, STE6, UFO1, YPL088W, YDL057W, BNI1, YKL071W, FYV6, YNL200C, HSP104, PRB1, SCC4, SDS24, RIM20, ATG4, TRF5, HSP12, RPN4, YKL151C, CCW12, TFB3, YIL169C, TRR2, ATG17, BZZ1, GAD1, ROD1, HSP32, YJR096W, ATG1, PRM8, RAD28, HAL1, DPB3, IRE1, GPH1, ELM1, SMC5, RRI1, REV3, MEH1, SLX4, HEX3, POL2, SIR4, CIN5, VID21, AFT2, YLR225C, YNG2, ADR1, FRE3, RAD16, BOP3, ASP3-1, MET4, BRO1, CTF4, SPG3, UBI4, RMI1, GCN2, GPX1, SSD1, ASP3-2, YGP1, FAR3, JLP1, NSE3, MSN2, ASP3-4, SMC1, CSN9, PMS1, MTF2, PRM4, RAD2, TEL1, MPT5, PIR3, VPS30, HSP33, FAR8, CTK2, UBX3, HOR2, MSN4, AZF1, HBT1, LRP1, YDL124W, YIL077C, RAD26, PSO2, NST1, YBR100W, RPH1, YLR247C, IZH2, YDR109C, ISW2, SSA4, EPL1, ATG13, YLL056C, GPA1, ESA1, YDL010W
GO:0033554	cellular response to stress	9.61816464077022e-16	9.25713632412919e-19	120	736	530	7274	0.00%	0.00	PHR1, TDP1, RAD4, MSC1, DDR48, HHT1, STH1, YRO2, PDR15, YDR506C, MPH1, DNL4, YOR292C, YHR087W, YTP1, YDL057W, YPL088W, SPG5, FYV6, YNL200C, HSP104, STE11, PRB1, KTR2, RAD5, SCC4, NCE103, SDS24, ATG4, RIM20, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, MEC3, YNL305C, ATG17, GAD1, ATG1, YJR096W, RAD28, DPB3, IRE1, GPH1, STF2, SMC5, REV3, SLX4, SLX8, HEX3, POL2, SIR4, ATG20, VID21, PHO5, GLK1, YNG2, RAD16, NSE1, ASP3-1, KNS1, SNF2, SPG3, RAD9, CTF4, RCK2, UBI4, GCN2, ASP3-2, YGP1, TPS1, NSE3, MSN2, ASP3-4, MSH5, SMC1, PMS1, PSY3, MTF2, SPI1, RAD2, PRX1, BDF1, TEL1, PIR3, SIP5, VPS30, PIF1, ASP3-3, UBX3, MSN4, HBT1, LRP1, YDL124W, MLH3, RAD26, PSO2, YBR100W, MUS81, RPH1, COX20, YAF9, CCZ1, HXT6, SSA4, YKU70, EPL1, RTT101, ATG13, YLL056C, ESA1, YDL010W, POL4, HSP31, HXT7, YMR090W, SAC3
GO:0051716	cellular response to stimulus	1.79644825816874e-15	1.72901661036452e-18	123	736	554	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, MSC1, DDR48, HHT1, STH1, YRO2, PDR15, YDR506C, MPH1, DNL4, YOR292C, YHR087W, YTP1, YDL057W, YPL088W, SPG5, FYV6, YNL200C, HSP104, STE11, PRB1, KTR2, RAD5, SCC4, NCE103, SDS24, ATG4, RIM20, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, MEC3, YNL305C, ATG17, GAD1, ATG1, YJR096W, RAD28, DPB3, IRE1, GPH1, STF2, SMC5, REV3, SLX4, SLX8, HEX3, POL2, SIR4, ATG20, VID21, PHO5, GLK1, YNG2, ADR1, RAD16, NSE1, ASP3-1, KNS1, SNF2, SPG3, RAD9, CTF4, RCK2, UBI4, GCN2, ASP3-2, YGP1, TPS1, NSE3, MSN2, ASP3-4, MSH5, SMC1, PMS1, PSY3, MTF2, SPI1, RAD2, PRX1, BDF1, TEL1, MPT5, PIR3, SIP5, VPS30, PIF1, ASP3-3, UBX3, MSN4, HBT1, LRP1, YDL124W, MLH3, RAD26, PSO2, YBR100W, MUS81, RPH1, COX20, YAF9, CCZ1, HXT6, SSA4, YKU70, EPL1, RTT101, ATG13, YLL056C, ESA1, YDL010W, POL4, HSP31, HXT7, YMR090W, SAC3
GO:0044248	cellular catabolic process	8.39723001826408e-15	8.08203081642356e-18	170	736	901	7274	0.00%	0.00	GPR1, YNL224C, TDH1, BCK2, RIM15, UBX7, GPM2, YLR424W, PIM1, DDP1, NVJ1, DBF20, GCR2, YLR030W, PEP1, YPR115W, UGA3, YPL221W, FIN1, PFK2, SNF3, RRP6, ATG19, SLX8, ECM2, PFK1, ATG20, ERR2, YDR306C, GLK1, ASG7, YHR202W, MET30, ARO80, PUT4, CDC19, ATG11, YJL012C-A, VPS8, HSV2, PEX4, YER004W, PCL10, PNG1, VTC1, ADY3, NKP1, MDS3, ASP3-3, SRC1, YDR219C, POX1, NCR1, TOM1, DOA4, DID4, GND2, PGI1, CCZ1, YHL010C, DUR3, VAM7, RTT101, GDB1, GPD1, CWC21, UBR2, POL4, EPS1, RNY1, YPL110C, GTT2, PGM2, HMX1, MBF1, PRC1, CNN1, SPS19, HUL5, HEM14, IRA1, RIS1, UFO1, SEC17, EDC2, YOL155C, PGK1, PLB3, PRB1, NOT3, ATG4, ECM5, GSC2, TRF5, YLR164W, TFB3, MSU1, RIM13, SIR1, SPO1, YIL169C, ATG17, GAD1, YJR096W, ATG1, MDM30, RAD28, GPH1, ERR3, YDR458C, UBP9, RPT1, YTA7, UFD4, RRI1, MEH1, SLX4, REV3, HEX3, PEX15, MPC54, MUB1, NMD2, PLC1, GID8, RAD16, ASP3-1, BRO1, KEM1, ASP3-2, MAD3, BPT1, JLP1, PFK26, ASP3-4, NBP1, YPL168W, YDL133W, RAD2, ERR1, TEL1, MPT5, VPS30, UBP2, UBX5, UBX3, PIG1, HOR2, SHP1, LRP1, ECM10, DUR1,2, APJ1, VTC2, TPI1, ATG22, SNU71, CIS1, STN1, ATG26, PEX28, ATG13, ESA1, FES1, ULP1, YOR138C, TYE7, UBP15, PPN1, PAI3
GO:0006914	autophagy	5.42209533217917e-14	5.21857106080768e-17	71	736	247	7274	0.00%	0.00	GPR1, YNL224C, MBF1, CNN1, HUL5, BCK2, HEM14, IRA1, YLR424W, SEC17, NVJ1, DBF20, ATG4, YLR030W, PEP1, ECM5, TFB3, UGA3, RIM13, SIR1, ATG17, FIN1, ATG1, RAD28, SNF3, YDR458C, ATG19, RRI1, REV3, MEH1, ECM2, PEX15, ATG20, MUB1, MPC54, ATG11, YJL012C-A, VPS8, MAD3, BPT1, HSV2, NBP1, YPL168W, PEX4, PCL10, YDL133W, VTC1, ADY3, VPS30, NKP1, PIG1, SRC1, ECM10, APJ1, VTC2, ATG22, CCZ1, SNU71, CIS1, DUR3, VAM7, STN1, ATG26, PEX28, RTT101, ATG13, ESA1, FES1, POL4, CWC21, GTT2
GO:0009056	catabolic process	1.37986889338375e-13	1.32807400710659e-16	190	736	1080	7274	0.00%	0.00	DAP2, GPR1, YNL224C, TPM1, TDH1, ROG1, YOR022C, BCK2, RIM15, UBX7, GPM2, YLR424W, PIM1, DDP1, NVJ1, DBF20, GCR2, YLR030W, PEP1, TGL2, YPR115W, UGA3, YPL221W, FIN1, PFK2, SNF3, RRP6, ATG19, TFS1, SLX8, ECM2, PFK1, ATG20, ERR2, YDR306C, GLK1, ASG7, YHR202W, MET30, ARO80, PUT4, CDC19, VPS8, ATG11, YJL012C-A, HSV2, PEX4, YER004W, PCL10, PNG1, VTC1, ADY3, NKP1, MDS3, ASP3-3, SRC1, SWR1, YDR219C, POX1, NCR1, TOM1, DOA4, DID4, GND2, PGI1, CCZ1, YHL010C, DUR3, VAM7, RTT101, GDB1, GPD1, CWC21, UBR2, POL4, EPS1, RNY1, YPL110C, GTT2, PGM2, HSC82, HMX1, MBF1, PRC1, CNN1, STE13, SPS19, SPO14, HUL5, HEM14, IRA1, RIS1, UFO1, SEC17, EDC2, YOL155C, PGK1, PLB3, PRB1, NOT3, RIM20, ATG4, ECM5, GSC2, TRF5, RPN4, YLR164W, TFB3, MSU1, RIM13, SIR1, SPO1, YDR444W, YIL169C, ATG17, GAD1, YJR096W, ATG1, MDM30, RAD28, GPH1, ERR3, YDR458C, UBP9, RPT1, YTA7, SEC4, UFD4, RRI1, MEH1, SLX4, REV3, HEX3, PEX15, MPC54, MUB1, NMD2, PLC1, GID8, RAD16, ASP3-1, BRO1, KEM1, ASP3-2, CHS5, MAD3, BPT1, PFK26, JLP1, NBP1, ASP3-4, YPL168W, AXL1, YDL133W, RAD2, ERR1, VPS70, TEL1, MPT5, VPS30, UBP2, UBX5, UBX3, PIG1, YKL171W, HOR2, SHP1, LRP1, ECM10, DUR1,2, APJ1, YOR059C, VTC2, YPS1, TPI1, ATG22, CIS1, SNU71, STN1, ATG26, PEX28, ATG13, ESA1, FES1, ULP1, YOR138C, TYE7, UBP15, PPN1, PAI3
GO:0006950	response to stress	3.76665939554505e-13	3.6252737204476e-16	156	736	829	7274	0.00%	0.00	PHR1, TDP1, RAD4, YPL095C, RVS161, YRO2, HSP42, MPH1, RIM15, YOR292C, YTP1, SPG5, STE11, KTR2, RAD5, NCE103, GAC1, MNN4, YOR052C, STD1, MOH1, MEC3, YNL305C, TPS2, STF2, OCA1, SLX8, ATG20, PHO5, GLK1, PAU7, NSE1, YML131W, KNS1, SNF2, RAD9, YOR338W, RCK2, TPS1, MSH5, PSY3, SPI1, PRX1, SEY1, BDF1, YNL234W, SIP5, PIF1, ASP3-3, MLH3, YOL063C, MUS81, COX20, YAF9, CCZ1, HXT6, YKU70, RTT101, GPD1, POL4, IMH1, HSP31, HXT7, YMR090W, SAC3, HSC82, HSF1, MSC1, DDR48, HHT1, STH1, YDR506C, PDR15, DNL4, YHR087W, UFO1, YPL088W, YDL057W, BNI1, FYV6, YNL200C, HSP104, PRB1, SCC4, RIM20, ATG4, SDS24, TRF5, HSP12, RPN4, YKL151C, TFB3, TRR2, ATG17, BZZ1, HSP32, GAD1, YJR096W, ATG1, RAD28, HAL1, GPH1, IRE1, DPB3, ELM1, SMC5, SLX4, REV3, HEX3, POL2, SIR4, CIN5, VID21, AFT2, YNG2, YLR225C, RAD16, ASP3-1, CTF4, SPG3, RMI1, UBI4, GCN2, GPX1, ASP3-2, YGP1, NSE3, ASP3-4, MSN2, SMC1, PMS1, MTF2, RAD2, TEL1, PIR3, VPS30, HSP33, CTK2, UBX3, HBT1, MSN4, HOR2, YDL124W, LRP1, RAD26, PSO2, NST1, YBR100W, RPH1, YLR247C, SSA4, EPL1, ATG13, YLL056C, ESA1, YDL010W
GO:0009628	response to abiotic stimulus	1.15067529359251e-07	1.10748343945381e-10	70	736	317	7274	0.00%	0.00	HSC82, HSF1, RVS161, MSC1, DDR48, YRO2, PDR15, YDR506C, YOR292C, YHR087W, YTP1, YDL057W, YPL088W, BNI1, SPG5, YNL200C, HSP104, STE11, KTR2, NCE103, SDS24, RIM20, HSP12, GAC1, YKL151C, YOR052C, STD1, MOH1, YNL305C, BZZ1, GAD1, YJR096W, HAL1, GPH1, STF2, ELM1, MEH1, CIN5, GLK1, YML131W, KNS1, SPG3, RCK2, UBI4, YJL012C-A, YGP1, TPS1, MSN2, MTF2, SPI1, PRX1, YNL234W, PIR3, UBX3, HBT1, MSN4, HOR2, YDL124W, NRG1, NST1, COX20, YDR109C, HXT6, SSA4, YLL056C, GPD1, YDL010W, YMR090W, HXT7, HSP31
GO:0034605	cellular response to heat	6.06572584417526e-07	5.83804219843625e-10	47	736	181	7274	0.00%	0.00	KNS1, MSC1, SPG3, DDR48, UBI4, YRO2, PDR15, YDR506C, YGP1, TPS1, YOR292C, YHR087W, YTP1, MSN2, YDL057W, YPL088W, SPG5, MTF2, YNL200C, SPI1, PRX1, HSP104, KTR2, PIR3, NCE103, SDS24, RIM20, HSP12, UBX3, YKL151C, YOR052C, HBT1, YDL124W, MOH1, YNL305C, GAD1, YJR096W, GPH1, STF2, COX20, HXT6, SSA4, YLL056C, GLK1, HSP31, YMR090W, HXT7
GO:0009408	response to heat	8.60326599719194e-07	8.28033300980938e-10	50	736	201	7274	0.00%	0.00	HSF1, KNS1, MSC1, SPG3, DDR48, UBI4, YRO2, PDR15, YDR506C, YGP1, TPS1, YOR292C, YHR087W, YTP1, MSN2, YDL057W, YPL088W, SPG5, MTF2, YNL200C, SPI1, PRX1, HSP104, KTR2, PIR3, NCE103, SDS24, RIM20, HSP12, GAC1, UBX3, MSN4, YKL151C, YOR052C, HBT1, YDL124W, MOH1, YNL305C, GAD1, YJR096W, GPH1, STF2, COX20, HXT6, SSA4, YLL056C, GLK1, HSP31, YMR090W, HXT7
