Date	Mon Jul 20 00:42:51 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (7)	TEX1 MGT1 SDH1 TIP1 MSF1 ANT1 POT1
Unknown identifiers (9)	YMR141C YGL204C YBR012C YBL107W-A YGR122C-A YHR180W YHR095W YNL337W YLR294C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006084	acetyl-CoA metabolic process	3.02870783035987e-14	4.81511578753557e-17	18	302	33	7274	0.00%	0.00	ACS1, ACO1, YJL045W, ICL1, CIT1, MDH3, KGD1, IDH1, KGD2, ACH1, IDH2, FUM1, CIT2, ACS2, LSC2, MDH2, SDH3, SDH2
GO:0006732	coenzyme metabolic process	6.58387491364251e-14	1.04672097196224e-16	34	302	149	7274	0.00%	0.00	YIL083C, PYC1, BNA4, ECM4, CIT1, MDH3, KGD1, IDH1, ALD6, ACH1, ALD4, SDH3, MDH2, LSC2, BNA1, NDE1, ACS1, PYC2, ACO1, YJL045W, COQ3, BNA5, ICL1, KGD2, IDH2, FUM1, CIT2, FMS1, LIP5, GUT2, ACS2, COQ4, NDE2, SDH2
GO:0055114	oxidation reduction	3.97647635282019e-13	6.32190199176501e-16	48	302	310	7274	0.00%	0.00	AAD16, CYB2, SOD2, AHP1, COX6, TTR1, BNA4, MDH3, COR1, KGD1, YNL134C, IDH1, ALD6, TRX2, GRX4, YGR235C, GDH2, ALD4, YJR149W, SDH3, MDH2, BNA1, NDE1, ACO1, YJL045W, XYL2, HAP4, MCR1, COX5A, RPM2, SOD1, QCR8, YPL113C, LPD1, YML087C, CYC1, IDH2, CYT1, HYR1, YBR033W, FMS1, QCR6, QCR2, FOX2, GUT2, FAS2, NDE2, SDH2
GO:0051186	cofactor metabolic process	7.96101449518397e-13	1.26566208190524e-15	39	302	212	7274	0.00%	0.00	YIL083C, PYC1, BNA4, ECM4, YNR018W, CIT1, ISA1, MDH3, KGD1, IDH1, ALD6, ACH1, YGR235C, ALD4, SDH3, MDH2, LSC2, BNA1, NDE1, ACS1, PYC2, ACO1, YJL045W, COQ3, HAP4, BNA5, ICL1, KGD2, CYC1, IDH2, FUM1, CIT2, FMS1, LIP5, GUT2, ACS2, NDE2, COQ4, SDH2
GO:0006099	tricarboxylic acid cycle	3.84569401494688e-11	6.1139809458615e-14	15	302	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, YJL045W, CIT2, ICL1, CIT1, MDH3, SDH3, MDH2, LSC2, SDH2
GO:0046356	acetyl-CoA catabolic process	3.84569401494688e-11	6.1139809458615e-14	15	302	29	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, YJL045W, CIT2, ICL1, CIT1, MDH3, SDH3, MDH2, LSC2, SDH2
GO:0009109	coenzyme catabolic process	4.42183563793342e-10	7.0299453703234e-13	15	302	33	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, YJL045W, CIT2, ICL1, CIT1, MDH3, SDH3, MDH2, LSC2, SDH2
GO:0006091	generation of precursor metabolites and energy	4.88780369058302e-10	7.77075308518764e-13	49	302	385	7274	0.00%	0.00	CYB2, BMH2, NCA2, GSY2, COX6, TTR1, COX13, CIT1, MDH3, DIA4, COR1, KGD1, ATP16, IDH1, ALD6, TRX2, SAP155, GRX4, ATP3, YGR235C, SDH3, MDH2, LSC2, NDE1, ATP17, ACS1, CAT8, ACO1, YJL045W, ATP15, HAP4, ICL1, COX5A, QCR8, MDM32, YML119W, ATP5, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GLG2, QCR2, NDE2, SDH2
GO:0051187	cofactor catabolic process	7.6196093983383e-10	1.21138464202517e-12	15	302	34	7274	0.00%	0.00	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, YJL045W, CIT2, ICL1, CIT1, MDH3, SDH3, MDH2, LSC2, SDH2
GO:0045333	cellular respiration	1.36448280708106e-09	2.16928904146432e-12	30	302	161	7274	0.00%	0.00	NDE1, ACO1, NCA2, YJL045W, COX6, COX13, ICL1, COX5A, CIT1, MDH3, QCR8, MDM32, DIA4, COR1, KGD1, IDH1, ALD6, KGD2, CYC1, IDH2, FUM1, CYT1, CIT2, QCR6, YGR235C, QCR2, SDH3, LSC2, MDH2, SDH2
GO:0015980	energy derivation by oxidation of organic compounds	1.21501294940868e-08	1.93165810716801e-11	40	302	296	7274	0.00%	0.00	BMH2, NCA2, GSY2, COX6, COX13, CIT1, MDH3, DIA4, COR1, KGD1, IDH1, ALD6, SAP155, YGR235C, SDH3, MDH2, LSC2, NDE1, ACS1, CAT8, ACO1, YJL045W, HAP4, ICL1, COX5A, QCR8, MDM32, YML119W, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GLG2, QCR2, NDE2, SDH2
