Date	Mon Jul 20 08:34:48 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	2_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (2)	CCS1 SSB1
Unknown identifiers (6)	YGL072C YEL068C YMR075C-A YIL086C YCR064C YLR123C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0022613	ribonucleoprotein complex biogenesis	2.6980789120651e-09	3.96193672843628e-12	62	227	803	7274	0.00%	0.00	DIP2, YDR020C, RSC9, PAC1, ASF1, SLI15, REX2, DAT1, YLR022C, SUR2, ALD5, SUB2, YNR054C, TGS1, HIP1, NAM8, RRP7, YML023C, EDC3, NOG2, CIC1, YEH1, KTR7, NOP7, FUR4, NOP4, YDR412W, MEX67, YPL030W, NOT3, DBP8, FCY21, DBP10, BMS1, RIX7, NOP6, THI80, RPO31, UTP20, RRP40, POL12, BUD17, SPB1, SLX9, YFR038W, GPM3, IFH1, THO1, YIL091C, YBR141C, ZRT2, IPI1, UTP7, YOR390W, RRN7, MNN5, YPL279C, RPS27A, FAR1, PRP19, FRE1, KRR1
GO:0042254	ribosome biogenesis	2.86469171872021e-08	4.20659576904584e-11	58	227	761	7274	0.00%	0.00	DIP2, YDR020C, RSC9, PAC1, ASF1, SLI15, REX2, DAT1, YLR022C, SUR2, ALD5, YNR054C, TGS1, HIP1, RRP7, YML023C, NOG2, CIC1, YEH1, KTR7, NOP7, FUR4, NOP4, YDR412W, MEX67, YPL030W, NOT3, DBP8, FCY21, DBP10, BMS1, RIX7, NOP6, THI80, RPO31, UTP20, RRP40, POL12, BUD17, SPB1, SLX9, YFR038W, GPM3, IFH1, YIL091C, YBR141C, ZRT2, IPI1, UTP7, YOR390W, RRN7, MNN5, YPL279C, RPS27A, FAR1, PRP19, FRE1, KRR1
GO:0016072	rRNA metabolic process	2.04183213012761e-05	2.99828506626668e-08	44	227	589	7274	0.00%	0.00	DIP2, YDR020C, RSC9, PAC1, ASF1, SLI15, REX2, DAT1, YLR022C, YNR054C, TGS1, HIP1, RRP7, YML023C, YEH1, KTR7, ORC3, NOP7, FUR4, NOP4, YDR412W, YPL030W, DBP8, FCY21, DBP10, BMS1, NOP6, RPO31, UTP20, RRP40, BUD17, SPB1, SLX9, YFR038W, IFH1, YIL091C, YBR141C, IPI1, UTP7, YOR390W, RRN7, RPS27A, KRR1, FRE1
GO:0044085	cellular component biogenesis	3.25230644982142e-05	4.77578039621354e-08	72	227	1256	7274	0.00%	0.00	RSC9, DAT1, SUB2, NAM8, YML023C, EDC3, NOG2, YEH1, CDC6, MEX67, NOT3, FCY21, DBP10, BMS1, NOP6, THI80, RPO31, YFR038W, IFH1, YOR390W, CDC45, SIR4, MNN5, RPS27A, FAR1, FRE1, SLI15, ASF1, PAC1, YDR020C, DIP2, REX2, SUR2, YLR022C, TGS1, YNR054C, ALD5, HIP1, RRP7, CIC1, KTR7, ORC3, FUR4, NOP7, NOP4, YDR412W, YPL030W, DBP8, CDC7, HOC1, OST6, RIX7, UTP20, POL12, RRP40, BUD17, FPR4, MNN10, SPB1, SLX9, TBF1, GPM3, THO1, YIL091C, YBR141C, ZRT2, IPI1, UTP7, RRN7, YPL279C, KRR1, PRP19
GO:0008152	metabolic process	0.000281860069247486	4.13891437955192e-07	176	227	4527	7274	0.00%	0.00	RSC9, YHL035C, BCK1, DAT1, SUB2, ARE1, SCS7, YLR426W, NAM8, YIR035C, PDE2, SPO7, BCK2, PDR17, CAR1, EDC3, CTF18, RAD5, FCY21, RNA15, PEP1, STT3, PIS1, BMS1, NOP6, ARO7, SST2, HAT1, RPO31, GAS3, PDC5, CDD1, RNR1, KCS1, PER1, VPS74, CDC45, SUR4, LCB1, MNN5, CSN12, YND1, TIS11, FAR1, FRE1, DIP2, PAC1, ASF1, CDC9, REX2, FRE6, YLR022C, TGS1, HIP1, CDC19, LAS21, FKS1, PAN2, VPS8, RRP7, ADH1, EPT1, FET3, KEX2, CIC1, ORC3, GDH1, PHO91, NOP7, YER186C, YDR412W, YFR055W, SEC53, ALG12, OST6, POL12, UNG1, BUD17, FPR4, GYP6, UBC12, GPM3, PMT2, YIL091C, THO1, IPI1, YLR243W, PUF6, DCG1, CLB4, PKC1, HMX1, ROX3, FCY22, YML023C, OYE2, PFK27, STV1, GTS1, YEH1, CDC6, STE24, NIT3, ASI1, TGL3, PLB3, MEX67, NOT3, RPB5, RBD2, DBP10, THI80, LHP1, YFR038W, TAN1, NIP1, IFH1, CCC2, RNR3, RAD61, YOR390W, GPI13, SIR4, DPP1, YOX1, RPS27A, NPR2, YDR020C, SLI15, VID24, YMR171C, VRG4, SUR2, OST1, MAP1, YNR054C, ALD5, PDC1, TKL1, GWT1, DSS4, YJR030C, GSY1, KTR7, FUR4, NOP4, SEC59, SWE1, YPL030W, DBP8, NMA1, CDC7, CSH1, HOC1, HOR2, UTP20, YOR246C, RRP40, RNH1, MNN10, SPB1, SLX9, TBF1, HXK2, YBR141C, TPI1, NNT1, YOR081C, UTP7, RRN7, SUC2, AAC3, STE14, NCP1, PRP19, KRR1
GO:0009987	cellular process	0.000432405413944757	6.3495655498496e-07	196	227	5304	7274	0.00%	0.00	RSC9, YHL035C, BCK1, DAT1, SUB2, ARE1, SCS7, YLR426W, NAM8, MDM1, PDE2, SPO7, BCK2, PDR17, CAR1, EDC3, NOG2, ZRT1, CTF18, RAD5, YDL146W, FCY21, RNA15, PEP1, STT3, PIS1, BMS1, NOP6, ARO7, SST2, HAT1, RPO31, GAS3, PDC5, CDD1, RNR1, KCS1, PER1, YHL029C, VPS74, CDC45, SUR4, LCB1, MNN5, CSN12, YND1, TIS11, FAR1, FRE1, DIP2, PAC1, ASF1, CDC9, REX2, FRE6, YLR022C, TGS1, HIP1, ECM3, CDC19, LAS21, FKS1, PAN2, VPS8, RRP7, ADH1, SLY41, EPT1, FET3, CIC1, ORC3, GDH1, PHO91, NOP7, ZRT3, YER186C, YDR412W, YFR055W, SEC53, ALG12, OST6, YDL072C, POL12, UNG1, BUD17, FPR4, GYP6, YKR088C, UBC12, GPM3, PXL1, PMT2, YIL091C, THO1, ZRT2, IPI1, YLR243W, PUF6, DCG1, CLB4, SAR1, HMX1, PKC1, YOP1, ROX3, FCY22, YML023C, PFK27, OYE2, STV1, GTS1, YEH1, CDC6, ASI1, TGL3, PLB3, ASK1, MEX67, NOT3, RPB5, RBD2, DBP10, THI80, YOR129C, LHP1, YFR038W, TAN1, NIP1, IFH1, NEW1, CCC2, RNR3, RAD61, YOR390W, GPI13, SIR4, DPP1, YOX1, RPS27A, NPR2, YDR020C, SLI15, VID24, YMR171C, VRG4, SUR2, OST1, MAP1, YNR054C, ALD5, PDC1, ERS1, TKL1, GWT1, DSS4, BUB2, YJR030C, RGS2, GIC1, GSY1, KTR7, FUR4, NOP4, SEC59, SWE1, YPL030W, DBP8, NMA1, HOC1, CSH1, CDC7, RIX7, HOR2, YOR246C, UTP20, RRP40, RNH1, MNN10, SPB1, SLX9, TBF1, HXK2, YBR141C, TPI1, NNT1, YOR081C, UTP7, RRN7, SUC2, AAC3, YPL279C, STE14, NCP1, GTT3, PRP19, KRR1
GO:0044237	cellular metabolic process	0.000921362080193601	1.35295459646637e-06	169	227	4334	7274	0.00%	0.00	RSC9, YHL035C, BCK1, DAT1, SUB2, ARE1, SCS7, YLR426W, NAM8, PDE2, SPO7, BCK2, PDR17, CAR1, EDC3, CTF18, RAD5, FCY21, RNA15, PEP1, STT3, PIS1, BMS1, NOP6, ARO7, SST2, HAT1, RPO31, PDC5, CDD1, RNR1, KCS1, PER1, VPS74, CDC45, SUR4, LCB1, MNN5, CSN12, YND1, TIS11, FAR1, FRE1, DIP2, PAC1, ASF1, CDC9, REX2, FRE6, YLR022C, TGS1, HIP1, CDC19, LAS21, FKS1, PAN2, VPS8, RRP7, ADH1, EPT1, CIC1, ORC3, GDH1, PHO91, NOP7, YER186C, YDR412W, YFR055W, SEC53, ALG12, OST6, POL12, UNG1, BUD17, FPR4, GYP6, UBC12, GPM3, PMT2, YIL091C, THO1, IPI1, YLR243W, PUF6, DCG1, CLB4, PKC1, HMX1, ROX3, FCY22, YML023C, OYE2, PFK27, STV1, GTS1, YEH1, CDC6, ASI1, TGL3, PLB3, MEX67, NOT3, RPB5, RBD2, DBP10, THI80, LHP1, YFR038W, TAN1, NIP1, IFH1, CCC2, RNR3, RAD61, YOR390W, GPI13, SIR4, DPP1, YOX1, RPS27A, NPR2, SLI15, YDR020C, VID24, YMR171C, VRG4, SUR2, OST1, YNR054C, ALD5, PDC1, TKL1, GWT1, DSS4, YJR030C, GSY1, KTR7, FUR4, NOP4, SEC59, SWE1, YPL030W, DBP8, NMA1, CDC7, CSH1, HOC1, HOR2, UTP20, YOR246C, RRP40, RNH1, MNN10, SPB1, SLX9, TBF1, HXK2, YBR141C, TPI1, NNT1, YOR081C, UTP7, RRN7, SUC2, AAC3, STE14, NCP1, PRP19, KRR1
GO:0034660	ncRNA metabolic process	0.00159959101100227	2.34888547871112e-06	48	227	780	7274	0.00%	0.00	DIP2, YDR020C, RSC9, PAC1, ASF1, SLI15, REX2, DAT1, YLR022C, YNR054C, TGS1, HIP1, RRP7, YML023C, YEH1, KTR7, ORC3, NOP7, FUR4, NOP4, YDR412W, YPL030W, DBP8, FCY21, YFR055W, NMA1, DBP10, BMS1, NOP6, RPO31, UTP20, RRP40, LHP1, BUD17, SPB1, SLX9, YFR038W, TAN1, IFH1, YIL091C, YBR141C, IPI1, UTP7, YOR390W, RRN7, RPS27A, FRE1, KRR1
GO:0016070	RNA metabolic process	0.00257898773329397	3.78705981394122e-06	79	227	1590	7274	0.00%	0.00	RSC9, DAT1, SUB2, YLR426W, NAM8, ROX3, FCY22, PDE2, YML023C, EDC3, GTS1, YEH1, CDC6, NOT3, FCY21, RNA15, RPB5, DBP10, BMS1, NOP6, HAT1, RPO31, LHP1, TAN1, YFR038W, IFH1, YOR390W, CDC45, SIR4, CSN12, YOX1, RPS27A, NPR2, TIS11, FRE1, DIP2, SLI15, ASF1, PAC1, YDR020C, REX2, YLR022C, TGS1, YNR054C, HIP1, DSS4, PAN2, RRP7, CIC1, KTR7, ORC3, NOP7, FUR4, NOP4, YDR412W, YPL030W, DBP8, YFR055W, CDC7, NMA1, UTP20, RRP40, BUD17, RNH1, FPR4, SPB1, SLX9, TBF1, HXK2, THO1, YIL091C, YBR141C, IPI1, NNT1, UTP7, RRN7, PUF6, KRR1, PRP19
GO:0009101	glycoprotein biosynthetic process	0.00305253423116366	4.48242912065149e-06	12	227	78	7274	0.00%	0.00	OST6, VRG4, OST1, KTR7, MNN10, MNN5, SEC59, YND1, PMT2, HOC1, STT3, ALG12
