Date	Mon Jul 20 08:34:59 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	3_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	MIF2 TAF1 SDL1 GAT1
Unknown identifiers (9)	PSY1 YML116W-A YNL303W YBL048W YMR153C-A YBR099C YMR052C-A YMR304C-A YBR116C

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0033554	cellular response to stress	1.47753978991933e-15	1.50769366318299e-18	110	649	530	7274	0.00%	0.00	PHR1, TDP1, RAD4, SBP1, MLH2, MSC1, DDR48, STH1, RAD24, MPH1, DNL4, VPS15, RDH54, YOR292C, YHR087W, SMC6, SPG5, FYV6, YNL200C, HSP104, STE11, SCC4, MGS1, NCE103, ATG4, RIM20, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, MEC3, RPF1, ATG17, GAD1, YJR096W, RAD28, DPB3, GPH1, STF2, PRI2, SMC5, REV3, SLX8, HEX3, POL2, ATG20, GLK1, YNG2, SWC4, PDS1, NSE1, ASP3-1, LAP4, SNF2, RFA2, CTF4, YNL274C, RCK2, UBI4, GCN2, SSL1, ASP3-2, YGP1, TPS1, IMP2', CSM3, NSE3, YLL058W, ASP3-4, MSH5, SMC1, MTF2, XRS2, RAD2, PRX1, PIR3, VPS30, BDF2, PIF1, ASP3-3, HPR1, UBX3, HBT1, YDL124W, MLH3, RAD26, RPB4, PSO2, RAD54, YBR100W, MUS81, RPH1, SSK1, CCZ1, HXT6, SSA4, YKU70, RTT101, ATG13, YLL056C, ESA1, RFC2, POL4, YPL071C, HXT7, YMR090W, SAC3
GO:0051716	cellular response to stimulus	5.60237388829451e-15	5.71670804928011e-18	112	649	554	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, SBP1, MLH2, MSC1, DDR48, STH1, RAD24, MPH1, DNL4, VPS15, RDH54, YOR292C, YHR087W, SMC6, SPG5, FYV6, YNL200C, HSP104, STE11, SCC4, MGS1, NCE103, ATG4, RIM20, TRF5, HSP12, RPN4, YKL151C, YOR052C, TFB3, MOH1, MEC3, RPF1, ATG17, GAD1, YJR096W, RAD28, DPB3, GPH1, STF2, PRI2, SMC5, REV3, SLX8, HEX3, POL2, ATG20, GLK1, YNG2, ADR1, SWC4, PDS1, NSE1, ASP3-1, LAP4, SNF2, RFA2, CTF4, YNL274C, RCK2, UBI4, GCN2, SSL1, ASP3-2, YGP1, TPS1, IMP2', CSM3, NSE3, YLL058W, ASP3-4, MSH5, SMC1, MTF2, XRS2, RAD2, PRX1, PIR3, VPS30, BDF2, PIF1, ASP3-3, HPR1, UBX3, HBT1, YDL124W, MLH3, RAD26, RPB4, PSO2, RAD54, YBR100W, MUS81, RPH1, SSK1, CCZ1, HXT6, SSA4, YKU70, RTT101, ATG13, YLL056C, ESA1, RFC2, POL4, YPL071C, HXT7, YMR090W, SAC3
GO:0006914	autophagy	5.27587162201404e-14	5.3835424714429e-17	66	649	247	7274	0.00%	0.00	GPR1, YNL224C, CCL1, CNN1, PEP3, HUL5, VPS15, HEM14, DBF20, ATG4, YLR030W, ECM5, VPS38, TFB3, RIM13, SIR1, ATG17, FIN1, YAP5, RAD28, YDR458C, YEL023C, ATG19, RDR1, MKK2, YML020W, REV3, HOS1, PEX15, ATG20, MPC54, SNT2, FAB1, SSL1, ATG11, YJL012C-A, MAD3, BPT1, HSV2, NBP1, PEX4, YDL176W, XRS2, PCL10, YDL133W, VPS30, NKP1, PIG1, SRC1, VPS41, RAD54, GSH1, CCZ1, SNU71, CIS1, DUR3, PEX28, TFC6, ATG26, RTT101, ATG13, ESA1, MAC1, FES1, POL4, GTT2
GO:0050896	response to stimulus	6.70852112054068e-14	6.84542971483742e-17	182	649	1155	7274	0.00%	0.00	PHR1, TDP1, GPR1, RAD4, SBP1, MLH2, PHM6, RVS161, PEP3, HSP42, MPH1, MET17, RDH54, YOR292C, TAP42, FAR11, SMC6, NCA3, SPG5, STE11, NCE103, GAC1, YOR052C, MOH1, MEC3, TPS2, IES4, STF2, PRI2, YJL055W, AAD10, OCA1, RDR1, SLX8, XBP1, ATG20, GLK1, PAU7, SWC4, PDS1, NSE1, SNF2, YOR338W, RCK2, MET30, SSL1, YJL012C-A, PRR2, TPS1, CSM3, YLL058W, MSH5, CBK1, XRS2, PRX1, PGD1, PIF1, CUP2, ASP3-3, KIN82, MLH3, VPS64, RPB4, NRG1, YOL063C, MUS81, GSH1, RRI2, YRR1, PHD1, CCZ1, YDR291W, HXT6, YKU70, TFC6, RTT101, CRS5, MRK1, YPL071C, POL4, IMH1, GTT2, HXT7, YMR090W, SAC3, HSC82, HSF1, CAD1, MSC1, DDR48, STH1, SPO14, RAD24, DNL4, VPS15, YHR087W, UFO1, YKL071W, FYV6, YNL200C, HSP104, SCC4, MGS1, RIM20, ATG4, TRF5, HSP12, RPN4, YKL151C, TFB3, CBF1, YIL169C, TRR2, MET28, ATG17, RPF1, GAD1, HSP32, YJR096W, RAD28, GPH1, DPB3, ELM1, SMC5, REV3, BRE1, HEX3, POL2, CIN5, YNG2, ADR1, ASP3-1, MET4, LAP4, CTF4, RFA2, YNL274C, UBI4, GCN2, GPX1, FRT1, ASP3-2, YGP1, IMP2', JLP1, NSE3, ASP3-4, SMC1, CSN9, MTF2, PRM4, RAD2, SSQ1, OYE3, PIR3, VPS30, BDF2, FAR8, CTK2, HPR1, UBX3, AZF1, HBT1, CTK1, YDL124W, UBA4, YIL077C, RAD26, PSO2, RAD54, YBR100W, RPH1, YLR247C, ASR1, SSK1, SSA4, ATG13, YLL056C, GPA1, ESA1, MAC1, RFC2
GO:0006950	response to stress	6.63131101782675e-12	6.76664389574158e-15	139	649	829	7274	0.00%	0.00	PHR1, TDP1, RAD4, SBP1, MLH2, RVS161, HSP42, MPH1, RDH54, YOR292C, SMC6, SPG5, STE11, NCE103, GAC1, YOR052C, MOH1, MEC3, TPS2, IES4, STF2, PRI2, OCA1, SLX8, XBP1, ATG20, GLK1, PAU7, SWC4, PDS1, NSE1, SNF2, YOR338W, RCK2, SSL1, TPS1, CSM3, YLL058W, MSH5, XRS2, PRX1, PIF1, ASP3-3, MLH3, RPB4, YOL063C, MUS81, GSH1, PHD1, CCZ1, YDR291W, HXT6, YKU70, RTT101, MRK1, YPL071C, POL4, IMH1, HXT7, YMR090W, SAC3, HSC82, HSF1, MSC1, DDR48, STH1, RAD24, DNL4, VPS15, YHR087W, UFO1, FYV6, YNL200C, HSP104, MGS1, SCC4, RIM20, ATG4, TRF5, HSP12, RPN4, YKL151C, TFB3, TRR2, ATG17, RPF1, HSP32, GAD1, YJR096W, RAD28, GPH1, DPB3, ELM1, SMC5, REV3, HEX3, POL2, CIN5, YNG2, ASP3-1, LAP4, CTF4, RFA2, YNL274C, UBI4, GCN2, GPX1, FRT1, ASP3-2, YGP1, IMP2', NSE3, ASP3-4, SMC1, MTF2, SSQ1, RAD2, PIR3, VPS30, CTK2, BDF2, UBX3, HPR1, HBT1, CTK1, YDL124W, UBA4, RAD26, PSO2, YBR100W, RAD54, YLR247C, RPH1, SSK1, SSA4, ATG13, ESA1, YLL056C, RFC2
GO:0044248	cellular catabolic process	1.14248256703606e-10	1.1657985377919e-13	144	649	901	7274	0.00%	0.00	GPR1, YNL224C, SBP1, PEP3, UBX7, GPM2, PIM1, DDP1, DBF20, UBC6, YLR030W, YPR115W, VPS38, FIN1, FMO1, YAP5, YBR108W, ATG19, NPL4, RDR1, MKK2, DDI1, RPT2, SLX8, HOS1, ATG20, VPS28, ERR2, YDR306C, GLK1, YER034W, CHA4, SNT2, ASG7, YHR202W, FAB1, MET30, ARO80, MUP3, SSL1, ATG11, YJL012C-A, HSV2, RRP46, YDL176W, PEX4, PCL10, XRS2, NKP1, ASP3-3, SRC1, YDR219C, POX1, VPS41, RPB4, GSH1, GND2, CCZ1, DUR3, TFC6, RTT101, GDB1, YLR446W, POL4, RNY1, YPL110C, GTT2, PGM2, CCL1, PRC1, CNN1, SPS19, HUL5, VPS15, HEM14, UFO1, VPS20, YPL277C, ATG4, ECM5, GSC2, TRF5, HRT3, TFB3, RIM13, SIR1, YIL169C, SPO1, ATG17, GAD1, YJR096W, RAD28, GPH1, ERR3, YDR458C, RPT1, YEL023C, YTA7, UFD4, YML020W, REV3, BRE1, PRY1, HEX3, PEX15, MPC54, NMD2, NOT5, PLC1, GID8, ASP3-1, LAP4, YNL274C, KEM1, ASP3-2, MAD3, BPT1, JLP1, PFK26, ASP3-4, NBP1, YDL133W, RAD2, VPS30, UBP2, UBX5, UBX3, PIG1, SHP1, UBA4, DUR1,2, RAD54, SNU71, CIS1, ATG26, PEX28, ATG13, ESA1, MAC1, ULP1, FES1, YOR138C, PAI3, UBP15
GO:0034984	cellular response to DNA damage stimulus	2.97628748014624e-09	3.03702804096555e-12	59	649	256	7274	0.00%	0.00	PHR1, TDP1, SWC4, PDS1, RAD4, NSE1, MLH2, SNF2, DDR48, CTF4, RFA2, GCN2, STH1, SSL1, RAD24, MPH1, DNL4, IMP2', RDH54, CSM3, NSE3, MSH5, SMC6, SMC1, FYV6, XRS2, RAD2, SCC4, MGS1, TRF5, RPN4, BDF2, PIF1, HPR1, TFB3, MLH3, MEC3, RAD26, RPB4, RAD28, PSO2, RAD54, YBR100W, DPB3, MUS81, RPH1, PRI2, SMC5, REV3, YKU70, RTT101, SLX8, HEX3, POL2, ESA1, RFC2, POL4, YNG2, SAC3
GO:0006281	DNA repair	3.94626313362303e-09	4.02679911594187e-12	57	649	244	7274	0.00%	0.00	PHR1, TDP1, SWC4, PDS1, RAD4, NSE1, MLH2, SNF2, DDR48, CTF4, RFA2, STH1, SSL1, RAD24, MPH1, DNL4, IMP2', RDH54, CSM3, NSE3, MSH5, SMC6, SMC1, FYV6, XRS2, RAD2, SCC4, MGS1, TRF5, RPN4, BDF2, PIF1, HPR1, TFB3, MLH3, MEC3, RAD26, RPB4, RAD28, PSO2, RAD54, YBR100W, DPB3, MUS81, RPH1, PRI2, SMC5, REV3, YKU70, SLX8, HEX3, POL2, ESA1, RFC2, POL4, YNG2, SAC3
GO:0006974	response to DNA damage stimulus	4.37228144694042e-09	4.46151168055145e-12	64	649	293	7274	0.00%	0.00	PHR1, TDP1, RAD4, MLH2, DDR48, STH1, RAD24, MPH1, DNL4, RDH54, SMC6, UFO1, FYV6, SCC4, MGS1, TRF5, RPN4, TFB3, MEC3, RAD28, DPB3, IES4, PRI2, SMC5, REV3, SLX8, HEX3, POL2, YNG2, PDS1, SWC4, NSE1, RFA2, CTF4, SNF2, GCN2, SSL1, IMP2', NSE3, CSM3, SMC1, MSH5, XRS2, RAD2, BDF2, CTK2, PIF1, HPR1, CTK1, MLH3, RAD26, PSO2, RPB4, YBR100W, RAD54, YOL063C, MUS81, RPH1, YKU70, RTT101, ESA1, RFC2, POL4, SAC3
GO:0009056	catabolic process	5.53324606694003e-09	5.64616945606126e-12	159	649	1080	7274	0.00%	0.00	DAP2, GPR1, MAP2, YNL224C, TPM1, SBP1, ROG1, PEP3, UBX7, GPM2, PIM1, DDP1, DBF20, UBC6, YLR030W, YPR115W, VPS38, FIN1, FMO1, YAP5, YBR108W, ATG19, MKK2, NPL4, RDR1, TFS1, DDI1, RPT2, SLX8, HOS1, ATG20, VPS28, ERR2, YDR306C, GLK1, YER034W, CHA4, SNT2, ASG7, YHR202W, FAB1, MET30, ARO80, MUP3, SSL1, ATG11, YJL012C-A, HSV2, RRP46, YDL176W, PEX4, PCL10, XRS2, NKP1, ASP3-3, SRC1, YDR219C, POX1, VPS41, RPB4, GSH1, YGR277C, GND2, CCZ1, DUR3, TFC6, RTT101, GDB1, MRK1, YLR446W, POL4, RNY1, YPL110C, GTT2, PGM2, HSC82, CCL1, PRC1, CNN1, SPS19, SPO14, HUL5, VPS15, HEM14, UFO1, VPS20, YPL277C, RIM20, ATG4, ECM5, GSC2, TRF5, RPN4, HRT3, TFB3, RIM13, SIR1, SPO1, YIL169C, ATG17, GAD1, YJR096W, RAD28, GPH1, ERR3, YDR458C, RPT1, YEL023C, YTA7, UFD4, YML020W, REV3, BRE1, PRY1, HEX3, PEX15, MPC54, NMD2, NOT5, PLC1, GID8, ASP3-1, LAP4, YNL274C, KEM1, ASP3-2, CHS5, MAD3, BPT1, JLP1, PFK26, ASP3-4, NBP1, YDL133W, RAD2, VPS70, VPS30, UBP2, BDF2, UBX5, UBX3, PIG1, SHP1, UBA4, DUR1,2, YOR059C, RAD54, SNU71, CIS1, ATG26, PEX28, ATG13, ESA1, MAC1, FES1, ULP1, YOR138C, UBP15, PAI3
