Date	Mon Jul 20 08:35:13 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (4)	MGT1 SDH1 POT1 HAP3
Unknown identifiers (15)	YDR543C MBB1 YKR047W YBR012C YBL107W-A YMR046W-A YLR280C YKL225W YJR162C YNL285W YNR077C YHR095W YLR294C YML089C YPR002C-A

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0055114	oxidation reduction	4.81565333188701e-06	8.58405228500358e-09	31	231	310	7274	0.00%	0.00	NDE1, LOT6, AAD16, ACO1, SOD2, AAD6, TTR1, XYL2, SCM4, MDH3, LPD1, YPL113C, COR1, KGD1, HOM6, PDA1, YBR033W, HTD2, FMS1, GRX4, QCR6, GDH2, ALD4, CTA1, YMR009W, GUT2, SER33, MDH2, FAS2, NDE2, SDH2
GO:0006732	coenzyme metabolic process	2.06852892115745e-05	3.6872173282664e-08	20	231	149	7274	0.00%	0.00	NDE1, GSH2, ACO1, PYC1, ECM4, CIT1, MDH3, KGD1, KGD2, FUM1, FMS1, ALD4, LIP5, GUT2, ACS2, LSC2, MDH2, NDE2, COQ4, SDH2
GO:0006084	acetyl-CoA metabolic process	2.25396363585856e-05	4.01776049172649e-08	10	231	33	7274	0.00%	0.00	KGD1, ACO1, KGD2, FUM1, CIT1, ACS2, MDH3, MDH2, LSC2, SDH2
GO:0019752	carboxylic acid metabolic process	5.21947786388906e-05	9.30388211031917e-08	34	231	400	7274	0.00%	0.00	CAT8, ACO1, CRC1, PYC1, ECI1, ILV2, ACC1, EHT1, CIT1, CHA1, UBC8, MDH3, UGA1, YMR085W, LPD1, AGX1, KGD1, HOM6, MET14, ARO9, MET3, KGD2, PDA1, FUM1, HTD2, YLR089C, GDH2, LIP5, ALD4, YMR009W, SER33, FAS2, MDH2, URA8
GO:0006082	organic acid metabolic process	7.495577943367e-05	1.3361101503328e-07	34	231	406	7274	0.00%	0.00	CAT8, ACO1, CRC1, PYC1, ECI1, ILV2, ACC1, EHT1, CIT1, CHA1, UBC8, MDH3, UGA1, YMR085W, LPD1, AGX1, KGD1, HOM6, MET14, ARO9, MET3, KGD2, PDA1, FUM1, HTD2, YLR089C, GDH2, LIP5, ALD4, YMR009W, SER33, FAS2, MDH2, URA8
GO:0006099	tricarboxylic acid cycle	8.74577882928021e-05	1.55896235816047e-07	9	231	29	7274	0.00%	0.00	KGD1, ACO1, KGD2, FUM1, CIT1, MDH2, LSC2, MDH3, SDH2
GO:0046356	acetyl-CoA catabolic process	8.74577882928021e-05	1.55896235816047e-07	9	231	29	7274	0.00%	0.00	KGD1, ACO1, KGD2, FUM1, CIT1, MDH2, LSC2, MDH3, SDH2
GO:0051186	cofactor metabolic process	0.000107460809541105	1.91552245171311e-07	23	231	212	7274	0.00%	0.00	NDE1, GSH2, ACO1, PYC1, ECM4, YNR018W, CIT1, ISA1, MDH3, KGD1, KGD2, FUM1, FMS1, NAR1, LIP5, ALD4, GUT2, ACS2, LSC2, MDH2, NDE2, COQ4, SDH2
GO:0009109	coenzyme catabolic process	0.000301525332686898	5.37478311384844e-07	9	231	33	7274	0.00%	0.00	KGD1, ACO1, KGD2, FUM1, CIT1, MDH2, LSC2, MDH3, SDH2
GO:0051187	cofactor catabolic process	0.000398894846810568	7.11042507683722e-07	9	231	34	7274	0.00%	0.00	KGD1, ACO1, KGD2, FUM1, CIT1, MDH2, LSC2, MDH3, SDH2
GO:0006103	2-oxoglutarate metabolic process	0.000546703664150962	9.74516335384958e-07	4	231	4	7274	0.00%	0.00	KGD1, GDH2, KGD2, LPD1
GO:0009060	aerobic respiration	0.00189251623252858	3.37346922019354e-06	14	231	102	7274	0.00%	0.00	COR1, KGD1, ACO1, NCA2, KGD2, FUM1, QCR6, MRPL22, COX13, CIT1, MDH3, MDH2, LSC2, SDH2
GO:0043648	dicarboxylic acid metabolic process	0.00353718757619592	6.30514719464514e-06	7	231	24	7274	0.00%	0.00	KGD1, GDH2, KGD2, MDH3, MDH2, FUM1, LPD1
GO:0006091	generation of precursor metabolites and energy	0.00573440291948485	1.02217520846432e-05	29	231	385	7274	0.00%	0.00	NDE1, CAT8, ACO1, NCA2, GSY2, YDL180W, TTR1, COX13, GIP1, CIT1, CHA1, MDH3, MDM32, COR1, KGD1, ATP5, KGD2, PDA1, SAP155, FUM1, GRX4, QCR6, MRPL22, ATP3, YHR009C, LSC2, MDH2, NDE2, SDH2
