Date	Wed Mar 24 07:50:55 EST 2010
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Bonferroni correction	Yes
Uploaded gene list	neg
Annotation file	gene_association.sgd
Evidence codes used	ISM (131), IEA (42198), IEP (162), IGI (2721), NAS (720), IPI (2691), ND (4112), ISO (3), IC (511), ISS (2601), ISA (83), IMP (9091), IDA (15434), RCA (6294), TAS (3044)
Ambiguous identifiers (12)	TEX1 SLT2 TSL1 PCA1 POT1 MLP1 TAF1 HAP1 SDL1 SLP1 CDH1 GAT2
Unknown identifiers (34)	PSY1 YMR173W-A MBB1 YML116W-A YHR214W-A YJL142C YMR294W-A YNL140C YLL059C YDR133C YLL020C YBL048W YNL285W YMR153C-A YKL053W YKL162C-A 1-Oct YGR011W YKL123W YHR095W YBR099C YPR077C YMR052C-A YNL337W YMR304C-A YLR294C YLR252W YPR002C-A YPL025C YDR154C YMR103C YOR366W YBR116C YMR316C-B

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0007039	vacuolar protein catabolic process	9.04317331704949e-39	6.50588008420827e-42	84	1148	118	7274	0.00%	0.00	PGM2, SOD2, VID30, RCR2, GSY2, NMA2, PRC1, DDR48, GLC3, GIP2, BDH2, PMC1, UBC8, RIM15, VPS13, TRX2, GYP7, RTS3, YPK2, HUA1, AMS1, NGR1, EDC2, HSP104, ALD2, PRB1, GGA1, PEP4, SDS24, LSC2, HSP12, GAD1, TPS2, ATG1, GPH1, STF2, ATG19, TFS1, ARA1, DDI1, GSP2, GLK1, KIN1, DCS1, GID8, ASP3-1, PIG2, YNK1, YPI1, KNS1, PYC1, LAP4, DCS2, MHP1, ASP3-2, TPS1, PFK26, TPK1, MYO3, PTK2, SPI1, PIL1, SIP5, REG1, FYV10, ECM21, MDS3, VID28, HBT1, PEX29, XKS1, GID7, NTH1, PIC2, SOL4, SSA4, GDB1, CTT1, UBC5, GTT1, GUT2, ALD3, UBP15, PAI3
GO:0009056	catabolic process	2.467982698246e-38	1.77552712104029e-41	273	1148	813	7274	0.00%	0.00	RAD4, ATG2, SOD2, RPT3, SAF1, NTH2, IWR1, UBX7, CDC48, GYP7, PIM1, YPK2, HUA1, PET20, TGL2, TAM41, TPS2, NPL4, DDI1, PRE6, ERR2, YDR306C, GLK1, CDA1, DCS1, SKI2, PYC1, YHR202W, KNS1, ECM4, MET30, ARO80, HUL4, MSS11, ATG11, TPS1, SRL2, TRE1, PEX4, PTK2, SDH4, MLS1, TES1, FBP26, ASP3-3, POX1, GID7, IDP2, DOA4, NTH1, SAS4, TRE2, NDL1, YLR352W, GND2, CCZ1, SOL4, PDE1, GCY1, GUT2, UBR2, EPS1, NMA2, DDR48, CDC53, ATH1, GIP2, CAR2, PEP12, SPO14, UBC8, GLO1, SNF7, VPS13, UFO1, TRX2, NGR1, EDC2, PUT1, HSP104, PEP4, DAL82, ATG4, MDH2, LSC2, APC4, TFB3, ATG9, GPH1, ERR3, RPT1, APC9, UFD4, RAD50, SLX4, FMS1, SLX5, YOR283W, GRR1, PLC1, PIG2, DCS2, RPN1, ASP3-2, MDH3, PFK26, JLP1, HFD1, ASP3-4, RAD2, UBX6, REG1, CLF1, UBP2, RPN11, RPT5, UBX5, PEX29, UBA4, DUR1,2, RAD26, DCP2, ECM38, PSO2, YBR100W, DSE4, PIC2, ATG8, SSA4, PDC6, ATG26, ATG13, DCN1, FOX2, ULP1, RUP1, RCR2, UBR1, ECI1, ROG1, ECM37, GLC3, YOR022C, BDH2, NTG2, RIM15, GPM2, KGD1, PIB1, RTS3, IDP3, DDP1, NVJ1, GDH2, GGA1, UBC6, NDE1, RSF1, STF2, RAD1, SSH4, ATG19, TFS1, ARA1, RPT2, SLX8, PRE5, GSP2, ATG20, KIN1, MND2, YPI1, PUT4, HSV2, TPK1, MYO3, RPN6, ATG5, SPI1, PIL1, SIP5, ECM21, CUP2, MDS3, XKS1, TOM1, NRG1, RPB4, SUE1, SHE4, BSD2, UBP6, DUR3, RTT101, GDB1, CTT1, UBC5, NDE2, RNY1, GDE1, PGM2, VID30, YGR043C, DGA1, GSY2, PRC1, ATG23, SPS19, PMC1, UBP5, HUL5, RPN5, VPS15, RIS1, GLO2, AMS1, ALD2, PKH2, PRB1, SDS24, APC2, RPN4, HSP12, HRT3, SPO1, ATG17, GAD1, ATG1, YJR096W, RAD14, LPD1, PEP8, ATG3, NMD2, CUL3, ASI3, YDR520C, GID8, ASP3-1, YNK1, COS111, BRO1, LAP4, GOR1, MHP1, KEM1, VPS17, HSE1, CHS5, VPS27, PUS5, ADH2, ERR1, FYV10, UBX3, VID28, HBT1, SHP1, LSM3, MDH1, ATG7, YOR059C, ICL1, ATG21, REC104, ATG22, KGD2, CIS1, VPS33, GTT1, ALD3, PAI3, UBP15
GO:0044248	cellular catabolic process	2.75378970088997e-38	1.98114366970502e-41	265	1148	778	7274	0.00%	0.00	RAD4, ATG2, SOD2, RPT3, SAF1, NTH2, IWR1, UBX7, CDC48, GYP7, PIM1, YPK2, HUA1, PET20, TGL2, TAM41, TPS2, NPL4, DDI1, PRE6, ERR2, YDR306C, GLK1, DCS1, SKI2, PYC1, YHR202W, KNS1, ECM4, MET30, ARO80, HUL4, MSS11, ATG11, TPS1, SRL2, TRE1, PEX4, PTK2, SDH4, MLS1, TES1, FBP26, ASP3-3, POX1, GID7, IDP2, DOA4, NTH1, SAS4, TRE2, NDL1, YLR352W, GND2, CCZ1, SOL4, PDE1, GCY1, GUT2, UBR2, EPS1, NMA2, DDR48, CDC53, ATH1, GIP2, CAR2, PEP12, UBC8, GLO1, SNF7, VPS13, UFO1, TRX2, NGR1, EDC2, PUT1, HSP104, PEP4, DAL82, ATG4, MDH2, LSC2, APC4, TFB3, ATG9, GPH1, ERR3, RPT1, APC9, UFD4, RAD50, SLX4, FMS1, SLX5, YOR283W, GRR1, PLC1, PIG2, DCS2, RPN1, ASP3-2, MDH3, PFK26, JLP1, HFD1, ASP3-4, RAD2, UBX6, REG1, CLF1, UBP2, RPN11, RPT5, UBX5, PEX29, UBA4, DUR1,2, RAD26, DCP2, ECM38, PSO2, YBR100W, PIC2, ATG8, SSA4, PDC6, ATG26, ATG13, DCN1, FOX2, ULP1, RUP1, RCR2, UBR1, ECI1, ECM37, GLC3, BDH2, NTG2, RIM15, GPM2, KGD1, PIB1, RTS3, IDP3, DDP1, NVJ1, GDH2, GGA1, UBC6, NDE1, RSF1, STF2, RAD1, SSH4, ATG19, TFS1, ARA1, RPT2, SLX8, PRE5, GSP2, ATG20, KIN1, MND2, YPI1, PUT4, HSV2, TPK1, MYO3, RPN6, ATG5, SPI1, PIL1, SIP5, ECM21, CUP2, MDS3, XKS1, TOM1, NRG1, RPB4, SHE4, BSD2, UBP6, DUR3, RTT101, GDB1, CTT1, UBC5, NDE2, RNY1, GDE1, PGM2, VID30, YGR043C, DGA1, GSY2, PRC1, ATG23, PMC1, UBP5, SPS19, HUL5, RPN5, VPS15, RIS1, GLO2, AMS1, ALD2, PKH2, PRB1, SDS24, APC2, RPN4, HSP12, HRT3, SPO1, ATG17, GAD1, ATG1, YJR096W, RAD14, LPD1, PEP8, ATG3, NMD2, CUL3, ASI3, YDR520C, GID8, ASP3-1, YNK1, COS111, BRO1, LAP4, GOR1, MHP1, KEM1, VPS17, HSE1, VPS27, PUS5, ADH2, ERR1, FYV10, UBX3, VID28, HBT1, SHP1, LSM3, MDH1, ATG7, ICL1, ATG21, REC104, ATG22, KGD2, CIS1, VPS33, GTT1, ALD3, PAI3, UBP15
GO:0009628	response to abiotic stimulus	4.9479907568572e-37	3.5597055804728e-40	151	1148	329	7274	0.00%	0.00	RVS161, ECI1, YRO2, BDH2, HSP42, FIS1, RIM15, AGX1, YTP1, IKS1, NBP2, SPG5, YER079W, HOT1, HUA1, STE11, KTR2, NCE103, GAC1, YAP1, YOR052C, YJL144W, MOH1, YNL305C, LCB5, TPS2, HSP82, RRD2, STF2, YPL230W, TFS1, ARA1, PNC1, GLK1, SLA1, FLC2, HSP78, PYC1, KNS1, ECM4, RCK2, YBR139W, RBK1, TPS1, DAP1, YLL058W, MYO3, PTK2, SPI1, TES1, PRX1, PIL1, TOM1, HAL9, RPB4, NRG1, TMA10, YHR209W, NTH1, SUB1, COX20, CYC7, HXT6, SOL4, PDE1, SOM1, MRK1, UBC5, CTT1, GUT2, HXT7, YMR090W, PGM2, HSF1, CTL1, MGA2, GDH3, GSY2, MSC1, DDR48, ENA1, UBC8, SSK22, YHR087W, GLO1, YPL088W, YDL057W, GLO2, BNI1, YNL200C, HSP104, PRB1, ALD4, RIM20, GIS1, SDS24, HSP12, PST2, SGT2, YKL151C, ARC15, SSE2, RPF1, BZZ1, GAD1, YJR096W, RIM101, HAL1, GPH1, ELM1, HSP26, SSA1, SSK2, YBR056W, CIN5, ITC1, NCA2, LAP4, GOR1, SPG3, UBI4, ARC19, FMP46, YET2, YGP1, OPY2, SRL3, HFD1, YDR357C, BPH1, CPR6, PTP2, SPT23, PIR3, GIS4, UBX3, WHI2, HBT1, MSN4, YDL124W, ECM38, PTP3, SSK1, AFR1, ATG8, SSA4, YLL056C, CDC37, GTT1, ALD3, STE50
GO:0050896	response to stimulus	2.80061303008497e-36	2.01482951804674e-39	342	1148	1155	7274	0.00%	0.00	TDP1, GPR1, RAD4, ATG2, SOD2, MLH2, TOR2, GCN4, FIS1, CDC48, AGX1, SPG5, HOT1, HUA1, STE11, NCE103, GAC1, YOR052C, HIM1, YJL144W, LCB5, TPS2, SNF3, AAD10, OXR1, RDR1, NPL4, YLL029W, PNC1, GLK1, SLA1, FLC2, SKI2, HSP78, PYC1, KNS1, PTR3, SNF2, YOR338W, RCK2, ECM4, MET30, NGG1, RBK1, TPS1, DAP1, MSH5, STI1, CBK1, PTK2, TES1, PRX1, ZEO1, BDF1, DDC1, PIF1, ASP3-3, KIN82, MLH3, NTH1, SUB1, COX20, YRR1, CCZ1, YDR291W, SOL4, PDE1, GCY1, CRS5, GRE2, GUT2, MGM101, POL4, EPS1, YMR090W, HXT7, HSC82, CAD1, GDH3, MSC1, DDR48, ATH1, GRE1, STE13, ENA1, SPO14, RAD24, UBC8, SSK22, ARG82, YHR087W, GLO1, YDL057W, YPL088W, UFO1, TRX2, YNL200C, EDC2, HSP104, PEP4, ALD4, SCC4, MGS1, ATG4, RIM20, SGT2, TFB3, ARC15, YIL169C, ATG9, RPF1, BZZ1, RIM101, HAL1, IRE1, GPH1, YGR243W, ELM1, SSA1, RAD50, SLX4, YBR056W, ARP8, SLX5, YOR1, SSA3, MEC1, GRR1, SPG3, RMI1, GCN2, DNA2, YET2, FRT1, ASP3-2, HFD1, ICT1, ASP3-4, RLM1, VPS60, ZTA1, RAD2, DAN2, STE7, DDR2, TEL1, PIR3, RGA2, HSP33, AZF1, YIL077C, UBA4, RAD26, ECM38, PSO2, YBR100W, RPH1, YLR247C, SIP2, ARR1, SSK1, ISW2, ATG8, SSA4, ATG13, HTB1, ESA1, MAC1, YDL010W, QDR3, GPB2, PHR1, AAD16, RVS161, ECI1, YRO2, BDH2, HSP42, MPH1, NTG2, RIM15, FAR11, YTP1, IKS1, NBP2, YER079W, KTR2, UBC6, YAP1, YEN1, MOH1, YNL305C, MEC3, YRM1, HSP82, SKS1, RRD2, STF2, YJL055W, RAD1, YPL230W, ATG19, TFS1, ARA1, SLX8, FPS1, XBP1, ATG20, SLH1, LCD1, PAU7, SWC4, GTO1, NSE1, YBR139W, FAR7, PRR2, YLL058W, MYO3, ATG5, SPI1, PIL1, PGD1, SIP5, CUP2, FUS2, TOM1, VPS64, HAL9, RPB4, NRG1, TMA10, YHR209W, MUS81, RRI2, BSD2, CYC7, YHL010C, HXT6, RTT101, SOM1, MRK1, CTT1, UBC5, LIF1, YCL033C, STB3, IMH1, SAC3, PGM2, HSF1, CTL1, MGA2, GSY2, STH1, HUL5, DNL4, VPS15, GLO2, PAU3, BNI1, FYV6, PRB1, EAF3, GIS1, SDS24, RIB1, HSP12, PST2, RPN4, YMR325W, YKL151C, SSE2, TRR2, MET28, ATG17, HSP32, ROD1, GAD1, MCR1, ATG1, YJR096W, RAD28, SPT16, DPB3, RAD14, HSP26, HSP30, ATG3, SMC5, SSK2, REV3, CIN5, ADR1, ITC1, ASP3-1, NCA2, YNK1, BRO1, MET4, LAP4, CTF4, GOR1, UBI4, ARC19, GPX1, FMP46, PAU15, YGP1, SRL3, OPY2, YDR357C, SMC1, YRA1, BPH1, CPR6, SSQ1, PTP2, SPT23, TRX3, GIS4, UBX3, WHI2, VID28, HBT1, MSN4, YDL124W, ATG7, RAD54, ATG21, MSG5, PTP3, ASR1, FRT2, AFR1, EPL1, APN2, YLL056C, CDC37, GTT1, ALD3, STE50
GO:0009266	response to temperature stimulus	1.38657957426978e-33	9.97539262064587e-37	112	1148	213	7274	0.00%	0.00	PGM2, HSF1, CTL1, MGA2, GSY2, GDH3, MSC1, DDR48, ECI1, YRO2, BDH2, HSP42, UBC8, FIS1, GLO1, YHR087W, AGX1, YTP1, GLO2, IKS1, YDL057W, YPL088W, NBP2, SPG5, YER079W, YNL200C, HSP104, ALD4, KTR2, NCE103, SDS24, RIM20, HSP12, GAC1, PST2, YAP1, SGT2, YKL151C, YOR052C, SSE2, MOH1, YNL305C, RPF1, GAD1, LCB5, TPS2, YJR096W, GPH1, STF2, HSP26, SSA1, TFS1, ARA1, YBR056W, PNC1, GLK1, FLC2, ITC1, NCA2, HSP78, LAP4, KNS1, PYC1, SPG3, GOR1, ECM4, UBI4, YBR139W, YET2, FMP46, RBK1, YGP1, TPS1, DAP1, SRL3, HFD1, YDR357C, YLL058W, CPR6, SPI1, TES1, PTP2, PRX1, PIR3, PIL1, SPT23, UBX3, MSN4, WHI2, HBT1, YDL124W, ECM38, RPB4, TMA10, YHR209W, NTH1, COX20, AFR1, CYC7, SOL4, HXT6, ATG8, SSA4, PDE1, YLL056C, UBC5, CTT1, GTT1, GUT2, ALD3, HXT7, YMR090W
GO:0006950	response to stress	1.40276667534785e-32	1.00918465852363e-35	269	1148	848	7274	0.00%	0.00	TDP1, RAD4, ATG2, SOD2, MLH2, TOR2, GCN4, FIS1, CDC48, AGX1, SPG5, HOT1, STE11, NCE103, GAC1, YOR052C, HIM1, YJL144W, LCB5, TPS2, OXR1, NPL4, PNC1, GLK1, SLA1, FLC2, HSP78, PYC1, KNS1, SNF2, YOR338W, ECM4, RCK2, RBK1, TPS1, DAP1, MSH5, STI1, TES1, PRX1, ZEO1, BDF1, DDC1, PIF1, ASP3-3, MLH3, NTH1, SUB1, COX20, CCZ1, YDR291W, PDE1, GCY1, GUT2, MGM101, POL4, EPS1, YMR090W, HXT7, HSC82, GDH3, MSC1, DDR48, ATH1, GRE1, ENA1, RAD24, UBC8, SSK22, YHR087W, GLO1, UFO1, YPL088W, YDL057W, TRX2, YNL200C, EDC2, HSP104, PEP4, ALD4, SCC4, MGS1, ATG4, RIM20, SGT2, TFB3, ARC15, ATG9, RPF1, BZZ1, HAL1, IRE1, GPH1, YGR243W, ELM1, SSA1, RAD50, YBR056W, SLX4, ARP8, SLX5, SSA3, MEC1, GRR1, SPG3, RMI1, GCN2, DNA2, YET2, FRT1, ASP3-2, HFD1, ICT1, ASP3-4, ZTA1, RAD2, DAN2, DDR2, TEL1, PIR3, HSP33, UBA4, RAD26, ECM38, PSO2, YBR100W, RPH1, YLR247C, SIP2, SSK1, ATG8, SSA4, ATG13, HTB1, ESA1, YDL010W, PHR1, RVS161, ECI1, YRO2, HSP42, MPH1, NTG2, RIM15, YTP1, IKS1, NBP2, YER079W, KTR2, UBC6, YAP1, YEN1, YNL305C, MEC3, MOH1, HSP82, STF2, RRD2, RAD1, YPL230W, ATG19, ARA1, SLX8, XBP1, ATG20, LCD1, PAU7, SWC4, NSE1, YBR139W, YLL058W, MYO3, ATG5, SPI1, PIL1, SIP5, RPB4, HAL9, YHR209W, MUS81, BSD2, CYC7, HXT6, RTT101, MRK1, CTT1, UBC5, LIF1, YCL033C, IMH1, SAC3, HSF1, CTL1, MGA2, GSY2, STH1, DNL4, HUL5, VPS15, PAU3, GLO2, BNI1, FYV6, PRB1, EAF3, SDS24, PST2, HSP12, YMR325W, YKL151C, SSE2, TRR2, ATG17, HSP32, GAD1, MCR1, ATG1, YJR096W, RAD28, SPT16, DPB3, RAD14, HSP26, HSP30, ATG3, SSK2, SMC5, REV3, CIN5, ASP3-1, ITC1, NCA2, YNK1, LAP4, CTF4, GOR1, UBI4, ARC19, GPX1, FMP46, PAU15, YGP1, OPY2, SRL3, YDR357C, SMC1, YRA1, CPR6, SSQ1, PTP2, SPT23, TRX3, UBX3, WHI2, HBT1, MSN4, YDL124W, ATG7, ATG21, RAD54, PTP3, FRT2, AFR1, EPL1, APN2, YLL056C, CDC37, GTT1, STE50
GO:0044257	cellular protein catabolic process	3.02688055996167e-32	2.17761191364149e-35	150	1148	351	7274	0.00%	0.00	SOD2, RCR2, RPT3, UBR1, SAF1, GLC3, BDH2, RIM15, UBX7, CDC48, PIB1, GYP7, PIM1, RTS3, YPK2, HUA1, GGA1, UBC6, TPS2, STF2, SSH4, ATG19, NPL4, TFS1, ARA1, DDI1, RPT2, PRE6, SLX8, GSP2, PRE5, YDR306C, GLK1, KIN1, DCS1, MND2, PYC1, YPI1, KNS1, MET30, HUL4, TPS1, TRE1, TPK1, MYO3, PEX4, RPN6, PTK2, SPI1, PIL1, SIP5, ECM21, MDS3, XKS1, GID7, TOM1, DOA4, NTH1, SAS4, TRE2, YLR352W, BSD2, SOL4, UBP6, RTT101, GDB1, UBC5, CTT1, GUT2, UBR2, EPS1, PGM2, VID30, NMA2, GSY2, PRC1, DDR48, CDC53, GIP2, UBP5, PMC1, UBC8, HUL5, RPN5, SNF7, VPS13, RIS1, UFO1, TRX2, NGR1, AMS1, ALD2, HSP104, EDC2, PRB1, PEP4, ATG4, SDS24, APC2, LSC2, HSP12, APC4, HRT3, GAD1, ATG1, GPH1, APC9, RPT1, UFD4, ATG3, SLX5, GRR1, CUL3, ASI3, GID8, ASP3-1, PIG2, YNK1, COS111, BRO1, LAP4, DCS2, MHP1, ASP3-2, RPN1, PFK26, UBX6, REG1, UBP2, RPT5, FYV10, RPN11, UBX5, UBX3, VID28, HBT1, SHP1, UBA4, PEX29, ATG7, PIC2, ATG8, SSA4, DCN1, ULP1, GTT1, ALD3, RUP1, UBP15, PAI3
GO:0030163	protein catabolic process	1.13109905162585e-30	8.13740324910682e-34	151	1148	364	7274	0.00%	0.00	SOD2, RCR2, RPT3, UBR1, SAF1, GLC3, BDH2, RIM15, UBX7, CDC48, PIB1, GYP7, PIM1, RTS3, YPK2, HUA1, GGA1, UBC6, TPS2, STF2, SSH4, ATG19, NPL4, TFS1, ARA1, DDI1, RPT2, PRE6, SLX8, GSP2, PRE5, YDR306C, GLK1, KIN1, DCS1, MND2, PYC1, YPI1, KNS1, MET30, HUL4, TPS1, TRE1, TPK1, MYO3, PEX4, RPN6, PTK2, SPI1, PIL1, SIP5, ECM21, MDS3, XKS1, GID7, TOM1, DOA4, SUE1, NTH1, SAS4, TRE2, YLR352W, BSD2, SOL4, UBP6, RTT101, GDB1, UBC5, CTT1, GUT2, UBR2, EPS1, PGM2, VID30, NMA2, GSY2, PRC1, DDR48, CDC53, GIP2, UBP5, PMC1, UBC8, HUL5, RPN5, SNF7, VPS13, RIS1, UFO1, TRX2, NGR1, AMS1, ALD2, HSP104, EDC2, PRB1, PEP4, ATG4, SDS24, APC2, LSC2, HSP12, APC4, HRT3, GAD1, ATG1, GPH1, APC9, RPT1, UFD4, ATG3, SLX5, GRR1, CUL3, ASI3, GID8, ASP3-1, PIG2, YNK1, COS111, BRO1, LAP4, DCS2, MHP1, ASP3-2, RPN1, PFK26, UBX6, REG1, UBP2, RPT5, FYV10, RPN11, UBX5, UBX3, VID28, HBT1, SHP1, UBA4, PEX29, ATG7, PIC2, ATG8, SSA4, DCN1, ULP1, GTT1, ALD3, RUP1, UBP15, PAI3
GO:0006914	autophagy	9.32759009469513e-28	6.71049647100369e-31	82	1148	142	7274	0.00%	0.00	RAD4, ATG2, VID30, RCR2, DGA1, YGR043C, ECM37, SAF1, ATG23, PEP12, PMC1, UBC8, VPS15, IWR1, SNF7, PIB1, GYP7, AMS1, EDC2, NVJ1, ALD2, PRB1, PKH2, PET20, PEP4, ATG4, RPN4, RSF1, TFB3, TAM41, ATG9, ATG17, ATG1, APC9, RAD14, PEP8, ATG3, ATG19, TFS1, ATG20, KIN1, DCS1, GID8, PIG2, BRO1, ECM4, DCS2, VPS17, HSE1, ATG11, VPS27, PFK26, HFD1, HSV2, SRL2, TPK1, PUS5, ATG5, RAD2, FBP26, CLF1, FYV10, CUP2, UBX5, PEX29, ATG7, RAD26, PSO2, NRG1, DOA4, ATG21, SHE4, NDL1, ATG22, CCZ1, CIS1, ATG8, ATG26, ATG13, VPS33, UBC5, PAI3
