Time,Cells/ml
10.377,70000
10.685,80000
11.282,1e+05
11.812,1.2e+05
12.713,1.7153e+05
13.329,1.9946e+05
14.653,3.1978e+05
15.152,3.6674e+05
15.473,4.2658e+05
16.158,5.3469e+05
16.338,6.0525e+05
16.608,6.9682e+05
16.921,7.2466e+05
17.193,8.4999e+05
17.498,9.9766e+05
17.913,1.1835e+06
18.327,1.3172e+06
18.683,1.4564e+06
19.386,1.7992e+06
19.646,2.0344e+06
20.069,2.2901e+06
20.342,2.6739e+06
20.698,3.1084e+06
21.178,3.6747e+06
21.432,4.2718e+06
21.763,4.7744e+06
21.96,5.1771e+06
22.159,5.5911e+06
22.497,6.2706e+06
22.829,7.2547e+06
23.155,8.1825e+06
23.429,8.9008e+06
23.676,9.6099e+06
23.931,1.0227e+07
24.385,1.17e+07
24.729,1.3131e+07
24.964,1.4651e+07
25.147,1.5945e+07
25.393,1.722e+07
25.553,1.9216e+07
32.74,2.087e+07
33.145,2.218e+07
33.543,2.236e+07
34.214,2.2724e+07
34.562,2.3241e+07
35.375,2.3849e+07
35.896,2.5659e+07
36.847,2.6398e+07
37.403,2.6314e+07
38.276,2.6151e+07
38.928,2.7726e+07
39.521,2.9722e+07
40.435,2.9057e+07
41.713,2.9212e+07
42.101,3.0203e+07
44.381,3.2559e+07
45.071,3.2827e+07
46.11,3.4467e+07
